cores,rank_by_upper_headroom,case_id,B_published,U_feed_M3,L0_recomputed,L1_proved,B_over_U,B_over_L1,mean_contribution_upper_L1
1,1,040,253454,274949,185751,185751,0.9218218651458998,1.364482559986218,0.004426606948403182
1,2,069,25144,19742,16674,16796,1.2736298247391349,1.497023100738271,0.0022339327599913616
1,3,086,118403,92778,79182,79218,1.2761969432408544,1.4946476810825822,0.0021845073784172776
1,4,023,122614,78947,69558,69558,1.5531179145502678,1.762759136260387,0.0020964122171011914
1,5,005,95618,73504,63882,63918,1.300854375272094,1.4959479332895271,0.001950935580174331
1,6,071,18919,14543,12534,12656,1.3009007770061198,1.4948640960809103,0.0019396331907479047
1,7,015,177362,112496,101497,101497,1.5766071682548712,1.7474605160743668,0.0017085334781949558
1,8,065,53068,32594,29518,29518,1.6281524206909248,1.7978182803712988,0.0016966585968037394
1,9,019,81144,51676,48436,48493,1.570245375029027,1.6733136741385355,0.0010306829910950843
1,10,057,59726,51663,47565,47565,1.1560691403906083,1.2556711867970145,0.0009960204640640624
2,1,044,154407,56468,37202,37246,2.734415952397818,4.145599527466037,0.014111835750682186
2,2,015,177362,72694,50749,50749,2.4398437285057915,3.4948865987507145,0.010550428702449231
2,3,071,18919,9191,6267,6434,2.0584267217930585,2.94047248989742,0.008820457681043616
2,4,069,25144,11398,8337,8504,2.2060010528162834,2.956726246472248,0.007507251936559647
2,5,048,222220,102124,75960,77428,2.1759821393599936,2.8700211809681253,0.006940390416081316
2,6,065,53068,18257,14759,14759,2.906720709864709,3.5956365607425975,0.006889158508778883
2,7,040,253454,121100,92876,92876,2.0929314616019816,2.7289504285283606,0.006360189669263789
2,8,005,95618,39844,31941,32018,2.399809256098785,2.9863826597538883,0.005865734036551031
2,9,086,118403,48279,39591,39668,2.4524741606081317,2.9848492487647476,0.005323750881566158
2,10,088,243623,105026,86804,86837,2.319644659417668,2.8055206881859114,0.004858760287682435
3,1,044,154407,57715,24802,24846,2.6753357012908254,6.214561700072446,0.035392259987816206
3,2,071,18919,7904,4178,4360,2.3935981781376516,4.339220183486239,0.019456220053485872
3,3,069,25144,10236,5558,5740,2.4564282923016805,4.380487804878049,0.019240595125763687
3,4,065,53068,13480,9840,9840,3.936795252225519,5.393089430894309,0.014562941786687902
3,5,055,118835,31699,23017,23017,3.7488564308022334,5.1629230568710085,0.01414066626068775
3,6,086,118403,38370,26394,26516,3.0858222569715923,4.465341680494795,0.013795194235232029
3,7,005,95618,30855,21294,21416,3.0989466861124617,4.464792678371311,0.013658459922588495
3,8,064,19116,8421,5248,5318,2.2700391877449233,3.594584430236931,0.01324545242492008
3,9,019,81144,21684,16146,16203,3.742114001106807,5.00796148861322,0.01265847487506413
3,10,088,243623,82484,57870,57903,2.9535788759032053,4.207433120909107,0.012538542450059014
4,1,044,154407,40927,18601,18645,3.7727417108510273,8.28141592920354,0.045086742183525125
4,2,069,25144,9370,4169,4376,2.6834578441835646,5.745886654478976,0.030624288102954117
4,3,071,18919,7506,3134,3417,2.5205169197974953,5.536728124085455,0.030162112042879597
4,4,065,53068,12461,7380,7380,4.258727228954338,7.190785907859079,0.02932058678904741
4,5,068,362095,117885,62276,62319,3.071595198710608,5.810346764229208,0.027387515655186
4,6,019,81144,20821,12234,12234,3.8972191537390133,6.632663070132418,0.027354439163934048
4,7,088,243623,83118,43402,43437,2.9310498327678722,5.608651610378249,0.02677601777610377
4,8,005,95618,28981,15971,16115,3.2993340464442222,5.933478125969594,0.026341440795253718
4,9,015,177362,40071,25375,25375,4.426193506525917,6.989635467980295,0.025634419614543782
4,10,086,118403,34684,19796,19940,3.4137642717102987,5.937963891675025,0.025241996199647267
5,1,044,154407,41205,14881,14925,3.747287950491445,10.345527638190955,0.06598239687699509
5,2,065,53068,11270,5904,5904,4.7087843833185445,8.988482384823849,0.04279698001505304
5,3,005,95618,30642,12777,12976,3.1204882187846747,7.36883477188656,0.04248346553101885
5,4,015,177362,38938,20300,20300,4.554984847706611,8.73704433497537,0.041820594872687585
5,5,088,243623,85789,34722,34759,2.839792980452039,7.008918553468167,0.04169125573016128
5,6,068,362095,116345,49821,50812,3.1122523529158967,7.126170983232307,0.04013918630316411
5,7,069,25144,9143,3335,3770,2.7500820299682815,6.6694960212201595,0.03919413991251878
5,8,071,18919,7782,2507,3033,2.43112310460036,6.237718430596769,0.03806595325996409
5,9,012,59088,13175,7115,7156,4.484857685009487,8.257126886528788,0.037722692015193
5,10,026,99203,30256,14154,14154,3.2787876784769963,7.008831425745372,0.03730043747268376
