case_id,cores,graph_sha256,config_sha256,B,U,L_safe_compute_window,L_safe_global,L_safe_separator,L_safe_compute_base,L_safe_compute_min_window,L_conditional_archived,A_cell,C_cell_safe,C_cell_safe_global,C_cell_conditional,safe_global_max_makespan_reduction,safe_global_max_relative_speed_gain,safe_max_makespan_reduction,safe_max_relative_speed_gain,conditional_max_makespan_reduction,conditional_max_relative_speed_gain,compute_window_dominant,conditional_dominant,extra_ddr_bytes,spill_bytes,selected,solver_wall_seconds,external_E0_wall_seconds,official_curve_point,L_conditional_combined,C_cell_conditional_combined,old_integer_scalar_certified_by_domination,safe_global_dominant,safe_global_max_makespan_cycles_reduction,mean_speedup_gap_contribution_cap
001,1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,233110,233110,232952,232952,232800,232800,232952,233090,1.0,1.0006782513135752,1.0006782513135752,1.0000858037667855,0.0006777916005319407,0.0006782513135752399,0.0006777916005319407,0.0006782513135752399,8.579640513062259e-05,8.580376678546386e-05,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.14746537499013357,0.14309724999475293,1.0,233090,1.0000858037667855,False,PIPE_M,158,6.7825131357524e-06
001,2,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,233110,116868,116552,116552,116400,116400,116552,116690,1.9946435294520313,2.000051479168097,2.000051479168097,1.9976861770503043,0.002703905260635908,0.002711236186423216,0.002703905260635908,0.002711236186423216,0.001523085874661989,0.0015254092038734512,PIPE_M,PIPE_M_rmin_work_qmin,1152,0,bounded,0.1475915419869125,0.14626287500141189,1.9946435294520313,116690,1.9976861770503043,False,PIPE_M,316,5.4079497160655073e-05
001,3,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,233110,78545,77752,77752,77600,77600,77752,77890,2.9678528232223567,2.998122234797819,2.998122234797819,2.9928103736038003,0.010096123241453925,0.010199094557053145,0.010096123241453925,0.010199094557053145,0.008339168629448057,0.008409295159840902,PIPE_M,PIPE_M_rmin_work_qmin,2304,0,bounded,0.14663279097294435,0.14455745898885652,2.9678528232223567,77890,2.9928103736038003,False,PIPE_M,793,0.0003026941157546226
001,4,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,233110,58984,58352,58352,58200,58200,58352,58490,3.952088702020887,3.9948930627913355,3.9948930627913355,3.9854676012993675,0.01071477010714772,0.010830819851933127,0.01071477010714772,0.010830819851933127,0.008375152583751544,0.008445888186014772,PIPE_M,PIPE_M_rmin_work_qmin,3456,0,bounded,0.1468356660043355,0.14779258301132359,3.952088702020887,58490,3.9854676012993675,False,PIPE_M,632,0.0004280436077044847
001,5,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,233110,47502,46712,46712,46560,46560,46712,46850,4.9073723211654245,4.990366501113204,4.990366501113204,4.975667022411953,0.016630878699844254,0.016912142490152382,0.016630878699844254,0.016912142490152382,0.01372573786366893,0.013916755602988218,PIPE_M,PIPE_M_rmin_work_qmin,4608,0,bounded,0.15271362499333918,0.15580041700741276,4.9073723211654245,46850,4.975667022411953,False,PIPE_M,790,0.0008299417994777958
002,1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,261945,261945,240180,240180,240036,240000,240180,240283,1.0,1.0906195353484887,1.0906195353484887,1.0901520290657267,0.08308996163316729,0.09061953534848866,0.08308996163316729,0.09061953534848866,0.08269674931760485,0.09015202906572672,PIPE_M,PIPE_M_rmin_work_qmin,0,0,bounded,0.1529058339947369,0.40239016598206945,1.0,240283,1.0901520290657267,False,PIPE_M,21765,0.0009061953534848866
002,2,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,261945,135690,120180,120536,120536,120000,120180,120283,1.93046650453239,2.179605591612581,2.1731681821198645,2.1777391651355553,0.11168103765937065,0.12572177606690116,0.11430466504532388,0.12905641537693469,0.11354558184096097,0.1280895887199356,PIPE_M,PIPE_M_rmin_work_qmin,39936,0,bounded,0.14712820801651105,0.39452274999348447,1.93046650453239,120536,2.1731681821198645,True,separator,15154,0.002427016775874744
002,3,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,261945,93963,80180,80703,80703,80000,80180,80283,2.7877462405414897,3.266961835869294,3.245790119326419,3.262770449534771,0.14111937677596498,0.16430615962231898,0.1466853974436746,0.17190072337241213,0.1455892212892309,0.17039721983483425,PIPE_M,PIPE_M_rmin_work_qmin,43008,0,bounded,0.1434159580094274,0.2742734159983229,2.7877462405414897,80703,3.245790119326419,True,separator,13260,0.004580438787849293
002,4,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,261945,73544,60180,60786,60786,60000,60180,60283,3.561745349722615,4.352691924227318,4.309298193663015,4.345254881143938,0.17347438268247584,0.20988385483499483,0.18171434787338192,0.2220671319375207,0.18031382573697374,0.21997909858500742,PIPE_M,PIPE_M_rmin_work_qmin,76800,0,bounded,0.27389270800631493,0.27303920799749903,3.561745349722615,60786,4.309298193663015,True,separator,12758,0.007475528439403995
002,5,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,261945,55067,48180,48836,48836,48000,48180,48283,4.756841665607351,5.436799501867995,5.363768531411254,5.425201416647681,0.11315306808070169,0.1275903022360554,0.12506582889934081,0.14294312992943126,0.1231953801732435,0.14050493962678368,PIPE_M,PIPE_M_rmin_work_qmin,76800,0,bounded,0.5224085419904441,0.2747820839867927,4.756841665607351,48836,5.363768531411254,True,separator,6231,0.006069268658039029
