case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
001,1,p1_branch_refine_834d8c9,233110,233110,1.0,233110,233110,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-001-k1,1
001,2,p1_branch_refine_834d8c9,233110,116868,1.9946435294520313,233110,116868,1.9946435294520313,1.9946435294520313,20260925T1525Z-s6607-branch-full500-p1-001-k2,1
001,3,p1_branch_refine_834d8c9,233110,78545,2.9678528232223567,233110,78545,2.9678528232223567,2.9678528232223567,20260925T1525Z-s6607-branch-full500-p1-001-k3,1
001,4,p1_branch_refine_834d8c9,233110,58984,3.952088702020887,233110,58984,3.952088702020887,3.952088702020887,20260925T1525Z-s6607-branch-full500-p1-001-k4,1
001,5,p1_branch_refine_834d8c9,233110,47502,4.9073723211654245,233110,47502,4.9073723211654245,4.9073723211654245,20260925T1525Z-s6607-branch-full500-p1-001-k5,1
002,1,p1_branch_refine_834d8c9,261945,261945,1.0,261945,261945,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-002-k1,1
002,2,p1_branch_refine_834d8c9,261945,135690,1.93046650453239,261945,135690,1.93046650453239,1.93046650453239,20260925T1525Z-s6607-branch-full500-p1-002-k2,1
002,3,p1_branch_refine_834d8c9,261945,93963,2.7877462405414897,261945,93963,2.7877462405414897,2.7877462405414897,20260925T1525Z-s6607-branch-full500-p1-002-k3,1
002,4,p1_branch_refine_834d8c9,261945,73544,3.561745349722615,261945,73544,3.561745349722615,3.561745349722615,20260925T1525Z-s6607-branch-full500-p1-002-k4,1
002,5,p1_branch_refine_834d8c9,261945,55067,4.756841665607351,261945,55067,4.756841665607351,4.756841665607351,20260925T1525Z-s6607-branch-full500-p1-002-k5,1
003,1,p1_branch_refine_834d8c9,602212,602382,0.9997177870520699,602212,602382,0.9997177870520699,1.0,20260925T1525Z-s6607-branch-full500-p1-003-k1,1
003,2,p1_branch_refine_834d8c9,602212,326972,1.841784617643101,602212,326972,1.841784617643101,1.841784617643101,20260925T1525Z-s6607-branch-full500-p1-003-k2,1
003,3,p1_branch_refine_834d8c9,602212,225604,2.6693321040407083,602212,225604,2.6693321040407083,2.6693321040407083,20260925T1525Z-s6607-branch-full500-p1-003-k3,1
003,4,p1_branch_refine_834d8c9,602212,193345,3.114701699035403,602212,193345,3.114701699035403,3.114701699035403,20260925T1525Z-s6607-branch-full500-p1-003-k4,1
003,5,p1_branch_refine_834d8c9,602212,165184,3.6457041844246416,602212,165184,3.6457041844246416,3.6457041844246416,20260925T1525Z-s6607-branch-full500-p1-003-k5,1
004,1,p1_branch_refine_834d8c9,392357,392357,1.0,392357,392357,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-004-k1,1
004,2,p1_branch_refine_834d8c9,392357,198796,1.9736664721624178,392357,198796,1.9736664721624178,1.9736664721624178,20260925T1525Z-s6607-branch-full500-p1-004-k2,1
004,3,p1_branch_refine_834d8c9,392357,134043,2.927098020784375,392357,134043,2.927098020784375,2.927098020784375,20260925T1525Z-s6607-branch-full500-p1-004-k3,1
004,4,p1_branch_refine_834d8c9,392357,104188,3.765855952700887,392357,104188,3.765855952700887,3.765855952700887,20260925T1525Z-s6607-branch-full500-p1-004-k4,1
004,5,p1_branch_refine_834d8c9,392357,88341,4.441391879195391,392357,88341,4.441391879195391,4.441391879195391,20260925T1525Z-s6607-branch-full500-p1-004-k5,1
005,1,p1_branch_refine_834d8c9,95618,95618,1.0,95618,95618,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-005-k1,1
005,2,p1_branch_refine_834d8c9,95618,58632,1.6308159366898622,95618,58632,1.6308159366898622,1.6308159366898622,20260925T1525Z-s6607-branch-full500-p1-005-k2,1
005,3,p1_branch_refine_834d8c9,95618,46707,2.0471877876977755,95618,46707,2.0471877876977755,2.0471877876977755,20260925T1525Z-s6607-branch-full500-p1-005-k3,1
005,4,p1_branch_refine_834d8c9,95618,42167,2.267602627647212,95618,42167,2.267602627647212,2.267602627647212,20260925T1525Z-s6607-branch-full500-p1-005-k4,1
005,5,p1_branch_refine_834d8c9,95618,41072,2.328058044409817,95618,41072,2.328058044409817,2.328058044409817,20260925T1525Z-s6607-branch-full500-p1-005-k5,1
006,1,p1_branch_refine_834d8c9,82837,82837,1.0,82837,82837,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-006-k1,1
006,2,p1_branch_refine_834d8c9,82837,43425,1.907587795048935,82837,43425,1.907587795048935,1.907587795048935,20260925T1525Z-s6607-branch-full500-p1-006-k2,1
006,3,p1_branch_refine_834d8c9,82837,31153,2.6590376528745225,82837,31153,2.6590376528745225,2.6590376528745225,20260925T1525Z-s6607-branch-full500-p1-006-k3,1
006,4,p1_branch_refine_834d8c9,82837,30204,2.742583763739902,82837,30204,2.742583763739902,2.742583763739902,20260925T1525Z-s6607-branch-full500-p1-006-k4,1
006,5,p1_branch_refine_834d8c9,82837,31153,2.6590376528745225,82837,31153,2.6590376528745225,2.6590376528745225,20260925T1525Z-s6607-branch-full500-p1-006-k5,1
007,1,p1_branch_refine_834d8c9,1012562,1012562,1.0,1012562,1012562,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-007-k1,1
007,2,p1_branch_refine_834d8c9,1012562,507256,1.9961557872159226,1012562,507256,1.9961557872159226,1.9961557872159226,20260925T1525Z-s6607-branch-full500-p1-007-k2,1
007,3,p1_branch_refine_834d8c9,1012562,338094,2.994912657426633,1012562,338094,2.994912657426633,2.994912657426633,20260925T1525Z-s6607-branch-full500-p1-007-k3,1
007,4,p1_branch_refine_834d8c9,1012562,254398,3.980227831979811,1012562,254398,3.980227831979811,3.980227831979811,20260925T1525Z-s6607-branch-full500-p1-007-k4,1
007,5,p1_branch_refine_834d8c9,1012562,203834,4.967581463347626,1012562,203834,4.967581463347626,4.967581463347626,20260925T1525Z-s6607-branch-full500-p1-007-k5,1
008,1,p1_branch_refine_834d8c9,487605,487605,1.0,487605,487605,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-008-k1,1
008,2,p1_branch_refine_834d8c9,487605,194956,2.5011028129424075,487605,194956,2.5011028129424075,2.5011028129424075,20260925T1525Z-s6607-branch-full500-p1-008-k2,1
008,3,p1_branch_refine_834d8c9,487605,137062,3.5575505975397994,487605,137062,3.5575505975397994,3.5575505975397994,20260925T1525Z-s6607-branch-full500-p1-008-k3,1
008,4,p1_branch_refine_834d8c9,487605,117710,4.142426301928468,487605,117710,4.142426301928468,4.142426301928468,20260925T1525Z-s6607-branch-full500-p1-008-k4,1
008,5,p1_branch_refine_834d8c9,487605,100603,4.846823653370178,487605,100603,4.846823653370178,4.846823653370178,20260925T1525Z-s6607-branch-full500-p1-008-k5,1
009,1,p1_branch_refine_834d8c9,153261,153397,0.9991134116051813,153261,153397,0.9991134116051813,1.0,20260925T1525Z-s6607-branch-full500-p1-009-k1,1
009,2,p1_branch_refine_834d8c9,153261,92011,1.665681277238591,153261,92011,1.665681277238591,1.665681277238591,20260925T1525Z-s6607-branch-full500-p1-009-k2,1
009,3,p1_branch_refine_834d8c9,153261,69982,2.190006001543254,153261,69982,2.190006001543254,2.190006001543254,20260925T1525Z-s6607-branch-full500-p1-009-k3,1
009,4,p1_branch_refine_834d8c9,153261,57707,2.655847644133294,153261,57707,2.655847644133294,2.655847644133294,20260925T1525Z-s6607-branch-full500-p1-009-k4,1
009,5,p1_branch_refine_834d8c9,153261,50248,3.0500915459321765,153261,50248,3.0500915459321765,3.0500915459321765,20260925T1525Z-s6607-branch-full500-p1-009-k5,1
010,1,p1_branch_refine_834d8c9,86969,86969,1.0,86969,86969,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-010-k1,1
010,2,p1_branch_refine_834d8c9,86969,45626,1.9061280848638933,86969,45626,1.9061280848638933,1.9061280848638933,20260925T1525Z-s6607-branch-full500-p1-010-k2,1
010,3,p1_branch_refine_834d8c9,86969,30856,2.8185442053409386,86969,30856,2.8185442053409386,2.8185442053409386,20260925T1525Z-s6607-branch-full500-p1-010-k3,1
010,4,p1_branch_refine_834d8c9,86969,24864,3.4977879665379668,86969,24864,3.4977879665379668,3.4977879665379668,20260925T1525Z-s6607-branch-full500-p1-010-k4,1
010,5,p1_branch_refine_834d8c9,86969,29434,2.9547122375484136,86969,29434,2.9547122375484136,2.9547122375484136,20260925T1525Z-s6607-branch-full500-p1-010-k5,1
011,1,p1_branch_refine_834d8c9,184697,184697,1.0,184697,184697,1.0,1.0,20260925T1525Z-s6607-branch-full500-p1-011-k1,1
011,2,p1_branch_refine_834d8c9,184697,92646,1.9935777043801135,184697,92646,1.9935777043801135,1.9935777043801135,20260925T1525Z-s6607-branch-full500-p1-011-k2,1
011,3,p1_branch_refine_834d8c9,184697,69625,2.6527396768402154,184697,69625,2.6527396768402154,2.6527396768402154,20260925T1525Z-s6607-branch-full500-p1-011-k3,1
011,4,p1_branch_refine_834d8c9,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,3.9397824232081913,20260925T1525Z-s6607-branch-full500-p1-011-k4,1
