case,cores,baseline,cache,no_cache,cache_speedup,no_cache_speedup,cache_gain,plan_cache,plan_no,graph_sha256,config_cache_sha256,config_shared_no,config_shared_cache,cache_result_sha256,cache_result_path,baseline_receipt_sha256,status
001,1,233110,233110,233110,1.0,1.0,1.0,7c38c5624015f66368ae8fc04787e357579dd1ef8ae15a6bc24d0fc83888c3c8,7c38c5624015f66368ae8fc04787e357579dd1ef8ae15a6bc24d0fc83888c3c8,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,aadede0be14316d9674e259f339efa1191249664445998acf8b3c098100c368c,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s03/cells/001-k1-unified-forest-witness-e0/evidence/result.json.gz,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,paired_table_checked_raw_review_pending
001,2,233110,116868,116868,1.9946435294520313,1.9946435294520313,1.0,a88bb5dda4c5ac743b8c418e55e440cc1d04d4a81e97175d964a7b51c29efd03,a88bb5dda4c5ac743b8c418e55e440cc1d04d4a81e97175d964a7b51c29efd03,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,7697035709723b65c688b93794c8366e97ba4b78e0482c5458fcc0326d5765d5,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k2-unified-forest-witness-e0/evidence/result.json.gz,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,paired_table_checked_raw_review_pending
001,3,233110,78545,78545,2.9678528232223567,2.9678528232223567,1.0,4e96e3bdbf30c338dc113ab77246a65f9c250f0969603e78a222f0419cc7465a,4e96e3bdbf30c338dc113ab77246a65f9c250f0969603e78a222f0419cc7465a,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,5f5447df9e3b8ea23ad550306a7ae06b8b226b24f62768731cefb70ef148ff87,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k3-unified-forest-witness-e0/evidence/result.json.gz,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,paired_table_checked_raw_review_pending
001,4,233110,58984,58984,3.952088702020887,3.952088702020887,1.0,8dd78c01e219b101e33c31bb0de6cf5cfad256cd7f03ed755f9959793c4ee6d8,8dd78c01e219b101e33c31bb0de6cf5cfad256cd7f03ed755f9959793c4ee6d8,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,30b4e9bd62660f11b5b8933d6452252d3b5cdf7deecfa2bf452691bdfd7ca15b,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k4-unified-forest-witness-e0/evidence/result.json.gz,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,paired_table_checked_raw_review_pending
001,5,233110,47502,47502,4.9073723211654245,4.9073723211654245,1.0,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,3a6b60253cd0533f6a48638e22906756106f205ad872db328b1adda161c0cf55,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k5-unified-forest-witness-e0/evidence/result.json.gz,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,paired_table_checked_raw_review_pending
002,1,261945,262089,262089,0.9994505683183956,0.9994505683183956,1.0,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,6c19bf94e9a284618ef80bebfce0e84458cf76d6a7f6640e4ad37f8ff309bf77,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k1-unified-forest-witness-e0/evidence/result.json.gz,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,paired_table_checked_raw_review_pending
002,2,261945,136624,136624,1.9172692938283171,1.9172692938283171,1.0,bd586be298c09171aed64a78930a7d0b4db4f422f8749d741bd0839b57bd8c7b,bd586be298c09171aed64a78930a7d0b4db4f422f8749d741bd0839b57bd8c7b,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,df9920e50593338fce1ceeea936545191d03d00e9ba43a7885033c89997f9e83,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k2-unified-forest-witness-e0/evidence/result.json.gz,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,paired_table_checked_raw_review_pending
002,3,261945,93527,93527,2.8007420317127676,2.8007420317127676,1.0,b69da7e6518a8120ece8d5f118801d5c0d28b5825f5516b8489a1f46b7aba232,b69da7e6518a8120ece8d5f118801d5c0d28b5825f5516b8489a1f46b7aba232,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,efd355becf9c52f3b4e8990b3676aa0f534b9484579db5b13ddb7943f1dbb486,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k3-unified-forest-witness-e0/evidence/result.json.gz,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,paired_table_checked_raw_review_pending
002,4,261945,72594,72594,3.608356062484503,3.608356062484503,1.0,766b1d229a95d51cff503d83f579eace883146239aefa376e0e752f19b373f6a,766b1d229a95d51cff503d83f579eace883146239aefa376e0e752f19b373f6a,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,141532d77c2c2ac891ea163eeee1cd62179ee80ca9d58a8a75893a99af9d16a3,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k4-unified-forest-witness-e0/evidence/result.json.gz,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,paired_table_checked_raw_review_pending
002,5,261945,54341,54341,4.8203934414162415,4.8203934414162415,1.0,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,f5d18a12536e68338a5a8532a21c4453d3f1b7ea1ed7ddc100de52ab954a4c72,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k5-unified-forest-witness-e0/evidence/result.json.gz,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,paired_table_checked_raw_review_pending
