case,cores,plan_sha256,p2_sha256,p3_sha256,no_l2_makespan,cache_makespan,cache_gain,hit_bytes,miss_bytes,byte_hit_rate,category
001,1,7c38c5624015f66368ae8fc04787e357579dd1ef8ae15a6bc24d0fc83888c3c8,fd8cce4b68416b95375bdbd636329566f5f406a8c6bcd7aaf59cbbc28f4cd41b,aadede0be14316d9674e259f339efa1191249664445998acf8b3c098100c368c,233110,233110,1.0,0,820352,0.0,parity
002,1,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,58946ce05db71e8262a980b7d5175ebf6ab8ad590722a1f9c973e74998f6e136,6c19bf94e9a284618ef80bebfce0e84458cf76d6a7f6640e4ad37f8ff309bf77,262089,262089,1.0,0,1222656,0.0,parity
003,1,124379cd6c9597d3d9baff275bd411ff8e3db0ccfb638f0c619d253ecf6f2e56,894cb13679e7e6cc01b057710859ab805ac27acc513fccdee3e455c4c7cb8ed3,1ba3dd3378686cf87afd3a7926c53bf91dfe679306a35e00bcd04e6f4b6243ed,442629,442629,1.0,22,1617416,1.3601757841722527e-05,parity
004,1,eb27a399dec0766476b103eb6876baffe355f1ab097190aa5da4b029333ae08a,cafc17025548068e10aaadf43ec6a615b550e637ce5dc067b9b4aec6ab3087a4,c1af64ab5810f218d5e17202ddd1a9039bfe93b4aa6d537bb190220cd460977e,386363,386363,1.0,0,451584,0.0,parity
005,1,4ead7f814b76f0ecb77bf1597e5d210058aa61267f2a2c309b5988bdcd259c7b,e88fd1ba72fecb923a78c9eb7438603e7ad371960210810f13984a5cf5d83e38,f48697c32efb2f45747c9fe703701715060b55884d0a20c0e0a1de01e79b8a64,73504,73504,1.0,0,318822,0.0,parity
006,1,a4482c2cb7df1ff33c42f646511a71f8cd1c4ece4fb1e79f6039d7cff204a1af,4cb2b8ad80b2d30b8cd12817be10f9a78cecb233397fccfc0df6b16dd24f000e,d48c00f08dcf4fce4fc7091f327fe53b03459cfdfc9c88d0c5757a91b8a640d6,69415,69415,1.0,3074,560690,0.0054526362094777245,parity
007,1,89971b78ef1fd4cc6d0055e312fa762a47a73c13c559b78a02db5b08ff638375,87683ddc4c9719898d8c7495439146078ec7392777af9a77a077e70150a77572,26cb32d74af6a5f4484af361ee991980631ac65d36dff978fb0ebfea18636c14,979262,979262,1.0,0,880128,0.0,parity
008,1,9a09ed07495acbe2f73c914661fca756b96e31cffaa3c194bcb86a9f14a05511,00cedcf60b171d2c591cc796da0ccc58d8a887af25a69f65fab10030cd4b8c19,7575c827113a7bd1cdd67c2a954c8a8042b02b1c55c52f119d36a0289741b638,250437,250437,1.0,0,1990872,0.0,parity
009,1,006adf9bce2db4b34c651d31c0dda90636de35f6940e4d4763d597c00949eac2,6378802127dc3d423be4e8ae1238b921d8bd5dd57caafd47a68398a6ac60bc11,0c76d47b82b0ac8700e0fd6268d2015a74a9e4dd26f13af26020401aede7ac74,121978,121941,1.0003034254270509,34306,685850,0.04763690089369525,positive
010,1,ec35b30a25d0407602fa35b68c68d4356cff6a27b4551dcd0ff7acb3256a8519,00c52ccd6e93a54719314beb65c529c618bca6197e2950af2aa306c6186b4bcd,f6fb3fac853be3a509a0d369152edeb6d2ebb263baf6f5771c179e260f8b514b,57684,57684,1.0,0,395086,0.0,parity
011,1,796ab9143058b7a48d6f606f92b345a71b2094ab29f7831694677f8c0d7b5011,0003529c82705e770a3b487cbb460a728802a176952bd55271f53f22785bd647,7ad442075e2cc996fc37330a4c137ea8dea008002256df20a492ff3240181549,184697,184697,1.0,0,540672,0.0,parity
012,1,46266da2f03bd9228e5d6f55ffb99f5e0b1af3d4623bb6c75de385970a2a580b,b18aeb80de76f426980dc72a6c793b86ad1c8ff454c53dd3861b67e0d31aa2fc,f07d524d6779a2500e80a8edbb9f8995aa4d7ef5733393b340486cd76535e676,36348,36348,1.0,0,484096,0.0,parity
013,1,c9b7a59e2d53d3715dbc60b72335e4b90974be5b693dec9cb4c5168b60a9e615,18dfe490c5bbe7b2f8c105a3c37c2c65b09360289a928360367567d7c12ef561,a02838aeda9c4b63374308fb4bb57fcc73d3a7b13527b285483ece1100ed994e,263949,263949,1.0,0,2023424,0.0,parity
