case,cores,baseline,no_cache,cache,plan_no,plan_cache,config_shared_no,config_shared_cache,hit_bytes,miss_bytes,cache_gain,hit_rate,graph_sha256,no_result_sha256,cache_result_sha256
001,1,233110,233110,233110,7c38c5624015f66368ae8fc04787e357579dd1ef8ae15a6bc24d0fc83888c3c8,7c38c5624015f66368ae8fc04787e357579dd1ef8ae15a6bc24d0fc83888c3c8,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,820352,1.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,fd8cce4b68416b95375bdbd636329566f5f406a8c6bcd7aaf59cbbc28f4cd41b,aadede0be14316d9674e259f339efa1191249664445998acf8b3c098100c368c
001,2,233110,116868,116868,a88bb5dda4c5ac743b8c418e55e440cc1d04d4a81e97175d964a7b51c29efd03,a88bb5dda4c5ac743b8c418e55e440cc1d04d4a81e97175d964a7b51c29efd03,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,821504,1.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,97f31f802a475907a287168c75ca76afbd00acf81143fe6e21cb94682ceebe1b,7697035709723b65c688b93794c8366e97ba4b78e0482c5458fcc0326d5765d5
001,3,233110,78545,78545,4e96e3bdbf30c338dc113ab77246a65f9c250f0969603e78a222f0419cc7465a,4e96e3bdbf30c338dc113ab77246a65f9c250f0969603e78a222f0419cc7465a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,822656,1.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,84d5d3f631c37004092c36f056cb5d1171c9c2da22418d16c2f3b86d63fa0a32,5f5447df9e3b8ea23ad550306a7ae06b8b226b24f62768731cefb70ef148ff87
001,4,233110,58984,58984,8dd78c01e219b101e33c31bb0de6cf5cfad256cd7f03ed755f9959793c4ee6d8,8dd78c01e219b101e33c31bb0de6cf5cfad256cd7f03ed755f9959793c4ee6d8,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,823808,1.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,72c5043ac225a982c98280214bc60074b042bd4cfa6f76e084526a850cb5f512,30b4e9bd62660f11b5b8933d6452252d3b5cdf7deecfa2bf452691bdfd7ca15b
001,5,233110,47502,47502,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,824960,1.0,0.0,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,2242f93581538a58c371c848d2737afd7bbf14fd5986abf6285795407c95b361,3a6b60253cd0533f6a48638e22906756106f205ad872db328b1adda161c0cf55
002,1,261945,262089,262089,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1222656,1.0,0.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,58946ce05db71e8262a980b7d5175ebf6ab8ad590722a1f9c973e74998f6e136,6c19bf94e9a284618ef80bebfce0e84458cf76d6a7f6640e4ad37f8ff309bf77
002,2,261945,136624,136624,bd586be298c09171aed64a78930a7d0b4db4f422f8749d741bd0839b57bd8c7b,bd586be298c09171aed64a78930a7d0b4db4f422f8749d741bd0839b57bd8c7b,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1231872,1.0,0.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,d8da943a8986a0799bc366ce2e43b89470a3b1840104f93af717665f2a69699d,df9920e50593338fce1ceeea936545191d03d00e9ba43a7885033c89997f9e83
002,3,261945,93527,93527,b69da7e6518a8120ece8d5f118801d5c0d28b5825f5516b8489a1f46b7aba232,b69da7e6518a8120ece8d5f118801d5c0d28b5825f5516b8489a1f46b7aba232,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1225728,1.0,0.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,0f49189238538fdcc6fb1b5aa695c2a98f61ccf4ca8f59c0d3c401a055feb402,efd355becf9c52f3b4e8990b3676aa0f534b9484579db5b13ddb7943f1dbb486
002,4,261945,72594,72594,766b1d229a95d51cff503d83f579eace883146239aefa376e0e752f19b373f6a,766b1d229a95d51cff503d83f579eace883146239aefa376e0e752f19b373f6a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1247232,1.0,0.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,b68382d84b0c315c5ffd2e043afb06757f1ce7fbe9bbbb68523ae5c6d13ac8f8,141532d77c2c2ac891ea163eeee1cd62179ee80ca9d58a8a75893a99af9d16a3
002,5,261945,54341,54341,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,0,1247232,1.0,0.0,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,cda61f340804574d6ffc9e6e040a5e932260853cc74f6360446e93580d6594f7,f5d18a12536e68338a5a8532a21c4453d3f1b7ea1ed7ddc100de52ab954a4c72
