case,cores,upper,lower,certified,domain,gap,applicability
001,1,233110,232952,1,global,0.0006782513135752399,at most one eligible producer per original tensor
001,2,116868,116552,1,global,0.002711236186423216,at most one eligible producer per original tensor
001,3,78545,77988,1,global,0.007142124429399432,at most one eligible producer per original tensor
001,4,58984,58352,1,global,0.010830819851933127,at most one eligible producer per original tensor
001,5,47502,46712,1,global,0.016912142490152382,at most one eligible producer per original tensor
002,1,240813,240180,1,global,0.0026355233574819614,at most one eligible producer per original tensor
002,2,124780,120180,1,global,0.03827591945415221,at most one eligible producer per original tensor
002,3,86384,80180,1,global,0.0773759042155151,at most one eligible producer per original tensor
002,4,67942,60180,1,global,0.12897972748421394,at most one eligible producer per original tensor
002,5,59810,48180,1,global,0.2413864674138646,at most one eligible producer per original tensor
003,1,450981,438894,1,global,0.027539679284747542,at most one eligible producer per original tensor
003,2,245150,219498,1,global,0.11686666848900673,at most one eligible producer per original tensor
003,3,195043,146366,1,global,0.3325704056953118,at most one eligible producer per original tensor
003,4,172891,109800,1,global,0.5745992714025501,at most one eligible producer per original tensor
003,5,163449,87861,1,global,0.8603134496534299,at most one eligible producer per original tensor
004,1,386363,385644,1,global,0.0018644138117018816,at most one eligible producer per original tensor
004,2,194814,193386,1,global,0.007384195339890098,at most one eligible producer per original tensor
004,3,130725,128568,1,global,0.01677711405637483,at most one eligible producer per original tensor
004,4,100074,97272,1,global,0.02880582284727362,at most one eligible producer per original tensor
004,5,83183,77586,1,global,0.07213930348258701,at most one eligible producer per original tensor
005,1,71523,63918,1,global,0.1189805688538439,at most one eligible producer per original tensor
005,2,43029,32018,1,global,0.3439003060778312,at most one eligible producer per original tensor
005,3,37450,21416,1,global,0.7486925663055659,at most one eligible producer per original tensor
005,4,35303,16115,1,global,1.1906919019547004,at most one eligible producer per original tensor
005,5,33515,12935,1,global,1.5910320834943952,at most one eligible producer per original tensor
006,1,69275,69000,1,global,0.003985507246376807,at most one eligible producer per original tensor
006,2,36868,34500,1,global,0.06863768115942026,at most one eligible producer per original tensor
006,3,26745,23000,1,global,0.16282608695652168,at most one eligible producer per original tensor
006,4,23478,17250,1,global,0.3610434782608696,at most one eligible producer per original tensor
006,5,22471,13800,1,global,0.6283333333333334,at most one eligible producer per original tensor
007,1,979262,979056,1,global,0.00021040675916395024,at most one eligible producer per original tensor
007,2,490226,489804,1,global,0.0008615691174429507,at most one eligible producer per original tensor
007,3,326994,326376,1,global,0.0018935215824693596,at most one eligible producer per original tensor
007,4,246030,245196,1,global,0.00340136054421758,at most one eligible producer per original tensor
007,5,196870,195840,1,global,0.005259395424836555,at most one eligible producer per original tensor
008,1,250437,250128,1,global,0.0012353674918441637,at most one eligible producer per original tensor
008,2,125682,125064,1,global,0.004941469967376655,at most one eligible producer per original tensor
008,3,84303,83376,1,global,0.011118307426597474,at most one eligible producer per original tensor
008,4,63768,62532,1,global,0.01976587986950684,at most one eligible producer per original tensor
008,5,52291,50952,1,global,0.02627963573559433,at most one eligible producer per original tensor
