case,cores,upper,lower,certified,domain,gap
001,1,233110,232952,1,at most one eligible producer per original tensor,0.0006782513135752399
001,2,116868,116552,1,at most one eligible producer per original tensor,0.002711236186423216
001,3,78545,77988,1,at most one eligible producer per original tensor,0.007142124429399432
001,4,58984,58352,1,at most one eligible producer per original tensor,0.010830819851933127
001,5,47502,46712,1,at most one eligible producer per original tensor,0.016912142490152382
002,1,240813,240180,1,at most one eligible producer per original tensor,0.0026355233574819614
002,2,124780,120180,1,at most one eligible producer per original tensor,0.03827591945415221
002,3,86384,80180,1,at most one eligible producer per original tensor,0.0773759042155151
002,4,67942,60180,1,at most one eligible producer per original tensor,0.12897972748421394
002,5,59810,48180,1,at most one eligible producer per original tensor,0.2413864674138646
003,1,450981,438894,1,at most one eligible producer per original tensor,0.027539679284747542
003,2,245150,219498,1,at most one eligible producer per original tensor,0.11686666848900673
003,3,195043,146366,1,at most one eligible producer per original tensor,0.3325704056953118
003,4,172891,109800,1,at most one eligible producer per original tensor,0.5745992714025501
003,5,163449,87861,1,at most one eligible producer per original tensor,0.8603134496534299
004,1,386363,385644,1,at most one eligible producer per original tensor,0.0018644138117018816
004,2,194814,193386,1,at most one eligible producer per original tensor,0.007384195339890098
004,3,130725,128568,1,at most one eligible producer per original tensor,0.01677711405637483
004,4,100074,97272,1,at most one eligible producer per original tensor,0.02880582284727362
004,5,83183,77586,1,at most one eligible producer per original tensor,0.07213930348258701
005,1,71523,63918,1,at most one eligible producer per original tensor,0.1189805688538439
005,2,43029,32018,1,at most one eligible producer per original tensor,0.3439003060778312
005,3,37450,21416,1,at most one eligible producer per original tensor,0.7486925663055659
005,4,35303,16115,1,at most one eligible producer per original tensor,1.1906919019547004
005,5,33515,12935,1,at most one eligible producer per original tensor,1.5910320834943952
006,1,69275,69000,1,at most one eligible producer per original tensor,0.003985507246376807
006,2,36868,34500,1,at most one eligible producer per original tensor,0.06863768115942026
006,3,26745,23000,1,at most one eligible producer per original tensor,0.16282608695652168
006,4,23478,17250,1,at most one eligible producer per original tensor,0.3610434782608696
006,5,22471,13800,1,at most one eligible producer per original tensor,0.6283333333333334
007,1,979262,979056,1,at most one eligible producer per original tensor,0.00021040675916395024
007,2,490226,489804,1,at most one eligible producer per original tensor,0.0008615691174429507
007,3,326994,326376,1,at most one eligible producer per original tensor,0.0018935215824693596
007,4,246030,245196,1,at most one eligible producer per original tensor,0.00340136054421758
007,5,196870,195840,1,at most one eligible producer per original tensor,0.005259395424836555
008,1,250437,250128,1,at most one eligible producer per original tensor,0.0012353674918441637
008,2,125682,125064,1,at most one eligible producer per original tensor,0.004941469967376655
008,3,84303,83376,1,at most one eligible producer per original tensor,0.011118307426597474
008,4,63768,62532,1,at most one eligible producer per original tensor,0.01976587986950684
008,5,52291,50952,1,at most one eligible producer per original tensor,0.02627963573559433
009,1,120103,119992,1,at most one eligible producer per original tensor,0.0009250616707781045
009,2,63059,59996,1,at most one eligible producer per original tensor,0.05105340356023724
009,3,46378,39998,1,at most one eligible producer per original tensor,0.15950797539877004
009,4,48334,29998,1,at most one eligible producer per original tensor,0.6112407493832923
009,5,51905,23999,1,at most one eligible producer per original tensor,1.1627984499354138
010,1,57684,55496,1,at most one eligible producer per original tensor,0.03942626495603285
010,2,29542,27748,1,at most one eligible producer per original tensor,0.06465330834654748
010,3,21389,18499,1,at most one eligible producer per original tensor,0.15622466079247532
010,4,19162,13874,1,at most one eligible producer per original tensor,0.38114458699726117
010,5,20820,11100,1,at most one eligible producer per original tensor,0.8756756756756756
011,1,184697,184524,1,at most one eligible producer per original tensor,0.0009375474193058508
011,2,92646,92300,1,at most one eligible producer per original tensor,0.0037486457204767287
011,3,69625,61832,1,at most one eligible producer per original tensor,0.12603506275067922
011,4,46880,46188,1,at most one eligible producer per original tensor,0.014982246470944816
011,5,46777,37204,1,at most one eligible producer per original tensor,0.2573110418234599
012,1,36348,35613,1,at most one eligible producer per original tensor,0.020638530873557492
012,2,18972,17827,1,at most one eligible producer per original tensor,0.06422841756885633
012,3,15007,11899,1,at most one eligible producer per original tensor,0.26119842003529703
012,4,13803,8934,1,at most one eligible producer per original tensor,0.5449966420416388
012,5,12661,7156,1,at most one eligible producer per original tensor,0.7692845164896591
013,1,263949,263844,1,at most one eligible producer per original tensor,0.0003979624323464659
013,2,132198,131988,1,at most one eligible producer per original tensor,0.0015910537321575102
013,3,88351,88036,1,at most one eligible producer per original tensor,0.0035780816938524307
013,4,66946,66060,1,at most one eligible producer per original tensor,0.013412049651831737
013,5,54117,52875,1,at most one eligible producer per original tensor,0.023489361702127676
014,1,17430036,17225868,1,at most one eligible producer per original tensor,0.01185240708915214
014,2,8749303,8612994,1,at most one eligible producer per original tensor,0.01582597178170575
014,3,5868958,5742036,1,at most one eligible producer per original tensor,0.02210400631413667
014,4,4478191,4306557,1,at most one eligible producer per original tensor,0.03985411083610413
014,5,3666823,3445270,1,at most one eligible producer per original tensor,0.06430642591146696
015,1,114569,101497,1,at most one eligible producer per original tensor,0.12879198399952707
015,2,64179,50749,1,at most one eligible producer per original tensor,0.2646357563695836
015,3,41333,33833,1,at most one eligible producer per original tensor,0.22167706085774253
015,4,42098,25375,1,at most one eligible producer per original tensor,0.6590344827586208
015,5,40828,20300,1,at most one eligible producer per original tensor,1.0112315270935959
016,1,7715523,7714975,1,at most one eligible producer per original tensor,7.103069031333398e-05
016,2,4023361,3857494,1,at most one eligible producer per original tensor,0.042998641086674505
016,3,2885946,2571672,1,at most one eligible producer per original tensor,0.1222060978227395
016,4,2249997,1928760,1,at most one eligible producer per original tensor,0.1665510483419399
016,5,2091375,1543016,1,at most one eligible producer per original tensor,0.35538127926087615
017,1,111608,110641,1,at most one eligible producer per original tensor,0.008739978850516472
017,2,56703,55341,1,at most one eligible producer per original tensor,0.024611047866861746
017,3,42129,36908,1,at most one eligible producer per original tensor,0.14145984610382567
017,4,31517,27691,1,at most one eligible producer per original tensor,0.13816763569390766
017,5,28510,22161,1,at most one eligible producer per original tensor,0.2864942917738369
018,1,971704,971373,1,at most one eligible producer per original tensor,0.00034075478729600484
018,2,488869,485713,1,at most one eligible producer per original tensor,0.00649766425852305
018,3,328555,323827,1,at most one eligible producer per original tensor,0.014600388479033555
018,4,248834,242883,1,at most one eligible producer per original tensor,0.02450150895698755
018,5,196504,194317,1,at most one eligible producer per original tensor,0.011254805292383097
019,1,51676,48493,1,at most one eligible producer per original tensor,0.06563833955416243
019,2,26298,24275,1,at most one eligible producer per original tensor,0.08333676622039143
019,3,19189,16203,1,at most one eligible producer per original tensor,0.18428686045793996
019,4,17874,12234,1,at most one eligible producer per original tensor,0.4610102991662579
019,5,16247,12234,1,at most one eligible producer per original tensor,0.328020271374857
020,1,532746,532608,1,at most one eligible producer per original tensor,0.00025910237923576496
020,2,266828,266304,1,at most one eligible producer per original tensor,0.001967676039413613
020,3,180314,177536,1,at most one eligible producer per original tensor,0.01564753064167257
020,4,146116,133152,1,at most one eligible producer per original tensor,0.09736241288151892
020,5,110112,106552,1,at most one eligible producer per original tensor,0.03341091673549057
021,1,6560801,6192816,1,at most one eligible producer per original tensor,0.05942127135700459
