cores,gap,cdf
1,4.380313256180379e-05,0.01
1,7.103069031333398e-05,0.02
1,0.00012316904477671642,0.03
1,0.0001367797061733178,0.04
1,0.00016964584818635053,0.05
1,0.00021040675916395024,0.06
1,0.00021449861926292613,0.07
1,0.00021777803100797577,0.08
1,0.0002375812867403404,0.09
1,0.00024173739299393482,0.1
1,0.00025910237923576496,0.11
1,0.00028878720588565443,0.12
1,0.00034075478729600484,0.13
1,0.0003979624323464659,0.14
1,0.00046136101499416604,0.15
1,0.0006447472957282763,0.16
1,0.0006655943202618086,0.17
1,0.0006782513135752399,0.18
1,0.0008523277991432376,0.19
1,0.0009026816893984435,0.2
1,0.0009250616707781045,0.21
1,0.0009375474193058508,0.22
1,0.001007414571244425,0.23
1,0.0010998119162231035,0.24
1,0.0012353674918441637,0.25
1,0.001332454581924436,0.26
1,0.001417004048583026,0.27
1,0.0015129541212643982,0.28
1,0.0017442356873060838,0.29
1,0.0018644138117018816,0.3
1,0.0018674136321195078,0.31
1,0.0019387251665983207,0.32
1,0.002112075189981466,0.33
1,0.002231086471502941,0.34
1,0.0025163684639291084,0.35
1,0.0026355233574819614,0.36
1,0.002998253517326077,0.37
1,0.0031769377849684144,0.38
1,0.0032276518656111364,0.39
1,0.0033598947709552185,0.4
1,0.0034961426193713674,0.41
1,0.0035070612909335885,0.42
1,0.003985507246376807,0.43
1,0.004083636263097157,0.44
1,0.004535402904348063,0.45
1,0.004749786612636031,0.46
1,0.006084217181618667,0.47
1,0.007224999306873592,0.48
1,0.007543208826410686,0.49
1,0.008604799841971822,0.5
1,0.008739978850516472,0.51
1,0.01105653395490469,0.52
1,0.011548436809000862,0.53
1,0.01185240708915214,0.54
1,0.012991092740868293,0.55
1,0.013159470138125462,0.56
1,0.014717884640385925,0.57
1,0.01591473344478067,0.58
1,0.018408951993663214,0.59
1,0.020638530873557492,0.6
1,0.020845109851360233,0.61
1,0.021424915973941472,0.62
1,0.02209652278765173,0.63
1,0.024187100639700088,0.64
1,0.027539679284747542,0.65
1,0.027980130052571273,0.66
1,0.027989785136459,0.67
1,0.028952036153137684,0.68
1,0.030037880282523854,0.69
