variant,event_id,op_id,core,pipe,start,end
p2,0-0-1000004901,1000004901,1,PIPE_MTE2,0,207
p2,0-0-1000006101,1000006101,1,PIPE_MTE2,207,516
p2,0-0-451,451,1,PIPE_M,516,3612
p2,0-0-1000004949,1000004949,1,PIPE_MTE2,516,723
p2,0-0-1000006107,1000006107,1,PIPE_MTE2,723,1032
p2,0-0-1000004997,1000004997,1,PIPE_MTE2,1032,1239
p2,0-0-1000006113,1000006113,1,PIPE_MTE2,1239,1548
p2,0-0-1000005045,1000005045,1,PIPE_MTE2,1548,1755
p2,0-0-1000006119,1000006119,1,PIPE_MTE2,1755,2064
p2,0-0-1000004919,1000004919,1,PIPE_MTE2,2064,2271
p2,0-0-1000005093,1000005093,1,PIPE_MTE2,2271,2478
p2,0-0-1000006125,1000006125,1,PIPE_MTE2,2478,2787
p2,0-0-1000004967,1000004967,1,PIPE_MTE2,2787,2994
p2,0-0-1000005141,1000005141,1,PIPE_MTE2,2994,3201
p2,0-0-1000006131,1000006131,1,PIPE_MTE2,3201,3510
p2,0-0-1000005015,1000005015,1,PIPE_MTE2,3510,3717
p2,0-0-452,452,1,PIPE_M,3612,6708
p2,0-0-1000005189,1000005189,1,PIPE_MTE2,3717,3924
p2,0-0-1000006137,1000006137,1,PIPE_MTE2,3924,4233
p2,0-0-1000005063,1000005063,1,PIPE_MTE2,4233,4440
p2,0-0-1000005237,1000005237,1,PIPE_MTE2,4440,4647
p2,0-0-1000006143,1000006143,1,PIPE_MTE2,4647,4956
p2,0-0-1000004937,1000004937,1,PIPE_MTE2,4956,5163
p2,0-0-1000005111,1000005111,1,PIPE_MTE2,5163,5370
p2,0-0-1000005285,1000005285,1,PIPE_MTE2,5370,5577
p2,0-0-1000006149,1000006149,1,PIPE_MTE2,5577,5886
p2,0-0-1000004985,1000004985,1,PIPE_MTE2,5886,6093
p2,0-0-1000005159,1000005159,1,PIPE_MTE2,6093,6300
p2,0-0-1000005333,1000005333,1,PIPE_MTE2,6300,6507
p2,0-0-1000006155,1000006155,1,PIPE_MTE2,6507,6816
p2,0-0-453,453,1,PIPE_M,6708,9804
p2,0-0-1000005033,1000005033,1,PIPE_MTE2,6816,7023
p2,0-0-1000005207,1000005207,1,PIPE_MTE2,7023,7230
