metric,value
makespan_p2_cycles,2140720
makespan_p3_cycles,2140863
increase_cycles,143
cache_gain_p2_over_p3,0.9999332045067807
operation_count_aligned,8881
changed_start,7485
changed_end,7808
changed_duration,2392
original_graph_copy_bytes,3338240
scheduled_copy_bytes,39993344
added_copy_bytes,36655104
partition_added_copy_bytes,4710400
spill_added_copy_bytes,31944704
cache_copy_in_hits,681
cache_copy_in_misses,3133
cache_hit_bytes,3692544
cache_miss_bytes,22206464
cache_hit_rate,0.14257472718646214
