batch,problem,case_id,cores,status,makespan_cycles,singlecore_cycles,speedup,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,cache_speedup,algorithm_id,source,case_no
A-farmer-q1-v3,P1,001,2,ok,117688.0,,1.9807457004962272,17.53,,1645312.0,5760.0,,,,q1-propose-e0,703fed17 (feed 638c565a),1
A-farmer-q1-v3,P1,001,3,ok,78955.0,,2.9524412640111457,17.46,,1658752.0,19200.0,,,,q1-propose-e0,703fed17 (feed 638c565a),1
A-farmer-q1-v3,P1,001,4,ok,59868.0,,3.8937328790004675,17.36,,1647616.0,8064.0,,,,q1-propose-e0,703fed17 (feed 638c565a),1
A-farmer-q1-v3,P1,001,5,ok,47502.0,,4.9073723211654245,17.34,,1644160.0,4608.0,,,,q1-propose-e0,703fed17 (feed 638c565a),1
A-farmer-q1-v3,P1,001,1,ok,233110.0,,1.0,,0.364,,,,,,official-singlecore,703fed17 (feed 638c565a),1
A-farmer-q1-v3,P1,002,2,ok,183897.0,,1.424411491215191,46.41,,2440704.0,1216512.0,,,,q1-propose-e0,703fed17 (feed 638c565a),2
A-farmer-q1-v3,P1,002,3,ok,145829.0,,1.7962476599304664,26.64,,2440704.0,1216512.0,,,,q1-propose-e0,703fed17 (feed 638c565a),2
A-farmer-q1-v3,P1,002,4,ok,119687.0,,2.1885835554404407,26.57,,2440704.0,1216512.0,,,,q1-propose-e0,703fed17 (feed 638c565a),2
A-farmer-q1-v3,P1,002,5,ok,104119.0,,2.5158232407149512,26.61,,2440704.0,1216512.0,,,,q1-propose-e0,703fed17 (feed 638c565a),2
A-farmer-q1-v3,P1,002,1,ok,261945.0,,1.0,,0.76,,,,,,official-singlecore,703fed17 (feed 638c565a),2
A-farmer-q1-v3,P1,003,2,ok,602212.0,,1.0,93.09,,1284264.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),3
A-farmer-q1-v3,P1,003,3,ok,602212.0,,1.0,97.85,,1284264.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),3
A-farmer-q1-v3,P1,003,4,ok,602212.0,,1.0,96.46,,1284264.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),3
A-farmer-q1-v3,P1,003,5,ok,602212.0,,1.0,96.05,,1284264.0,0.0,,,,q1-propose-e0,703fed17 (feed 638c565a),3
A-farmer-q1-v3,P1,003,1,ok,602212.0,,1.0,,22.224,,,,,,official-singlecore,703fed17 (feed 638c565a),3
A-farmer-q1-v3,P1,004,2,ok,201621.0,,1.9460125681352638,19.27,,1566720.0,774144.0,,,,q1-propose-e0,703fed17 (feed 638c565a),4
A-farmer-q1-v3,P1,004,3,ok,137411.0,,2.8553536470879335,19.43,,1677312.0,884736.0,,,,q1-propose-e0,703fed17 (feed 638c565a),4
A-farmer-q1-v3,P1,004,4,ok,105898.0,,3.7050463653704506,20.51,,1566720.0,774144.0,,,,q1-propose-e0,703fed17 (feed 638c565a),4
A-farmer-q1-v3,P1,004,5,ok,90136.0,,4.352944439513624,20.13,,2027520.0,1234944.0,,,,q1-propose-e0,703fed17 (feed 638c565a),4
A-farmer-q1-v3,P1,004,1,ok,392357.0,,1.0,,0.399,,,,,,official-singlecore,703fed17 (feed 638c565a),4
A-farmer-q1-v3,P1,005,2,ok,93799.0,,1.0193925308372158,53.92,,514036.0,180622.0,,,,q1-propose-e0,703fed17 (feed 638c565a),5
A-farmer-q1-v3,P1,005,3,ok,93799.0,,1.0193925308372158,60.92,,514036.0,180622.0,,,,q1-propose-e0,703fed17 (feed 638c565a),5
A-farmer-q1-v3,P1,005,4,ok,93799.0,,1.0193925308372158,61.24,,514036.0,180622.0,,,,q1-propose-e0,703fed17 (feed 638c565a),5
A-farmer-q1-v3,P1,005,5,ok,93799.0,,1.0193925308372158,59.93,,514036.0,180622.0,,,,q1-propose-e0,703fed17 (feed 638c565a),5
A-farmer-q1-v3,P1,005,1,ok,95618.0,,1.0,,2.348,,,,,,official-singlecore,703fed17 (feed 638c565a),5
A-farmer-q1-v3,P1,006,2,ok,42574.0,,1.9457180438765445,18.64,,603508.0,60160.0,,,,q1-propose-e0,703fed17 (feed 638c565a),6
A-farmer-q1-v3,P1,006,3,ok,31151.0,,2.6592083721228854,18.79,,634612.0,91264.0,,,,q1-propose-e0,703fed17 (feed 638c565a),6
A-farmer-q1-v3,P1,006,4,ok,31308.0,,2.6458732592308674,19.11,,634612.0,91264.0,,,,q1-propose-e0,703fed17 (feed 638c565a),6
A-farmer-q1-v3,P1,006,5,ok,31465.0,,2.63267122199269,19.04,,634612.0,91264.0,,,,q1-propose-e0,703fed17 (feed 638c565a),6
A-farmer-q1-v3,P1,006,1,ok,82837.0,,1.0,,0.402,,,,,,official-singlecore,703fed17 (feed 638c565a),6
A-farmer-q1-v3,P1,007,2,ok,514118.0,,1.9695128355747125,54.28,,2657280.0,924672.0,,,,q1-propose-e0,703fed17 (feed 638c565a),7
A-farmer-q1-v3,P1,007,3,ok,345089.0,,2.9342053789022544,54.06,,2684928.0,952320.0,,,,q1-propose-e0,703fed17 (feed 638c565a),7
