core,source_core_id,task_id,op_id,op,pipe,p2_start,p2_end,p2_duration,p3_start,p3_end,p3_duration,p3_cache_hit,p3_memory_path,start_diff,end_diff,duration_diff
1,0,0,451,MATMUL,PIPE_M,516,3612,3096,516,3612,3096,,,0,0,0
1,0,0,452,MATMUL,PIPE_M,3612,6708,3096,3612,6708,3096,,,0,0,0
1,0,0,453,MATMUL,PIPE_M,6708,9804,3096,6708,9804,3096,,,0,0,0
1,0,0,454,MATMUL,PIPE_M,9804,12900,3096,9804,12900,3096,,,0,0,0
1,0,0,455,MATMUL,PIPE_M,15996,19092,3096,15996,19092,3096,,,0,0,0
1,0,0,456,MATMUL,PIPE_M,22188,25284,3096,22188,25284,3096,,,0,0,0
1,0,0,457,MATMUL,PIPE_M,28380,31476,3096,28380,31476,3096,,,0,0,0
1,0,0,458,MATMUL,PIPE_M,34572,37668,3096,34572,37668,3096,,,0,0,0
1,0,0,459,MATMUL,PIPE_M,43860,46956,3096,43860,46956,3096,,,0,0,0
1,0,0,460,MATMUL,PIPE_M,53148,56244,3096,53148,56244,3096,,,0,0,0
1,0,0,461,MATMUL,PIPE_M,62436,65532,3096,62436,65532,3096,,,0,0,0
1,0,0,462,MATMUL,PIPE_M,74820,77916,3096,74820,77916,3096,,,0,0,0
1,0,0,463,MATMUL,PIPE_M,87204,90300,3096,87204,90300,3096,,,0,0,0
1,0,0,464,MATMUL,PIPE_M,99588,102684,3096,99588,102684,3096,,,0,0,0
1,0,0,465,MATMUL,PIPE_M,111972,115068,3096,111972,115068,3096,,,0,0,0
1,0,0,466,MATMUL,PIPE_M,127452,130548,3096,127452,130548,3096,,,0,0,0
1,0,0,467,MATMUL,PIPE_M,142932,146028,3096,142932,146028,3096,,,0,0,0
1,0,0,468,MATMUL,PIPE_M,158412,161508,3096,158412,161508,3096,,,0,0,0
1,0,0,469,MATMUL,PIPE_M,176988,180084,3096,176988,180084,3096,,,0,0,0
1,0,0,470,MATMUL,PIPE_M,195564,198660,3096,195564,198660,3096,,,0,0,0
1,0,0,471,MATMUL,PIPE_M,214140,217236,3096,214140,217236,3096,,,0,0,0
1,0,0,472,MATMUL,PIPE_M,232716,235812,3096,232716,235812,3096,,,0,0,0
1,0,0,473,MATMUL,PIPE_M,254388,257484,3096,254388,257484,3096,,,0,0,0
1,0,0,474,MATMUL,PIPE_M,276060,279156,3096,276060,279156,3096,,,0,0,0
1,0,0,475,MATMUL,PIPE_M,297732,300828,3096,297732,300828,3096,,,0,0,0
1,0,0,476,ADD,PIPE_V,320224,320632,408,320224,320632,408,,,0,0,0
1,0,0,477,ADD,PIPE_V,332675,333083,408,332675,333083,408,,,0,0,0
1,0,0,478,ADD,PIPE_V,333083,333491,408,333083,333491,408,,,0,0,0
1,0,0,479,ADD,PIPE_V,333491,333899,408,333491,333899,408,,,0,0,0
1,0,0,480,ADD,PIPE_V,333899,334307,408,333899,334307,408,,,0,0,0
1,0,0,481,ADD,PIPE_V,342779,343187,408,342779,343187,408,,,0,0,0
1,0,0,482,ADD,PIPE_V,343187,343595,408,343187,343595,408,,,0,0,0
1,0,0,483,ADD,PIPE_V,343595,344003,408,343595,344003,408,,,0,0,0
1,0,0,484,ADD,PIPE_V,344003,344411,408,344003,344411,408,,,0,0,0
1,0,0,485,ADD,PIPE_V,346080,346488,408,346080,346488,408,,,0,0,0
1,0,0,486,ADD,PIPE_V,346488,346896,408,346488,346896,408,,,0,0,0
1,0,0,487,ADD,PIPE_V,348971,349379,408,348971,349379,408,,,0,0,0
1,0,0,488,ADD,PIPE_V,349379,349787,408,349379,349787,408,,,0,0,0
1,0,0,489,ADD,PIPE_V,355368,355776,408,355368,355776,408,,,0,0,0
1,0,0,490,ADD,PIPE_V,358259,358667,408,358259,358667,408,,,0,0,0
1,0,0,491,ADD,PIPE_V,358667,359075,408,358667,359075,408,,,0,0,0
1,0,0,492,ADD,PIPE_V,359075,359483,408,359075,359483,408,,,0,0,0
1,0,0,493,ADD,PIPE_V,359483,359891,408,359483,359891,408,,,0,0,0
1,0,0,494,ADD,PIPE_V,359891,360299,408,359891,360299,408,,,0,0,0
1,0,0,495,ADD,PIPE_V,367547,367955,408,367547,367955,408,,,0,0,0
1,0,0,496,ADD,PIPE_V,367955,368363,408,367955,368363,408,,,0,0,0
1,0,0,497,ADD,PIPE_V,368363,368771,408,368363,368771,408,,,0,0,0
1,0,0,498,ADD,PIPE_V,368771,369179,408,368771,369179,408,,,0,0,0
1,0,0,499,ADD,PIPE_V,369179,369587,408,369179,369587,408,,,0,0,0
1,0,0,598,MATMUL,PIPE_M,12900,15996,3096,12900,15996,3096,,,0,0,0
1,0,0,599,MATMUL,PIPE_M,19092,22188,3096,19092,22188,3096,,,0,0,0
1,0,0,600,MATMUL,PIPE_M,25284,28380,3096,25284,28380,3096,,,0,0,0
1,0,0,601,MATMUL,PIPE_M,31476,34572,3096,31476,34572,3096,,,0,0,0
1,0,0,602,MATMUL,PIPE_M,40764,43860,3096,40764,43860,3096,,,0,0,0
1,0,0,603,MATMUL,PIPE_M,50052,53148,3096,50052,53148,3096,,,0,0,0
1,0,0,604,MATMUL,PIPE_M,59340,62436,3096,59340,62436,3096,,,0,0,0
1,0,0,605,MATMUL,PIPE_M,68628,71724,3096,68628,71724,3096,,,0,0,0
1,0,0,606,MATMUL,PIPE_M,81012,84108,3096,81012,84108,3096,,,0,0,0
1,0,0,607,MATMUL,PIPE_M,93396,96492,3096,93396,96492,3096,,,0,0,0
1,0,0,608,MATMUL,PIPE_M,105780,108876,3096,105780,108876,3096,,,0,0,0
1,0,0,609,MATMUL,PIPE_M,121260,124356,3096,121260,124356,3096,,,0,0,0
1,0,0,610,MATMUL,PIPE_M,136740,139836,3096,136740,139836,3096,,,0,0,0
1,0,0,611,MATMUL,PIPE_M,152220,155316,3096,152220,155316,3096,,,0,0,0
1,0,0,612,MATMUL,PIPE_M,167700,170796,3096,167700,170796,3096,,,0,0,0
1,0,0,613,MATMUL,PIPE_M,186276,189372,3096,186276,189372,3096,,,0,0,0
1,0,0,614,MATMUL,PIPE_M,204852,207948,3096,204852,207948,3096,,,0,0,0
1,0,0,615,MATMUL,PIPE_M,223428,226524,3096,223428,226524,3096,,,0,0,0
1,0,0,616,MATMUL,PIPE_M,245100,248196,3096,245100,248196,3096,,,0,0,0
1,0,0,617,MATMUL,PIPE_M,266772,269868,3096,266772,269868,3096,,,0,0,0
1,0,0,618,MATMUL,PIPE_M,288444,291540,3096,288444,291540,3096,,,0,0,0
1,0,0,619,MATMUL,PIPE_M,310116,313212,3096,310116,313212,3096,,,0,0,0
1,0,0,620,MATMUL,PIPE_M,333491,336587,3096,333491,336587,3096,,,0,0,0
1,0,0,621,MATMUL,PIPE_M,355163,358259,3096,355163,358259,3096,,,0,0,0
1,0,0,622,MATMUL,PIPE_M,376835,379931,3096,376835,379931,3096,,,0,0,0
1,0,0,623,ADD,PIPE_V,386533,386941,408,386328,386736,408,,,-205,-205,0
1,0,0,624,ADD,PIPE_V,386941,387349,408,386736,387144,408,,,-205,-205,0
1,0,0,625,ADD,PIPE_V,389424,389832,408,389424,389832,408,,,0,0,0
1,0,0,626,ADD,PIPE_V,389832,390240,408,389832,390240,408,,,0,0,0
1,0,0,627,ADD,PIPE_V,398917,399325,408,398917,399325,408,,,0,0,0
1,0,0,628,ADD,PIPE_V,408418,408826,408,408349,408757,408,,,-69,-69,0
1,0,0,629,ADD,PIPE_V,408828,409236,408,408759,409167,408,,,-69,-69,0
1,0,0,630,ADD,PIPE_V,410891,411299,408,410891,411299,408,,,0,0,0
1,0,0,631,ADD,PIPE_V,413987,414395,408,413987,414395,408,,,0,0,0
1,0,0,632,ADD,PIPE_V,420938,421346,408,420938,421346,408,,,0,0,0
1,0,0,633,ADD,PIPE_V,421346,421754,408,421346,421754,408,,,0,0,0
1,0,0,634,ADD,PIPE_V,423685,424093,408,423685,424093,408,,,0,0,0
1,0,0,635,ADD,PIPE_V,430193,430601,408,430193,430601,408,,,0,0,0
1,0,0,636,ADD,PIPE_V,432973,433381,408,432973,433381,408,,,0,0,0
1,0,0,637,ADD,PIPE_V,435864,436272,408,435864,436272,408,,,0,0,0
1,0,0,638,ADD,PIPE_V,442261,442669,408,442261,442669,408,,,0,0,0
1,0,0,639,ADD,PIPE_V,442669,443077,408,442669,443077,408,,,0,0,0
1,0,0,640,ADD,PIPE_V,445152,445560,408,445152,445560,408,,,0,0,0
1,0,0,641,ADD,PIPE_V,448043,448451,408,448043,448451,408,,,0,0,0
1,0,0,642,ADD,PIPE_V,448451,448859,408,448451,448859,408,,,0,0,0
1,0,0,643,ADD,PIPE_V,448859,449267,408,448859,449267,408,,,0,0,0
1,0,0,644,ADD,PIPE_V,449267,449675,408,449267,449675,408,,,0,0,0
1,0,0,645,ADD,PIPE_V,454235,454643,408,454235,454643,408,,,0,0,0
1,0,0,646,ADD,PIPE_V,454643,455051,408,454643,455051,408,,,0,0,0
1,0,0,745,MATMUL,PIPE_M,37668,40764,3096,37668,40764,3096,,,0,0,0
1,0,0,746,MATMUL,PIPE_M,46956,50052,3096,46956,50052,3096,,,0,0,0
1,0,0,747,MATMUL,PIPE_M,56244,59340,3096,56244,59340,3096,,,0,0,0
1,0,0,748,MATMUL,PIPE_M,65532,68628,3096,65532,68628,3096,,,0,0,0
1,0,0,749,MATMUL,PIPE_M,77916,81012,3096,77916,81012,3096,,,0,0,0
1,0,0,750,MATMUL,PIPE_M,90300,93396,3096,90300,93396,3096,,,0,0,0
1,0,0,751,MATMUL,PIPE_M,102684,105780,3096,102684,105780,3096,,,0,0,0
1,0,0,752,MATMUL,PIPE_M,115068,118164,3096,115068,118164,3096,,,0,0,0
1,0,0,753,MATMUL,PIPE_M,130548,133644,3096,130548,133644,3096,,,0,0,0
1,0,0,754,MATMUL,PIPE_M,146028,149124,3096,146028,149124,3096,,,0,0,0
1,0,0,755,MATMUL,PIPE_M,161508,164604,3096,161508,164604,3096,,,0,0,0
1,0,0,756,MATMUL,PIPE_M,180084,183180,3096,180084,183180,3096,,,0,0,0
1,0,0,757,MATMUL,PIPE_M,198660,201756,3096,198660,201756,3096,,,0,0,0
1,0,0,758,MATMUL,PIPE_M,217236,220332,3096,217236,220332,3096,,,0,0,0
1,0,0,759,MATMUL,PIPE_M,235812,238908,3096,235812,238908,3096,,,0,0,0
1,0,0,760,MATMUL,PIPE_M,257484,260580,3096,257484,260580,3096,,,0,0,0
1,0,0,761,MATMUL,PIPE_M,279156,282252,3096,279156,282252,3096,,,0,0,0
1,0,0,762,MATMUL,PIPE_M,300828,303924,3096,300828,303924,3096,,,0,0,0
1,0,0,763,MATMUL,PIPE_M,323115,326211,3096,323115,326211,3096,,,0,0,0
1,0,0,764,MATMUL,PIPE_M,345875,348971,3096,345875,348971,3096,,,0,0,0
1,0,0,765,MATMUL,PIPE_M,367547,370643,3096,367547,370643,3096,,,0,0,0
1,0,0,766,MATMUL,PIPE_M,389219,392315,3096,389219,392315,3096,,,0,0,0
1,0,0,767,MATMUL,PIPE_M,410891,413987,3096,410891,413987,3096,,,0,0,0
1,0,0,768,MATMUL,PIPE_M,432563,435659,3096,432563,435659,3096,,,0,0,0
1,0,0,769,MATMUL,PIPE_M,454235,457331,3096,454235,457331,3096,,,0,0,0
1,0,0,770,ADD,PIPE_V,464207,464615,408,464207,464615,408,,,0,0,0
1,0,0,771,ADD,PIPE_V,475907,476315,408,475907,476315,408,,,0,0,0
1,0,0,772,ADD,PIPE_V,476317,476725,408,476317,476725,408,,,0,0,0
1,0,0,773,ADD,PIPE_V,482099,482507,408,482099,482507,408,,,0,0,0
1,0,0,774,ADD,PIPE_V,485777,486185,408,485777,486185,408,,,0,0,0
1,0,0,775,ADD,PIPE_V,488739,489147,408,488701,489109,408,,,-38,-38,0
1,0,0,776,ADD,PIPE_V,494893,495301,408,494893,495301,408,,,0,0,0
1,0,0,777,ADD,PIPE_V,498163,498571,408,498029,498437,408,,,-134,-134,0
1,0,0,778,ADD,PIPE_V,498571,498979,408,498437,498845,408,,,-134,-134,0
1,0,0,779,ADD,PIPE_V,507175,507583,408,507175,507583,408,,,0,0,0
1,0,0,780,ADD,PIPE_V,507788,508196,408,507788,508196,408,,,0,0,0
1,0,0,781,ADD,PIPE_V,508401,508809,408,508606,509014,408,,,205,205,0
1,0,0,782,ADD,PIPE_V,516565,516973,408,516565,516973,408,,,0,0,0
1,0,0,783,ADD,PIPE_V,520343,520751,408,520343,520751,408,,,0,0,0
1,0,0,784,ADD,PIPE_V,520751,521159,408,520751,521159,408,,,0,0,0
1,0,0,785,ADD,PIPE_V,521159,521567,408,521159,521567,408,,,0,0,0
1,0,0,786,ADD,PIPE_V,521567,521975,408,521567,521975,408,,,0,0,0
1,0,0,787,ADD,PIPE_V,521975,522383,408,521975,522383,408,,,0,0,0
1,0,0,788,ADD,PIPE_V,522383,522791,408,522383,522791,408,,,0,0,0
1,0,0,789,ADD,PIPE_V,529426,529834,408,529426,529834,408,,,0,0,0
1,0,0,790,ADD,PIPE_V,532522,532930,408,532522,532930,408,,,0,0,0
1,0,0,791,ADD,PIPE_V,538714,539122,408,538714,539122,408,,,0,0,0
1,0,0,792,ADD,PIPE_V,539122,539530,408,539122,539530,408,,,0,0,0
1,0,0,793,ADD,PIPE_V,539530,539938,408,539530,539938,408,,,0,0,0
1,0,0,892,MATMUL,PIPE_M,71724,74820,3096,71724,74820,3096,,,0,0,0
1,0,0,893,MATMUL,PIPE_M,84108,87204,3096,84108,87204,3096,,,0,0,0
1,0,0,894,MATMUL,PIPE_M,96492,99588,3096,96492,99588,3096,,,0,0,0
1,0,0,895,MATMUL,PIPE_M,108876,111972,3096,108876,111972,3096,,,0,0,0
1,0,0,896,MATMUL,PIPE_M,124356,127452,3096,124356,127452,3096,,,0,0,0
1,0,0,897,MATMUL,PIPE_M,139836,142932,3096,139836,142932,3096,,,0,0,0
1,0,0,898,MATMUL,PIPE_M,155316,158412,3096,155316,158412,3096,,,0,0,0
1,0,0,899,MATMUL,PIPE_M,170796,173892,3096,170796,173892,3096,,,0,0,0
1,0,0,900,MATMUL,PIPE_M,189372,192468,3096,189372,192468,3096,,,0,0,0
1,0,0,901,MATMUL,PIPE_M,207948,211044,3096,207948,211044,3096,,,0,0,0
1,0,0,902,MATMUL,PIPE_M,226524,229620,3096,226524,229620,3096,,,0,0,0
1,0,0,903,MATMUL,PIPE_M,248196,251292,3096,248196,251292,3096,,,0,0,0
1,0,0,904,MATMUL,PIPE_M,269868,272964,3096,269868,272964,3096,,,0,0,0
1,0,0,905,MATMUL,PIPE_M,291540,294636,3096,291540,294636,3096,,,0,0,0
1,0,0,906,MATMUL,PIPE_M,313622,316718,3096,313622,316718,3096,,,0,0,0
1,0,0,907,MATMUL,PIPE_M,336587,339683,3096,336587,339683,3096,,,0,0,0
1,0,0,908,MATMUL,PIPE_M,358259,361355,3096,358259,361355,3096,,,0,0,0
1,0,0,909,MATMUL,PIPE_M,379931,383027,3096,379931,383027,3096,,,0,0,0
1,0,0,910,MATMUL,PIPE_M,401603,404699,3096,401603,404699,3096,,,0,0,0
1,0,0,911,MATMUL,PIPE_M,423275,426371,3096,423275,426371,3096,,,0,0,0
1,0,0,912,MATMUL,PIPE_M,444947,448043,3096,444947,448043,3096,,,0,0,0
1,0,0,913,MATMUL,PIPE_M,466619,469715,3096,466619,469715,3096,,,0,0,0
1,0,0,914,MATMUL,PIPE_M,488291,491387,3096,488291,491387,3096,,,0,0,0
1,0,0,915,MATMUL,PIPE_M,509963,513059,3096,509963,513059,3096,,,0,0,0
1,0,0,916,MATMUL,PIPE_M,532522,535618,3096,532522,535618,3096,,,0,0,0
1,0,0,917,ADD,PIPE_V,545765,546173,408,545521,545929,408,,,-244,-244,0
1,0,0,918,ADD,PIPE_V,557700,558108,408,557700,558108,408,,,0,0,0
1,0,0,919,ADD,PIPE_V,563482,563890,408,563482,563890,408,,,0,0,0
1,0,0,920,ADD,PIPE_V,564097,564505,408,564097,564505,408,,,0,0,0
1,0,0,921,ADD,PIPE_V,564505,564913,408,564505,564913,408,,,0,0,0
1,0,0,922,ADD,PIPE_V,576276,576684,408,576247,576655,408,,,-29,-29,0
1,0,0,923,ADD,PIPE_V,578962,579370,408,578962,579370,408,,,0,0,0
1,0,0,924,ADD,PIPE_V,579718,580126,408,579372,579780,408,,,-346,-346,0
1,0,0,925,ADD,PIPE_V,583222,583630,408,582876,583284,408,,,-346,-346,0
1,0,0,926,ADD,PIPE_V,590484,590892,408,590231,590639,408,,,-253,-253,0
1,0,0,927,ADD,PIPE_V,591144,591552,408,590984,591392,408,,,-160,-160,0
1,0,0,928,ADD,PIPE_V,591552,591960,408,591392,591800,408,,,-160,-160,0
1,0,0,929,ADD,PIPE_V,598405,598813,408,598197,598605,408,,,-208,-208,0
1,0,0,930,ADD,PIPE_V,605279,605687,408,605071,605479,408,,,-208,-208,0
1,0,0,931,ADD,PIPE_V,605687,606095,408,605479,605887,408,,,-208,-208,0
1,0,0,932,ADD,PIPE_V,606095,606503,408,605887,606295,408,,,-208,-208,0
1,0,0,933,ADD,PIPE_V,606503,606911,408,606295,606703,408,,,-208,-208,0
1,0,0,934,ADD,PIPE_V,608852,609260,408,608644,609052,408,,,-208,-208,0
1,0,0,935,ADD,PIPE_V,609260,609668,408,609052,609460,408,,,-208,-208,0
1,0,0,936,ADD,PIPE_V,609668,610076,408,609460,609868,408,,,-208,-208,0
1,0,0,937,ADD,PIPE_V,610076,610484,408,609868,610276,408,,,-208,-208,0
1,0,0,938,ADD,PIPE_V,615373,615781,408,615041,615449,408,,,-332,-332,0
1,0,0,939,ADD,PIPE_V,621236,621644,408,621028,621436,408,,,-208,-208,0
1,0,0,940,ADD,PIPE_V,621644,622052,408,621436,621844,408,,,-208,-208,0
1,0,0,1039,MATMUL,PIPE_M,118164,121260,3096,118164,121260,3096,,,0,0,0
1,0,0,1040,MATMUL,PIPE_M,133644,136740,3096,133644,136740,3096,,,0,0,0
1,0,0,1041,MATMUL,PIPE_M,149124,152220,3096,149124,152220,3096,,,0,0,0
1,0,0,1042,MATMUL,PIPE_M,164604,167700,3096,164604,167700,3096,,,0,0,0
1,0,0,1043,MATMUL,PIPE_M,183180,186276,3096,183180,186276,3096,,,0,0,0
1,0,0,1044,MATMUL,PIPE_M,201756,204852,3096,201756,204852,3096,,,0,0,0
1,0,0,1045,MATMUL,PIPE_M,220332,223428,3096,220332,223428,3096,,,0,0,0
1,0,0,1046,MATMUL,PIPE_M,238908,242004,3096,238908,242004,3096,,,0,0,0
1,0,0,1047,MATMUL,PIPE_M,260580,263676,3096,260580,263676,3096,,,0,0,0
1,0,0,1048,MATMUL,PIPE_M,282252,285348,3096,282252,285348,3096,,,0,0,0
1,0,0,1049,MATMUL,PIPE_M,303924,307020,3096,303924,307020,3096,,,0,0,0
1,0,0,1050,MATMUL,PIPE_M,326211,329307,3096,326211,329307,3096,,,0,0,0
1,0,0,1051,MATMUL,PIPE_M,348971,352067,3096,348971,352067,3096,,,0,0,0
1,0,0,1052,MATMUL,PIPE_M,370643,373739,3096,370643,373739,3096,,,0,0,0
1,0,0,1053,MATMUL,PIPE_M,392315,395411,3096,392315,395411,3096,,,0,0,0
1,0,0,1054,MATMUL,PIPE_M,413987,417083,3096,413987,417083,3096,,,0,0,0
1,0,0,1055,MATMUL,PIPE_M,435659,438755,3096,435659,438755,3096,,,0,0,0
1,0,0,1056,MATMUL,PIPE_M,457331,460427,3096,457331,460427,3096,,,0,0,0
1,0,0,1057,MATMUL,PIPE_M,479003,482099,3096,479003,482099,3096,,,0,0,0
1,0,0,1058,MATMUL,PIPE_M,500675,503771,3096,500675,503771,3096,,,0,0,0
1,0,0,1059,MATMUL,PIPE_M,523234,526330,3096,523234,526330,3096,,,0,0,0
1,0,0,1060,MATMUL,PIPE_M,544906,548002,3096,544906,548002,3096,,,0,0,0
1,0,0,1061,MATMUL,PIPE_M,566578,569674,3096,566578,569674,3096,,,0,0,0
1,0,0,1062,MATMUL,PIPE_M,591960,595056,3096,591800,594896,3096,,,-160,-160,0
1,0,0,1063,MATMUL,PIPE_M,615044,618140,3096,614836,617932,3096,,,-208,-208,0
1,0,0,1064,ADD,PIPE_V,627995,628403,408,627630,628038,408,,,-365,-365,0
1,0,0,1065,ADD,PIPE_V,640105,640513,408,639809,640217,408,,,-296,-296,0
1,0,0,1066,ADD,PIPE_V,646414,646822,408,646090,646498,408,,,-324,-324,0
1,0,0,1067,ADD,PIPE_V,647170,647578,408,646756,647164,408,,,-414,-414,0
1,0,0,1068,ADD,PIPE_V,647783,648191,408,647369,647777,408,,,-414,-414,0
1,0,0,1069,ADD,PIPE_V,658971,659379,408,658612,659020,408,,,-359,-359,0
1,0,0,1070,ADD,PIPE_V,661744,662152,408,661653,662061,408,,,-91,-91,0
1,0,0,1071,ADD,PIPE_V,662357,662765,408,662266,662674,408,,,-91,-91,0
1,0,0,1072,ADD,PIPE_V,665964,666372,408,665873,666281,408,,,-91,-91,0
1,0,0,1073,ADD,PIPE_V,672941,673349,408,672772,673180,408,,,-169,-169,0
1,0,0,1074,ADD,PIPE_V,673349,673757,408,673180,673588,408,,,-169,-169,0
1,0,0,1075,ADD,PIPE_V,673757,674165,408,673588,673996,408,,,-169,-169,0
1,0,0,1076,ADD,PIPE_V,674165,674573,408,673996,674404,408,,,-169,-169,0
1,0,0,1077,ADD,PIPE_V,674573,674981,408,674404,674812,408,,,-169,-169,0
1,0,0,1078,ADD,PIPE_V,679949,680357,408,679780,680188,408,,,-169,-169,0
1,0,0,1079,ADD,PIPE_V,683250,683658,408,683081,683489,408,,,-169,-169,0
1,0,0,1080,ADD,PIPE_V,683658,684066,408,683489,683897,408,,,-169,-169,0
1,0,0,1081,ADD,PIPE_V,686346,686754,408,686177,686585,408,,,-169,-169,0
1,0,0,1082,ADD,PIPE_V,689237,689645,408,689068,689476,408,,,-169,-169,0
1,0,0,1083,ADD,PIPE_V,689645,690053,408,689476,689884,408,,,-169,-169,0
1,0,0,1084,ADD,PIPE_V,690053,690461,408,689884,690292,408,,,-169,-169,0
1,0,0,1085,ADD,PIPE_V,695429,695837,408,695260,695668,408,,,-169,-169,0
1,0,0,1086,ADD,PIPE_V,695837,696245,408,695668,696076,408,,,-169,-169,0
1,0,0,1087,ADD,PIPE_V,698525,698933,408,698356,698764,408,,,-169,-169,0
1,0,0,1186,MATMUL,PIPE_M,173892,176988,3096,173892,176988,3096,,,0,0,0
1,0,0,1187,MATMUL,PIPE_M,192468,195564,3096,192468,195564,3096,,,0,0,0
1,0,0,1188,MATMUL,PIPE_M,211044,214140,3096,211044,214140,3096,,,0,0,0
1,0,0,1189,MATMUL,PIPE_M,229620,232716,3096,229620,232716,3096,,,0,0,0
