case,cores,status,makespan,extra_ddr,solver_wall,evaluation_wall_seconds,platform,cpu,workers,global_max_workers,timing_scope,timing_includes_evaluation,attempt_id,revision,run_id,algorithm_id,solver_commit,graph_sha256,config_sha256,plan_sha256,source_result_path
058,5,ok,1004819,32104448,10.908697500010021,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-058-k5-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,95027788c05772259091802889106c7104efdecdaaabd002ed11a87f8f2f209d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,229b6267f159c5aea2bfef04fac40d02b1c4f6dabaa6d84fb1ed509b12f5aa49,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/058-k5-unified-forest-witness-e0/evidence/result.json.gz
001,2,ok,116868,1152,0.2964037079946138,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-001-k2-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,a88bb5dda4c5ac743b8c418e55e440cc1d04d4a81e97175d964a7b51c29efd03,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k2-unified-forest-witness-e0/evidence/result.json.gz
001,3,ok,78545,2304,0.24929408298339695,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-001-k3-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,4e96e3bdbf30c338dc113ab77246a65f9c250f0969603e78a222f0419cc7465a,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k3-unified-forest-witness-e0/evidence/result.json.gz
001,4,ok,58984,3456,0.27720633399439976,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-001-k4-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,8dd78c01e219b101e33c31bb0de6cf5cfad256cd7f03ed755f9959793c4ee6d8,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k4-unified-forest-witness-e0/evidence/result.json.gz
001,5,ok,47502,4608,0.31217749998904765,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-001-k5-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,d83b409c7bbc97e3897c607a8349f82723e9a06f1ac1ba09c286ced6d02de8a3,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/001-k5-unified-forest-witness-e0/evidence/result.json.gz
002,1,ok,262089,0,0.6647282089688815,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-002-k1-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,e395d961c40c2033c2ffc592ebfad45a9f219afeb1d565b0157fba4f6d2136c7,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k1-unified-forest-witness-e0/evidence/result.json.gz
002,2,ok,136624,18432,0.5983824580325745,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-002-k2-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,bd586be298c09171aed64a78930a7d0b4db4f422f8749d741bd0839b57bd8c7b,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k2-unified-forest-witness-e0/evidence/result.json.gz
002,3,ok,93527,6144,0.45650020794710144,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-002-k3-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,b69da7e6518a8120ece8d5f118801d5c0d28b5825f5516b8489a1f46b7aba232,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k3-unified-forest-witness-e0/evidence/result.json.gz
002,4,ok,72594,49152,0.6292875840445049,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-002-k4-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,766b1d229a95d51cff503d83f579eace883146239aefa376e0e752f19b373f6a,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k4-unified-forest-witness-e0/evidence/result.json.gz
002,5,ok,54341,49152,0.580204457975924,,macOS-27.0-arm64-arm-64bit,Apple M5 Pro,1,4,"Fresh child spawn through reaped exit: interpreter/import, read graph, construct, integrated E0 selection/verification, final plan and evidence writes, required cleanup. External parent preflight excluded and retained in batch wall.",True,q3-forest-full500-20260925-s59-s01-P3-002-k5-unified-forest-witness-e0,2,q3-forest-full500-20260925-s59,q3-forest-memory-witness,311322b996c0948e8a6a9c7ec6ddfe6ae41fbee1,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,ea6c992c11db5677685f75cfb1edcf166d013c765f558e0ab72621bc6a2a2527,results/a/q3-nikolastarx/forest-full500-20260925-s59/20260924T2122Z-s59ee/s01/cells/002-k5-unified-forest-witness-e0/evidence/result.json.gz
