method,cores,n,mean_speedup,mean_observed_speedup,display_policy
tensor,1,100,1.056973403815406,1.056973403815406,observed_mean
tensor,2,100,1.9381260191446124,1.9381260191446124,observed_mean
tensor,3,100,2.67347998381924,2.67347998381924,observed_mean
tensor,4,100,3.330228459391533,3.330228459391533,observed_mean
tensor,5,100,3.89603690404328,3.89603690404328,observed_mean
gap,1,100,1.1675623355342235,1.1675623355342235,observed_mean
gap,2,100,2.20011035809806,2.20011035809806,observed_mean
gap,3,100,2.9396762544858785,2.9396762544858785,observed_mean
gap,4,100,3.4400558622241215,3.4400558622241215,observed_mean
gap,5,100,3.6765753297355195,3.6765753297355195,observed_mean
c665,1,100,1.2061392350623783,1.2061392350623783,observed_mean
c665,2,100,2.3167268583014735,2.3167268583014735,observed_mean
c665,3,100,3.2355656076453716,3.2355656076453716,observed_mean
c665,4,100,3.9711493100640376,3.9711493100640376,observed_mean
c665,5,100,4.549756996698352,4.549756996698352,observed_mean
F1,5,100,3.8882093912295597,3.8882093912295597,observed_mean
