case,cores,method,baseline,makespan,speedup,source_commit,result_sha256
001,1,tensor,233110,308637,0.755288575251833,178a3673bd238b20772211427b8134b6db35f5af,911991959dc63d01595581eca0d285185ccc824c6ac5919e72845d21573537c1
002,1,tensor,261945,270245,0.9692871283465004,178a3673bd238b20772211427b8134b6db35f5af,e263cb2e2c45c5ea3e79d06ece14bd954fd39ffd0919b52f1dac404859e3dc89
003,1,tensor,602212,574154,1.04886842206098,178a3673bd238b20772211427b8134b6db35f5af,c2faa8125bc8e8f5d28afd3b8a5c111d8f88dbb2dad145436274394c78351222
004,1,tensor,392357,488135,0.8037878865477788,178a3673bd238b20772211427b8134b6db35f5af,eb4483b4bfd12bba756f3e6d0535f991658476ee4fa179feba322db9bba368b4
005,1,tensor,95618,90450,1.0571365395245993,178a3673bd238b20772211427b8134b6db35f5af,5b4fa3d4441dc38ea11d32305f1c66cf144f5f473966af29e4c83d1c902156b9
006,1,tensor,82837,77680,1.0663877445932028,178a3673bd238b20772211427b8134b6db35f5af,97068d6ce4a51c6add2d85a4b1e428236620126447ec2cb3f3964180a8d95a8d
007,1,tensor,1012562,1416254,0.7149579100923987,178a3673bd238b20772211427b8134b6db35f5af,fb97dda40e1e301680e3dd450d348bc6c931acb8be37e118ffc8bd8cee9c56a7
008,1,tensor,487605,250437,1.9470166149570551,178a3673bd238b20772211427b8134b6db35f5af,27f381e937a33f8ab4ec9eb7f7c01a8b90aa71f4e34b50ec89f20eacc3a32bf1
009,1,tensor,153261,147927,1.0360583260662353,178a3673bd238b20772211427b8134b6db35f5af,2afbf0b07806ebf01c02766f5942b859e31b3e189552ac668e3e9b6a7069ae98
010,1,tensor,86969,85032,1.022779659422335,178a3673bd238b20772211427b8134b6db35f5af,4bc03f718861df88940106f12240456459d0c6125d332e7785969f76389c501a
011,1,tensor,184697,184697,1.0,178a3673bd238b20772211427b8134b6db35f5af,0faa2c711dc63dbf02041dbd5166314ef375e7f76a8d94e47e8633d906127a8f
012,1,tensor,59088,56592,1.0441051738761662,178a3673bd238b20772211427b8134b6db35f5af,e73d81930449502e897d3f2f60e23b33dff04ff874dfd6590545442504f328a4
013,1,tensor,263949,370525,0.7123648876594022,178a3673bd238b20772211427b8134b6db35f5af,e510c6da620d3ddfd9c53d63278b39e5730fa136e74a2534028674dd8d32d4ae
014,1,tensor,17698626,17846029,0.9917402913555727,178a3673bd238b20772211427b8134b6db35f5af,8c36b0b64367bfa734d0fd07b831134b41354da4f028293f5517b943e8379a40
015,1,tensor,177362,160463,1.1053139976193889,178a3673bd238b20772211427b8134b6db35f5af,9ffa624521f3be97eb35b49eb49ce6c7075d6b197118fe7f1a15a3695fea680f
016,1,tensor,7715523,7715523,1.0,178a3673bd238b20772211427b8134b6db35f5af,c867e1c8abc6887c5afa880460e81d04a5bacafb7bdf59ec0e1c070ee69f8ff8
017,1,tensor,162810,157888,1.031173996757195,178a3673bd238b20772211427b8134b6db35f5af,872204584ed0185052e52913b5c2069011970c569fb74c02abfc75c0ea793355
018,1,tensor,1004367,1027956,0.977052519757655,178a3673bd238b20772211427b8134b6db35f5af,327ff3fdcff2f728fb47fe1e1a0a34fc3674472fd6035f3ef916da19cfb5b1f0
019,1,tensor,81144,80040,1.013793103448276,178a3673bd238b20772211427b8134b6db35f5af,6a51231252637522ad4c3ac28c53422cf5476d8b158008410333fbe453c5167f
020,1,tensor,532746,532746,1.0,178a3673bd238b20772211427b8134b6db35f5af,82acb7f6cdeb77c8f8d682c7e2c32622ca32d0d2ddbff8caaada49b5c1f5dcb2
021,1,tensor,6567937,6329654,1.0376455016340547,178a3673bd238b20772211427b8134b6db35f5af,48ad1c1058e8e930f8950058de3cc8dec95f920ee1a67af9763f6b0281315870
022,1,tensor,56780,56367,1.0073269820994553,178a3673bd238b20772211427b8134b6db35f5af,cfdcd131274dd7337c7e5fb75557fdc9dc35235870b00371a400ebdca86ce773
023,1,tensor,122614,122436,1.0014538207716686,178a3673bd238b20772211427b8134b6db35f5af,2e2cd8ed7a27797178ef953ad6708a901df473b906ea305c7e8dd9a2f65f4f1f
024,1,tensor,2555343,2555343,1.0,178a3673bd238b20772211427b8134b6db35f5af,e5f0d599f315134964857309cc68fc412366b2d71e79944ba0ad7d2ebc5afd3d
025,1,tensor,4863026,7124388,0.682588595680078,178a3673bd238b20772211427b8134b6db35f5af,43e0bac63e7d7e2d6b0bff9ab55febdf0b5238ee55506165c26d1403caef0d0a
026,1,tensor,99203,88935,1.1154551076628998,178a3673bd238b20772211427b8134b6db35f5af,4d9172773e6096015a1c9630ab386bc38ebe379c98eb37bcb89cd4dfe5243409
027,1,tensor,2363952,2279819,1.0369033682059847,178a3673bd238b20772211427b8134b6db35f5af,4a85a298f7ba95262f986ce8ca89f0a4fd8286ebc15918467f620828ba8da996
028,1,tensor,43836040,42470548,1.0321515041435303,178a3673bd238b20772211427b8134b6db35f5af,e4a5729c66e36d4fff664728a868712d2de1619fda2fa6358863b55aeb986557
029,1,tensor,37555,37555,1.0,178a3673bd238b20772211427b8134b6db35f5af,eb25b8f3e9341db9c219f1d4135c64fc898bdc10bcfd60d9b7083c5b929cf2cb
030,1,tensor,2808034,2814527,0.9976930404291734,178a3673bd238b20772211427b8134b6db35f5af,6b43a9cff2449f12f2e8601bb8ce5c0c63756135791cee9f8067283cd6044ceb
031,1,tensor,1414369,1428383,0.9901889059166904,178a3673bd238b20772211427b8134b6db35f5af,7a15fcc9584f64a06f4724213be0eb2226e3b2f5a0ab38ec0e706b03cb3f1073
032,1,tensor,41443,35648,1.1625617145421903,178a3673bd238b20772211427b8134b6db35f5af,3ffad0bda80165afe7b55987562334091743349d26f8e24710fa378f1221defd
033,1,tensor,1774196,1804525,0.9831928069713637,178a3673bd238b20772211427b8134b6db35f5af,dbc94b004362592ad44872bb7a7df7d07983cfb3fb77378b508b25cbc9a4fa1f
034,1,tensor,842996,831832,1.013420979236192,178a3673bd238b20772211427b8134b6db35f5af,046d2bd8c2175778eb3b03e406c9e1243e26034b7ec627a44754440a0de05b6f
035,1,tensor,169571,169853,0.9983397408347218,178a3673bd238b20772211427b8134b6db35f5af,9958a941590e2091e88549a9de45706706463e2823b683b9d13c7787f0d0420c
036,1,tensor,931510,1342437,0.6938947600520546,178a3673bd238b20772211427b8134b6db35f5af,b0a0945a8cb52c43458e766b12a8dcd5c9f650be3d8de9a0b7fa524e6e8ccf03
037,1,tensor,210001,210533,0.9974730802297027,178a3673bd238b20772211427b8134b6db35f5af,1db070a3aca4f2aaa238a63b5f9ba55269e905670957cc8b4e1b7bbcfe5cec93
038,1,tensor,1364555,1371940,0.9946171115354899,178a3673bd238b20772211427b8134b6db35f5af,0983a7b193b02c52f316a00b331c3c5a2d23673365255a48bae5023baced78b4
039,1,tensor,1435262,1401381,1.0241768655347832,178a3673bd238b20772211427b8134b6db35f5af,d330f9e63d5e06573b0891f814207624d41f5c159dcefc494a3abc06f30a87c0
040,1,tensor,253454,242119,1.0468158219718402,178a3673bd238b20772211427b8134b6db35f5af,3b02a540e49fe43ea0a354b410fc42505e88b7baaacc39534dd26970b6f151be
041,1,tensor,6003957,5900223,1.0175813693821403,178a3673bd238b20772211427b8134b6db35f5af,935b339bd88a9d8a0cdfd7f24c9cce7884a1283f4fd06af0116a41a9d95ab9d3
042,1,tensor,1686740,1795197,0.939584903495271,178a3673bd238b20772211427b8134b6db35f5af,f13f98fa9bdd3393c1c1864bc86803bda6f150cae889dba8cf1b9e0193b7bc1c
043,1,tensor,677656,616193,1.0997463457066212,178a3673bd238b20772211427b8134b6db35f5af,a305eb54fb6cf99c908c5be519d7dd96e2184970b4b7b5def16b50c912cf91ae
044,1,tensor,154407,75425,2.047159429897249,178a3673bd238b20772211427b8134b6db35f5af,1780da6b333a33bb4a9b4b3731a705a3ebfd6d1f69f6451220a0542c223483ec
045,1,tensor,125614,125614,1.0,178a3673bd238b20772211427b8134b6db35f5af,cef31d8f5325ba5ee6507f8171a2a36495234682306ac01d7f0e74be9580b61f
046,1,tensor,276455,212006,1.3039961133175477,178a3673bd238b20772211427b8134b6db35f5af,1b170f1a14aa3fee2b5623778af9378f5e6124b8b00abc4833655bf58c404195
047,1,tensor,326508,314219,1.0391096655517331,178a3673bd238b20772211427b8134b6db35f5af,31eecf30255582bd7b1ae869cffac3b7d1b7047b6ab7b7137706cbbc75aec8c9
048,1,tensor,222220,208057,1.0680726916181624,178a3673bd238b20772211427b8134b6db35f5af,35429585a2e59cba05db8c25a73c510dd826b33c85b9213db4ea06712b247aff
