variant,event_id,op_id,core,source_core_id,pipe,start,end
seed,0,Subgraph 0,1,0,SUBGRAPH,0,333
seed,1,Subgraph 6,1,0,SUBGRAPH,280,397
seed,2,Subgraph 1,1,0,SUBGRAPH,353,680
seed,3,Subgraph 7,1,0,SUBGRAPH,397,441
seed,4,Subgraph 2,1,0,SUBGRAPH,627,957
seed,5,Subgraph 26,1,0,SUBGRAPH,904,1021
seed,6,Subgraph 27,1,0,SUBGRAPH,1021,1065
seed,7,Subgraph 2193,1,0,SUBGRAPH,977,1304
seed,8,Subgraph 46,1,0,SUBGRAPH,1251,1368
seed,9,Subgraph 2194,1,0,SUBGRAPH,1324,1686
seed,10,Subgraph 47,1,0,SUBGRAPH,1368,1791
seed,11,Subgraph 2195,1,0,SUBGRAPH,1633,1998
seed,12,Subgraph 66,1,0,SUBGRAPH,1945,2062
seed,13,Subgraph 4386,1,0,SUBGRAPH,2018,2348
seed,14,Subgraph 67,1,0,SUBGRAPH,2062,2488
seed,15,Subgraph 4389,1,0,SUBGRAPH,2292,2686
seed,16,Subgraph 86,1,0,SUBGRAPH,2642,2756
seed,17,Subgraph 4388,1,0,SUBGRAPH,2712,3042
seed,18,Subgraph 87,1,0,SUBGRAPH,2756,3147
seed,19,Subgraph 4391,1,0,SUBGRAPH,2989,3345
seed,20,Subgraph 8,1,0,SUBGRAPH,2800,2844
seed,21,Subgraph 6580,1,0,SUBGRAPH,3301,3663
seed,22,Subgraph 9,1,0,SUBGRAPH,2844,2888
seed,23,Subgraph 6581,1,0,SUBGRAPH,3610,3940
seed,24,Subgraph 10,1,0,SUBGRAPH,3887,3902
seed,25,Subgraph 8772,1,0,SUBGRAPH,3889,4222
seed,26,Subgraph 11,1,0,SUBGRAPH,3902,3916
seed,27,Subgraph 12,1,0,SUBGRAPH,3916,4056
seed,28,Subgraph 8775,1,0,SUBGRAPH,4169,4490
seed,29,Subgraph 8774,1,0,SUBGRAPH,4446,4789
seed,30,Subgraph 8777,1,0,SUBGRAPH,4733,5079
seed,31,Subgraph 28,1,0,SUBGRAPH,4056,4100
seed,32,Subgraph 10966,1,0,SUBGRAPH,5035,5362
seed,33,Subgraph 29,1,0,SUBGRAPH,4100,4144
seed,34,Subgraph 10967,1,0,SUBGRAPH,5309,5639
seed,35,Subgraph 30,1,0,SUBGRAPH,4144,4157
seed,36,Subgraph 31,1,0,SUBGRAPH,4157,4171
seed,37,Subgraph 32,1,0,SUBGRAPH,4171,4311
seed,38,Subgraph 58,1,0,SUBGRAPH,5586,5703
seed,39,Subgraph 59,1,0,SUBGRAPH,5703,5747
seed,40,Subgraph 60,1,0,SUBGRAPH,5747,5760
seed,41,Subgraph 61,1,0,SUBGRAPH,5760,5774
seed,42,Subgraph 62,1,0,SUBGRAPH,5774,5914
seed,43,Subgraph 78,1,0,SUBGRAPH,5659,5958
seed,44,Subgraph 79,1,0,SUBGRAPH,5958,6002
seed,45,Subgraph 80,1,0,SUBGRAPH,6002,6015
seed,46,Subgraph 81,1,0,SUBGRAPH,6015,6029
seed,47,Subgraph 82,1,0,SUBGRAPH,6029,6169
seed,48,Subgraph 13,1,0,SUBGRAPH,5729,6183
seed,49,Subgraph 14,1,0,SUBGRAPH,6183,6227
seed,50,Subgraph 23,1,0,SUBGRAPH,6227,6241
seed,51,Subgraph 24,1,0,SUBGRAPH,5731,6285
seed,52,Subgraph 33,1,0,SUBGRAPH,6285,6299
seed,53,Subgraph 34,1,0,SUBGRAPH,6299,6343
seed,54,Subgraph 43,1,0,SUBGRAPH,6343,6357
seed,55,Subgraph 44,1,0,SUBGRAPH,5801,6401
seed,56,Subgraph 63,1,0,SUBGRAPH,6401,6415
seed,57,Subgraph 64,1,0,SUBGRAPH,6415,6459
seed,58,Subgraph 83,1,0,SUBGRAPH,6459,6473
seed,59,Subgraph 84,1,0,SUBGRAPH,6473,6517
seed,60,Subgraph 15,1,0,SUBGRAPH,6517,6623
seed,61,Subgraph 25,1,0,SUBGRAPH,6561,6693
seed,62,Subgraph 96,1,0,SUBGRAPH,5871,6847
seed,63,Subgraph 35,1,0,SUBGRAPH,6605,6883
seed,64,Subgraph 45,1,0,SUBGRAPH,6649,6953
seed,65,Subgraph 65,1,0,SUBGRAPH,6693,6997
seed,66,Subgraph 85,1,0,SUBGRAPH,6737,7038
seed,67,Subgraph 2120,1,0,SUBGRAPH,6781,7041
seed,68,Subgraph 2158,1,0,SUBGRAPH,6805,7045
seed,69,Subgraph 97,1,0,SUBGRAPH,6009,7116
seed,70,Subgraph 2216,1,0,SUBGRAPH,6829,6843
seed,71,Subgraph 2236,1,0,SUBGRAPH,6843,6857
seed,72,Subgraph 2256,1,0,SUBGRAPH,6857,6871
seed,73,Subgraph 2276,1,0,SUBGRAPH,6871,6885
