seq,core,source_core_id,op_id,op,pipe,start,end,duration,minimum_duration,incoming_lag,cache_hit
1,3,2,1000001542,COPY_IN,PIPE_MTE2,0,4466,4466,1229,0,False
2,3,2,1000001544,COPY_IN,PIPE_MTE2,4466,8316,3850,1229,0,False
3,3,2,1000001546,COPY_IN,PIPE_MTE2,8316,11568,3252,1229,0,False
4,3,2,1000001548,COPY_IN,PIPE_MTE2,11568,12886,1318,1229,0,False
5,3,2,1000001550,COPY_IN,PIPE_MTE2,12886,14198,1312,1229,0,False
6,3,2,1000001552,COPY_IN,PIPE_MTE2,14198,15509,1311,1229,0,False
7,3,2,1000001554,COPY_IN,PIPE_MTE2,15509,16847,1338,1229,0,False
8,3,2,1000001656,COPY_IN,PIPE_MTE2,16847,16850,3,3,0,False
9,3,2,228,RELU,PIPE_V,16850,16857,7,7,0,
10,3,2,229,CONV,PIPE_M,16857,17007,150,150,0,
11,3,2,230,RELU,PIPE_V,17007,17014,7,7,0,
12,3,2,231,ADD,PIPE_V,17014,17021,7,7,0,
13,3,2,232,CONV,PIPE_M,17021,17171,150,150,0,
14,3,2,233,RELU,PIPE_V,17171,17178,7,7,0,
15,3,2,234,CONV,PIPE_M,17178,17328,150,150,0,
16,3,2,235,RELU,PIPE_V,17328,17335,7,7,0,
17,3,2,236,ADD,PIPE_V,17335,17342,7,7,0,
18,3,2,237,CONV,PIPE_M,17342,17492,150,150,0,
19,3,2,238,RELU,PIPE_V,17492,17499,7,7,0,
20,3,2,239,CONV,PIPE_M,17499,17649,150,150,0,
21,3,2,240,RELU,PIPE_V,17649,17656,7,7,0,
22,3,2,241,ADD,PIPE_V,17656,17663,7,7,0,
23,3,2,242,CONV,PIPE_M,17663,17813,150,150,0,
24,3,2,243,RELU,PIPE_V,17813,17820,7,7,0,
25,3,2,244,CONV,PIPE_M,17820,17970,150,150,0,
26,3,2,1000001661,COPY_OUT,PIPE_MTE3,17970,17973,3,3,0,
27,4,3,1000001662,COPY_IN,PIPE_MTE2,18473,18476,3,3,500,False
28,4,3,245,RELU,PIPE_V,18476,18483,7,7,0,
29,4,3,246,ADD,PIPE_V,18483,18490,7,7,0,
30,4,3,247,CONV,PIPE_M,18490,18640,150,150,0,
31,4,3,248,RELU,PIPE_V,18640,18647,7,7,0,
32,4,3,249,CONV,PIPE_M,18647,18685,38,38,0,
33,4,3,250,ADD,PIPE_V,18685,18693,8,8,0,
34,4,3,251,RELU,PIPE_V,18693,18701,8,8,0,
35,4,3,252,CONV,PIPE_M,18701,18851,150,150,0,
36,4,3,253,RELU,PIPE_V,18851,18859,8,8,0,
37,4,3,254,CONV,PIPE_M,18859,19009,150,150,0,
38,4,3,255,RELU,PIPE_V,19009,19017,8,8,0,
39,4,3,256,ADD,PIPE_V,19017,19025,8,8,0,
40,4,3,257,CONV,PIPE_M,19025,19175,150,150,0,
41,4,3,258,RELU,PIPE_V,19175,19183,8,8,0,
42,4,3,259,CONV,PIPE_M,19183,19333,150,150,0,
43,4,3,260,RELU,PIPE_V,19333,19341,8,8,0,
44,4,3,261,ADD,PIPE_V,19341,19349,8,8,0,
45,4,3,262,CONV,PIPE_M,19349,19387,38,38,0,
46,4,3,263,ADD,PIPE_V,19387,19397,10,10,0,
47,4,3,264,RELU,PIPE_V,19397,19407,10,10,0,
48,4,3,265,CONV,PIPE_M,19407,19557,150,150,0,
49,4,3,266,RELU,PIPE_V,19557,19567,10,10,0,
50,4,3,267,CONV,PIPE_M,19567,19717,150,150,0,
51,4,3,268,RELU,PIPE_V,19717,19727,10,10,0,
52,4,3,269,ADD,PIPE_V,19727,19737,10,10,0,
53,4,3,270,CONV,PIPE_M,19737,19887,150,150,0,
54,4,3,271,RELU,PIPE_V,19887,19897,10,10,0,
55,4,3,272,CONV,PIPE_M,19897,20047,150,150,0,
56,4,3,1000001667,COPY_OUT,PIPE_MTE3,20047,20056,9,9,0,
57,5,4,1000001668,COPY_IN,PIPE_MTE2,20556,20565,9,9,500,False
58,5,4,273,RELU,PIPE_V,20565,20575,10,10,0,
59,5,4,274,ADD,PIPE_V,20575,20585,10,10,0,
60,5,4,275,CONV,PIPE_M,20585,20623,38,38,0,
61,5,4,276,ADD,PIPE_V,20623,20637,14,14,0,
62,5,4,277,RELU,PIPE_V,20637,20651,14,14,0,
63,5,4,278,CONV,PIPE_M,20651,20801,150,150,0,
64,5,4,279,RELU,PIPE_V,20801,20815,14,14,0,
65,5,4,280,CONV,PIPE_M,20815,20965,150,150,0,
66,5,4,281,RELU,PIPE_V,20965,20979,14,14,0,
67,5,4,282,ADD,PIPE_V,20979,20993,14,14,0,
68,5,4,283,CONV,PIPE_M,20993,21143,150,150,0,
69,5,4,284,RELU,PIPE_V,21143,21157,14,14,0,
70,5,4,285,CONV,PIPE_M,21157,21307,150,150,0,
71,5,4,286,RELU,PIPE_V,21307,21321,14,14,0,
72,5,4,287,ADD,PIPE_V,21321,21335,14,14,0,
73,5,4,288,CONV,PIPE_M,21335,21373,38,38,0,
74,5,4,289,ADD,PIPE_V,21373,21395,22,22,0,
75,5,4,290,RELU,PIPE_V,21395,21417,22,22,0,
76,5,4,291,CONV,PIPE_M,21417,21567,150,150,0,
77,5,4,292,RELU,PIPE_V,21567,21589,22,22,0,
78,5,4,293,CONV,PIPE_M,21589,21739,150,150,0,
79,5,4,294,RELU,PIPE_V,21739,21761,22,22,0,
80,5,4,295,ADD,PIPE_V,21761,21783,22,22,0,
81,5,4,296,CONV,PIPE_M,21783,21933,150,150,0,
82,5,4,297,RELU,PIPE_V,21933,21955,22,22,0,
83,5,4,298,CONV,PIPE_M,21955,22105,150,150,0,
84,5,4,299,RELU,PIPE_V,22105,22127,22,22,0,
