variant,event_id,op_id,core,pipe,start,end,prefix_id
prefix044-k5,c0-op1000001498,1000001498,1,PIPE_MTE2,0,25,
prefix044-k5,c0-op1000001635,1000001635,1,PIPE_MTE2,25,200,
prefix044-k5,c0-op177,177,1,PIPE_M,200,350,
prefix044-k5,c0-op1000001500,1000001500,1,PIPE_MTE2,200,225,
prefix044-k5,c0-op1000001502,1000001502,1,PIPE_MTE2,225,250,
prefix044-k5,c0-op1000001504,1000001504,1,PIPE_MTE2,250,275,
prefix044-k5,c0-op1000001506,1000001506,1,PIPE_MTE2,275,300,
prefix044-k5,c0-op1000001508,1000001508,1,PIPE_MTE2,300,350,
prefix044-k5,c0-op178,178,1,PIPE_V,350,372,
prefix044-k5,c0-op1000001510,1000001510,1,PIPE_MTE2,350,450,
prefix044-k5,c0-op179,179,1,PIPE_M,372,522,
prefix044-k5,c0-op1000001512,1000001512,1,PIPE_MTE2,450,550,
prefix044-k5,c0-op180,180,1,PIPE_V,522,544,
prefix044-k5,c0-op181,181,1,PIPE_M,544,694,
prefix044-k5,c0-op1000001514,1000001514,1,PIPE_MTE2,550,643,
prefix044-k5,c0-op1000001516,1000001516,1,PIPE_MTE2,643,723,
prefix044-k5,c0-op182,182,1,PIPE_V,694,716,
prefix044-k5,c0-op183,183,1,PIPE_V,716,738,
prefix044-k5,c0-op1000001598,1000001598,1,PIPE_MTE2,723,863,
prefix044-k5,c0-op184,184,1,PIPE_M,738,888,
prefix044-k5,c0-op1000001672,1000001672,1,PIPE_MTE2,863,1003,
prefix044-k5,c0-op185,185,1,PIPE_V,888,910,
prefix044-k5,c0-op186,186,1,PIPE_M,910,1060,
prefix044-k5,c0-op1000001709,1000001709,1,PIPE_MTE2,1003,1153,
prefix044-k5,c0-op187,187,1,PIPE_V,1060,1082,
prefix044-k5,c0-op188,188,1,PIPE_V,1082,1104,
prefix044-k5,c0-op189,189,1,PIPE_M,1104,1182,
prefix044-k5,c0-op1000001637,1000001637,1,PIPE_MTE3,1104,1279,
prefix044-k5,c0-op1000001746,1000001746,1,PIPE_MTE2,1153,1319,
prefix044-k5,c0-op190,190,1,PIPE_V,1182,1196,
prefix044-k5,c0-op191,191,1,PIPE_M,1196,1346,
prefix044-k5,c0-op1000001783,1000001783,1,PIPE_MTE2,1319,1459,
prefix044-k5,c0-op192,192,1,PIPE_V,1346,1360,
prefix044-k5,c0-op193,193,1,PIPE_M,1360,1510,
prefix044-k5,c0-op1000001820,1000001820,1,PIPE_MTE2,1459,1599,
prefix044-k5,c0-op194,194,1,PIPE_V,1510,1524,
prefix044-k5,c0-op195,195,1,PIPE_V,1524,1538,
prefix044-k5,c0-op196,196,1,PIPE_M,1538,1688,
prefix044-k5,c0-op1000001857,1000001857,1,PIPE_MTE2,1599,1739,
prefix044-k5,c0-op197,197,1,PIPE_V,1688,1702,
prefix044-k5,c0-op198,198,1,PIPE_M,1702,1852,
prefix044-k5,c0-op1000001894,1000001894,1,PIPE_MTE2,1739,1879,
prefix044-k5,c0-op52,52,1,PIPE_M,1852,2002,
prefix044-k5,c0-op199,199,1,PIPE_V,1852,1866,
prefix044-k5,c0-op200,200,1,PIPE_V,1866,1880,
prefix044-k5,c0-op1000001931,1000001931,1,PIPE_MTE2,1879,2054,
prefix044-k5,c0-op1000001640,1000001640,1,PIPE_MTE3,1880,1970,
prefix044-k5,c0-op1000001643,1000001643,1,PIPE_MTE3,1970,2060,
prefix044-k5,c0-op53,53,1,PIPE_V,2002,2024,
prefix044-k5,c0-op54,54,1,PIPE_M,2024,2174,
prefix044-k5,c0-op1000001968,1000001968,1,PIPE_MTE2,2054,2196,
prefix044-k5,c0-op55,55,1,PIPE_V,2174,2196,
prefix044-k5,c0-op56,56,1,PIPE_M,2196,2346,
prefix044-k5,c0-op57,57,1,PIPE_V,2346,2368,
prefix044-k5,c0-op58,58,1,PIPE_V,2368,2390,
prefix044-k5,c0-op59,59,1,PIPE_M,2390,2540,
prefix044-k5,c0-op60,60,1,PIPE_V,2540,2562,
prefix044-k5,c0-op61,61,1,PIPE_M,2562,2712,
prefix044-k5,c0-op62,62,1,PIPE_V,2712,2734,
prefix044-k5,c0-op63,63,1,PIPE_V,2734,2756,
prefix044-k5,c0-op64,64,1,PIPE_M,2756,2834,
prefix044-k5,c0-op1000001600,1000001600,1,PIPE_MTE3,2756,2896,
prefix044-k5,c0-op65,65,1,PIPE_V,2834,2848,
prefix044-k5,c0-op66,66,1,PIPE_M,2848,2998,
prefix044-k5,c0-op67,67,1,PIPE_V,2998,3012,
