object,evidence_type,cycles,source_field
prefix1,exclusive_optimistic,3577,cold_prefixes.1.work
prefix1,conditional_shared_bound,10383,cold_prefixes.1.finish_lower_bound
prefix1,official_measured,11351,cold_prefixes.1.official_finish
prefix2,exclusive_optimistic,8603,cold_prefixes.2.work
prefix2,conditional_shared_bound,15415,cold_prefixes.2.finish_lower_bound
prefix2,official_measured,16847,cold_prefixes.2.official_finish
prefix3,exclusive_optimistic,3112,cold_prefixes.3.work
prefix3,conditional_shared_bound,9442,cold_prefixes.3.finish_lower_bound
prefix3,official_measured,10386,cold_prefixes.3.official_finish
prefix4,exclusive_optimistic,123,cold_prefixes.4.work
prefix4,conditional_shared_bound,465,cold_prefixes.4.finish_lower_bound
prefix4,official_measured,615,cold_prefixes.4.official_finish
overall,exclusive_optimistic,29780,without_memory_lower_bound
overall,conditional_shared_bound,36592,rounded_sharing_model_lower_bound
overall,official_measured,38024,official_makespan
