case,cores,method,baseline,makespan,speedup,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup,attempt_id,revision
001,1,p1_v4_a0537aeb,233110,233110,1.0,233110,233110,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-001-k1-r0,1
001,2,p1_v4_a0537aeb,233110,116868,1.9946435294520313,233110,116868,1.9946435294520313,1.9946435294520313,nikolastarx-20260924T1952Z-s59ee-P1-001-k2-r0,1
001,3,p1_v4_a0537aeb,233110,78545,2.9678528232223567,233110,78545,2.9678528232223567,2.9678528232223567,nikolastarx-20260924T1952Z-s59ee-P1-001-k3-r0,1
001,4,p1_v4_a0537aeb,233110,58984,3.952088702020887,233110,58984,3.952088702020887,3.952088702020887,nikolastarx-20260924T1952Z-s59ee-P1-001-k4-r0,1
001,5,p1_v4_a0537aeb,233110,47502,4.9073723211654245,233110,47502,4.9073723211654245,4.9073723211654245,nikolastarx-20260924T1952Z-s59ee-P1-001-k5-r0,1
002,1,p1_v4_a0537aeb,261945,261945,1.0,261945,261945,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-002-k1-r0,1
002,2,p1_v4_a0537aeb,261945,135690,1.93046650453239,261945,135690,1.93046650453239,1.93046650453239,nikolastarx-20260924T1952Z-s59ee-P1-002-k2-r0,1
002,3,p1_v4_a0537aeb,261945,93963,2.7877462405414897,261945,93963,2.7877462405414897,2.7877462405414897,nikolastarx-20260924T1952Z-s59ee-P1-002-k3-r0,1
002,4,p1_v4_a0537aeb,261945,73544,3.561745349722615,261945,73544,3.561745349722615,3.561745349722615,nikolastarx-20260924T1952Z-s59ee-P1-002-k4-r0,1
002,5,p1_v4_a0537aeb,261945,55067,4.756841665607351,261945,55067,4.756841665607351,4.756841665607351,nikolastarx-20260924T1952Z-s59ee-P1-002-k5-r0,1
003,1,p1_v4_a0537aeb,602212,602382,0.9997177870520699,602212,602382,0.9997177870520699,1.0,nikolastarx-20260924T1952Z-s59ee-P1-003-k1-r0,1
003,2,p1_v4_a0537aeb,602212,340580,1.7681954313230372,602212,340580,1.7681954313230372,1.7681954313230372,nikolastarx-20260924T1952Z-s59ee-P1-003-k2-r0,1
003,3,p1_v4_a0537aeb,602212,225604,2.6693321040407083,602212,225604,2.6693321040407083,2.6693321040407083,nikolastarx-20260924T1952Z-s59ee-P1-003-k3-r0,1
003,4,p1_v4_a0537aeb,602212,206064,2.92245127727308,602212,206064,2.92245127727308,2.92245127727308,nikolastarx-20260924T1952Z-s59ee-P1-003-k4-r0,1
003,5,p1_v4_a0537aeb,602212,165184,3.6457041844246416,602212,165184,3.6457041844246416,3.6457041844246416,nikolastarx-20260924T1952Z-s59ee-P1-003-k5-r0,1
004,1,p1_v4_a0537aeb,392357,392357,1.0,392357,392357,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-004-k1-r0,1
004,2,p1_v4_a0537aeb,392357,199074,1.9709103147573264,392357,199074,1.9709103147573264,1.9709103147573264,nikolastarx-20260924T1952Z-s59ee-P1-004-k2-r0,1
004,3,p1_v4_a0537aeb,392357,134043,2.927098020784375,392357,134043,2.927098020784375,2.927098020784375,nikolastarx-20260924T1952Z-s59ee-P1-004-k3-r0,1
004,4,p1_v4_a0537aeb,392357,104188,3.765855952700887,392357,104188,3.765855952700887,3.765855952700887,nikolastarx-20260924T1952Z-s59ee-P1-004-k4-r0,1
004,5,p1_v4_a0537aeb,392357,88341,4.441391879195391,392357,88341,4.441391879195391,4.441391879195391,nikolastarx-20260924T1952Z-s59ee-P1-004-k5-r0,1
005,1,p1_v4_a0537aeb,95618,95618,1.0,95618,95618,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-005-k1-r0,1
005,2,p1_v4_a0537aeb,95618,60186,1.5887083374871231,95618,60186,1.5887083374871231,1.5887083374871231,nikolastarx-20260924T1952Z-s59ee-P1-005-k2-r0,1
005,3,p1_v4_a0537aeb,95618,47601,2.0087393121993236,95618,47601,2.0087393121993236,2.0087393121993236,nikolastarx-20260924T1952Z-s59ee-P1-005-k3-r0,1
005,4,p1_v4_a0537aeb,95618,42167,2.267602627647212,95618,42167,2.267602627647212,2.267602627647212,nikolastarx-20260924T1952Z-s59ee-P1-005-k4-r0,1
005,5,p1_v4_a0537aeb,95618,42487,2.2505236895991714,95618,42487,2.2505236895991714,2.2505236895991714,nikolastarx-20260924T1952Z-s59ee-P1-005-k5-r0,1
006,1,p1_v4_a0537aeb,82837,82837,1.0,82837,82837,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-006-k1-r0,1
006,2,p1_v4_a0537aeb,82837,43425,1.907587795048935,82837,43425,1.907587795048935,1.907587795048935,nikolastarx-20260924T1952Z-s59ee-P1-006-k2-r0,1
006,3,p1_v4_a0537aeb,82837,31153,2.6590376528745225,82837,31153,2.6590376528745225,2.6590376528745225,nikolastarx-20260924T1952Z-s59ee-P1-006-k3-r0,1
006,4,p1_v4_a0537aeb,82837,30204,2.742583763739902,82837,30204,2.742583763739902,2.742583763739902,nikolastarx-20260924T1952Z-s59ee-P1-006-k4-r0,1
006,5,p1_v4_a0537aeb,82837,31153,2.6590376528745225,82837,31153,2.6590376528745225,2.6590376528745225,nikolastarx-20260924T1952Z-s59ee-P1-006-k5-r0,1
007,1,p1_v4_a0537aeb,1012562,1012562,1.0,1012562,1012562,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-007-k1-r0,1
007,2,p1_v4_a0537aeb,1012562,507494,1.9952196479170197,1012562,507494,1.9952196479170197,1.9952196479170197,nikolastarx-20260924T1952Z-s59ee-P1-007-k2-r0,1
007,3,p1_v4_a0537aeb,1012562,338094,2.994912657426633,1012562,338094,2.994912657426633,2.994912657426633,nikolastarx-20260924T1952Z-s59ee-P1-007-k3-r0,1
007,4,p1_v4_a0537aeb,1012562,254398,3.980227831979811,1012562,254398,3.980227831979811,3.980227831979811,nikolastarx-20260924T1952Z-s59ee-P1-007-k4-r0,1
007,5,p1_v4_a0537aeb,1012562,203834,4.967581463347626,1012562,203834,4.967581463347626,4.967581463347626,nikolastarx-20260924T1952Z-s59ee-P1-007-k5-r0,1
008,1,p1_v4_a0537aeb,487605,487605,1.0,487605,487605,1.0,1.0,nikolastarx-20260924T1952Z-s59ee-P1-008-k1-r0,1
008,2,p1_v4_a0537aeb,487605,194956,2.5011028129424075,487605,194956,2.5011028129424075,2.5011028129424075,nikolastarx-20260924T1952Z-s59ee-P1-008-k2-r0,1
008,3,p1_v4_a0537aeb,487605,137062,3.5575505975397994,487605,137062,3.5575505975397994,3.5575505975397994,nikolastarx-20260924T1952Z-s59ee-P1-008-k3-r0,1
