method,case,cores,baseline_cycles,makespan_cycles,observed_speedup,plot_speedup
q2-adaptive-budget,001,1,233110.0,233110.0,1.0,1.0
q2-adaptive-budget,002,1,240813.0,240813.0,1.0,1.0
q2-adaptive-budget,003,1,566163.0,566163.0,1.0,1.0
q2-adaptive-budget,004,1,386417.0,386417.0,1.0,1.0
q2-adaptive-budget,005,1,90450.0,90450.0,1.0,1.0
q2-adaptive-budget,006,1,69275.0,69275.0,1.0,1.0
q2-adaptive-budget,007,1,979262.0,979262.0,1.0,1.0
q2-adaptive-budget,008,1,250437.0,250437.0,1.0,1.0
q2-adaptive-budget,009,1,139915.0,139915.0,1.0,1.0
q2-adaptive-budget,010,1,71470.0,71470.0,1.0,1.0
q2-adaptive-budget,011,1,184697.0,184697.0,1.0,1.0
q2-adaptive-budget,012,1,51401.0,51401.0,1.0,1.0
q2-adaptive-budget,013,1,263949.0,263949.0,1.0,1.0
q2-adaptive-budget,014,1,18021184.0,18021184.0,1.0,1.0
q2-adaptive-budget,015,1,160641.0,160641.0,1.0,1.0
q2-adaptive-budget,016,1,7715523.0,7715523.0,1.0,1.0
q2-adaptive-budget,017,1,130072.0,130072.0,1.0,1.0
q2-adaptive-budget,018,1,1020703.0,1020703.0,1.0,1.0
q2-adaptive-budget,019,1,64148.0,64148.0,1.0,1.0
q2-adaptive-budget,020,1,532746.0,532746.0,1.0,1.0
q2-adaptive-budget,021,1,6560801.0,6560801.0,1.0,1.0
q2-adaptive-budget,022,1,54123.0,54123.0,1.0,1.0
q2-adaptive-budget,023,1,88278.0,88278.0,1.0,1.0
q2-adaptive-budget,024,1,2555343.0,2555343.0,1.0,1.0
q2-adaptive-budget,025,1,4703066.0,4703066.0,1.0,1.0
q2-adaptive-budget,026,1,95694.0,95694.0,1.0,1.0
q2-adaptive-budget,027,1,2363952.0,2363952.0,1.0,1.0
q2-adaptive-budget,028,1,40612073.0,40612073.0,1.0,1.0
q2-adaptive-budget,029,1,37555.0,37555.0,1.0,1.0
q2-adaptive-budget,030,1,2820990.0,2820990.0,1.0,1.0
q2-adaptive-budget,031,1,1421235.0,1421235.0,1.0,1.0
q2-adaptive-budget,032,1,34103.0,34103.0,1.0,1.0
q2-adaptive-budget,033,1,1792938.0,1792938.0,1.0,1.0
q2-adaptive-budget,034,1,805560.0,805560.0,1.0,1.0
