case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path,slot_kind,capture_state,source_status,status_reason,multicore_ratio_missing_reason,cache_ratio_missing_reason,baseline_status,baseline_summary_sha256,pair_status,pair_reported_makespan_cycles,pair_plan_identity,pair_wall_seconds,pair_eval_seconds,cell_wall_seconds,baseline_wall_seconds,baseline_eval_seconds,source_receipt,source_receipt_sha256,harness_sha256,harness_lineage_basis,plan_sha256,timing_note,result_path_base
001,P1,1,official_singlecore_baseline,ok,233110,233110,1.0,,,"{""original_graph_copy_bytes"": 1639552, ""scheduled_copy_bytes"": 1639552, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/001/e0/result.json.gz,reused_baseline_anchor,final_receipt,ok,,,not_applicable,ok,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,,,,,,,0.9784425999996529,0.45176360000004934,baselines/001/e0/summary.json,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,,Reused official baseline; no P1/P2 solver execution for this anchor.,source_run_directory
001,P1,2,q1_search_32_seed0,ok,117688,233110,1.9807457004962272,32.91488499999923,0.6559999999999491,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1645312,""added_copy_bytes"":5760,""partition_added_copy_bytes"":5760,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k2/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,,,,,,32.98494169999958,0.9784425999996529,0.45176360000004934,cells/P1/001/k2/cell.json,5d9efc11bfdab2efbcde91468cc3a6cd3a21cc0b54b7306028c01781f2c011ad,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,7767bd307d94b66605f8ae75f1e9a87834b636588eca580dd1e4383e187e21ed,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
001,P1,3,q1_search_32_seed0,ok,78955,233110,2.9524412640111457,31.809978500000398,0.7190000000000509,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1658752,""added_copy_bytes"":19200,""partition_added_copy_bytes"":19200,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k3/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,,,,,,31.886301500000627,0.9784425999996529,0.45176360000004934,cells/P1/001/k3/cell.json,6a655adf48b25a90adcc4066364e09756daa26ebc212e5ef85b298479ad9ef90,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,7ed828f3a6e8263bcb254e818f47da27da5853be2d7b6c6356fabacf5a7d827b,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
001,P1,4,q1_search_32_seed0,ok,59868,233110,3.8937328790004675,32.50583409999945,0.6399999999994179,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1647616,""added_copy_bytes"":8064,""partition_added_copy_bytes"":8064,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k4/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,,,,,,32.5780635000001,0.9784425999996529,0.45176360000004934,cells/P1/001/k4/cell.json,726c89ba80c680e0ac06beb5998be3e1d8ef77612a5af70355849d7fb8088772,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,1cf96db513fbaca94abf498fc70d30eca826213fa79ed0090479cd922aefd37e,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
001,P1,5,q1_search_32_seed0,ok,47502,233110,4.9073723211654245,36.195995299999595,0.6570000000001528,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1644160,""added_copy_bytes"":4608,""partition_added_copy_bytes"":4608,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k5/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,651c755cd5e4a266c87a7da682f7235718905c356ddec8f3b458cd95a602ad2a,,,,,,36.27636960000018,0.9784425999996529,0.45176360000004934,cells/P1/001/k5/cell.json,1729da9d86f820ca5a00fd6d4c426a11fc87b107596d551e12c88842bd2d9302,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,561170131b74387d91d461306696cb50f89ca8ac7207681fb7422bdd8c6fcf37,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
002,P1,1,official_singlecore_baseline,ok,261945,261945,1.0,,,"{""original_graph_copy_bytes"": 1224192, ""scheduled_copy_bytes"": 1224192, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/002/e0/result.json.gz,reused_baseline_anchor,final_receipt,ok,,,not_applicable,ok,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,,,,,,,,1.5108896999995522,baselines/002/e0/summary.json,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,2d20ff62926f7f0e5db4615e58d27b3e3b2ce0a882fb6979b745f06de158f1b9,legacy_manifest_exact_receipt_hash,,Reused official baseline; no P1/P2 solver execution for this anchor.,source_run_directory
002,P1,2,q1_search_32_seed0,ok,157602,261945,1.6620664712376747,47.52492580000035,1.2030000000004293,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2267136,""added_copy_bytes"":1042944,""partition_added_copy_bytes"":1042944,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k2/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,,,,,,47.66261669999949,,1.5108896999995522,cells/P1/002/k2/cell.json,edb50ec88eff0dea497a09ce9a2723c41512cbb06c4564189cc09b1c5f7da74b,2d20ff62926f7f0e5db4615e58d27b3e3b2ce0a882fb6979b745f06de158f1b9,legacy_manifest_exact_receipt_hash,eeda3e92d9969d4f5b59065bf7fc57d5cb3acace638050cabe81c5349ac63853,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
002,P1,3,q1_search_32_seed0,ok,111313,261945,2.353229182575261,49.255177099999855,1.4380000000001019,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2340864,""added_copy_bytes"":1116672,""partition_added_copy_bytes"":1116672,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k3/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,,,,,,49.39659850000044,,1.5108896999995522,cells/P1/002/k3/cell.json,75eca679f1868a77c350136604798446d00ff562431d7173f1d09d3d2ceace0b,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,cf9065d72b98dd63da42065b6d6103ff38db6758df3de05139c02ea67e85d0a8,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
002,P1,4,q1_search_32_seed0,ok,92523,261945,2.831133880224377,49.3227938,1.2820000000001528,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2313216,""added_copy_bytes"":1089024,""partition_added_copy_bytes"":1089024,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k4/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,,,,,,49.45505300000059,,1.5108896999995522,cells/P1/002/k4/cell.json,e588942d8d657c02ef5f73db022f804c8e0bcf97e13613375cd8009b7e0351c8,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,7d8ce1eeb05ebcd4469461b5bc89b03473d378aa7994a58639a9eb1fd4e50662,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
002,P1,5,q1_search_32_seed0,ok,83658,261945,3.131141074374238,38.64998569999989,1.9840000000003783,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2388480,""added_copy_bytes"":1164288,""partition_added_copy_bytes"":1164288,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k5/search/e0_best/result.json.gz,solver,final_receipt,ok,,,not_applicable,ok,2c7aff54ab51e99912927bdcdd6498639de543b12f9045ec306ebccb5026078d,,,,,,38.78967250000005,,1.5108896999995522,cells/P1/002/k5/cell.json,88306bb5da2c6a1d612e76389a7a446d2981386cb0092d007aded35f751c6b76,b622d7b281923b372a74086afa6b88dff1b51927d2b2f6988c5656f915e05c4b,receipt_declared_registered,4e0834d692f7bf6c57ab40b2e055fdd3aaa9d1dcfcb25d292214f41f3b8cfc09,"P1 solver wall includes online E1 and both final/stub E0 CLI confirmations; e0_wall is an included subcomponent, do not add it again",source_run_directory
