problem,cores,metric,n,expected,failed,missing,incomplete,unavailable,mean,median,min,max,solver_wall_seconds_n,solver_wall_seconds_mean,solver_wall_seconds_median,solver_wall_seconds_min,solver_wall_seconds_max,e0_wall_seconds_n,e0_wall_seconds_mean,e0_wall_seconds_median,e0_wall_seconds_min,e0_wall_seconds_max
P1,1,multicore_speedup,86,100,14,0,0,0,1.0,1.0,1.0,1.0,0,,,,,0,,,,
P1,2,multicore_speedup,46,100,12,42,0,0,1.8059682494808782,1.952481636850951,0.7743098412201974,2.1021203034797735,46,45.00359486304328,45.63300560000016,27.39314220000051,74.40961059999972,46,3.0366956521740143,1.2265000000006694,0.5619999999998981,21.03099999999904
P1,3,multicore_speedup,45,100,13,42,0,0,2.5159715754648033,2.830769230769231,1.0,3.1055837683461944,45,44.47227995111116,42.53994390000025,22.707475899999736,71.0465949999998,45,3.0246222222221855,1.4380000000001019,0.625,20.85900000000038
P1,4,multicore_speedup,45,100,13,42,0,0,3.0787736787215993,3.7050463653704506,1.0,4.182179731231114,45,44.840542086666474,44.22216149999986,21.27716479999981,70.62268099999892,45,3.1198222222223193,1.2820000000001528,0.5940000000009604,16.42200000000048
P1,5,multicore_speedup,44,100,14,42,0,0,3.5512590182217822,4.2269359236585125,1.0,5.211870768488511,44,43.87995154090907,39.68867559999944,22.189178500000708,72.83368520000113,44,3.1694090909090225,1.3279999999995198,0.625,16.67200000000048
P2,1,multicore_speedup,86,100,14,0,0,0,1.0,1.0,1.0,1.0,0,,,,,0,,,,
P2,2,multicore_speedup,52,100,0,42,0,6,1.4585971422891542,1.362989001932176,0.9812578640701524,2.022193251691183,58,0.6372319258618737,0.47765995000008843,0.31636409999919124,2.1551187999994,58,4.22308998620692,1.6091136499999266,0.6139884999993228,31.682770299999902
P2,3,multicore_speedup,52,100,0,42,0,6,1.7496029938054678,1.5039833184042657,0.9830618917776287,2.994912657426633,58,0.626897946551739,0.47323555000048145,0.3142991999993683,2.2804808000000776,58,3.8320774689654455,1.55620214999999,0.6028769999993528,30.827244699999937
P2,4,multicore_speedup,52,100,0,42,0,6,2.1485061158160486,1.9527193703781371,0.9853909405235785,4.227412213249022,58,0.6191917000001013,0.45945565000056376,0.2259877000014967,2.184563299999354,58,3.5231768465517486,1.584323050000421,0.503515200000038,26.37125080000078
P2,5,multicore_speedup,52,100,0,42,0,6,2.2505099933439014,1.6617073294062197,0.9904835801821128,5.100189239957353,58,0.6673676327587789,0.4690270999999484,0.24675810000007914,4.289025699999911,58,3.289374489655153,1.5640982499999154,0.5171312999991642,22.519699100000253
P3,1,multicore_speedup,52,100,0,42,1,5,1.0865932224496695,1.034684799680106,0.9692871283465004,1.9470166149570551,57,8.15532344210504,2.1162875999998505,0.6051850999992894,107.6178216999997,57,7.18597240175433,1.4415541999987909,0.22631579999870155,102.0574530999993
P3,2,multicore_speedup,52,100,0,42,1,5,1.9004856686795353,1.994970939921547,0.9692871283465004,3.8796725068028834,57,6.193035957894879,1.9684543999992457,0.5803570999996737,60.59029310000005,57,5.242248959648957,1.266574799999944,0.21147989999917627,55.25252689999979
P3,3,multicore_speedup,52,100,0,43,0,5,2.5949304821540764,2.8936832643364667,0.9692871283465004,5.783957866268104,57,5.620979168421129,1.9086923000013485,0.5993263000000297,48.21629739999844,57,4.644663782456104,1.1934464000005391,0.21033399999942048,42.79413420000128
P3,4,multicore_speedup,52,100,0,43,0,5,3.129918701314128,3.3804088154418146,0.9692871283465004,7.646546857357922,57,5.391097622807266,1.79001210000024,0.6168887000003451,44.499071500000355,57,4.413830238596571,1.1361601000007795,0.21056250000037835,39.06836850000036
P3,5,multicore_speedup,52,100,0,43,0,5,3.5872287068028688,3.9545110439157285,0.9692871283465004,9.324836013845594,57,5.2751630385964585,1.884638100000302,0.6278279000016482,40.69869569999992,57,4.305977510526183,1.2266245999999228,0.23243129999900702,35.29488709999987
P3,1,cache_speedup,57,100,0,42,1,0,1.0101886529569573,1.0,1.0,1.4562271062271062,57,8.15532344210504,2.1162875999998505,0.6051850999992894,107.6178216999997,57,7.18597240175433,1.4415541999987909,0.22631579999870155,102.0574530999993
P3,2,cache_speedup,57,100,0,42,1,0,1.011851477381084,1.0,1.0,1.528266069912802,57,6.193035957894879,1.9684543999992457,0.5803570999996737,60.59029310000005,57,5.242248959648957,1.266574799999944,0.21147989999917627,55.25252689999979
P3,3,cache_speedup,57,100,0,43,0,0,1.0129458922422632,1.0,0.9999332045067807,1.502453591606134,57,5.620979168421129,1.9086923000013485,0.5993263000000297,48.21629739999844,57,4.644663782456104,1.1934464000005391,0.21033399999942048,42.79413420000128
P3,4,cache_speedup,57,100,0,43,0,0,1.0104031824852766,1.0,0.9998024211848786,1.308293363316776,57,5.391097622807266,1.79001210000024,0.6168887000003451,44.499071500000355,57,4.413830238596571,1.1361601000007795,0.21056250000037835,39.06836850000036
P3,5,cache_speedup,57,100,0,43,0,0,1.014033304200999,1.0,1.0,1.4232931958741246,57,5.2751630385964585,1.884638100000302,0.6278279000016482,40.69869569999992,57,4.305977510526183,1.2266245999999228,0.23243129999900702,35.29488709999987
