case,engine,repeat,seconds,makespan,full_equal
case_001.json,oracle,0,0.528830000,189027,True
case_001.json,exact,0,0.438614600,189027,True
case_001.json,exact,1,0.423550600,189027,True
case_001.json,oracle,1,0.533309800,189027,True
case_001.json,oracle,2,0.547427100,189027,True
case_001.json,exact,2,0.433074200,189027,True
case_001.json,exact,3,0.432650000,189027,True
case_001.json,oracle,3,0.521100800,189027,True
case_001.json,oracle,4,0.518800300,189027,True
case_001.json,exact,4,0.432292100,189027,True
case_019.json,oracle,0,0.492778900,141133,True
case_019.json,exact,0,0.412265700,141133,True
case_019.json,exact,1,0.425194000,141133,True
case_019.json,oracle,1,0.495969300,141133,True
case_019.json,oracle,2,0.493035500,141133,True
case_019.json,exact,2,0.418412600,141133,True
case_019.json,exact,3,0.418892600,141133,True
case_019.json,oracle,3,0.491261300,141133,True
case_019.json,oracle,4,0.540103000,141133,True
case_019.json,exact,4,0.415681900,141133,True
case_080.json,oracle,0,1.355077600,294124,True
case_080.json,exact,0,1.068874700,294124,True
case_080.json,exact,1,1.121648700,294124,True
case_080.json,oracle,1,1.355268600,294124,True
case_080.json,oracle,2,1.359008600,294124,True
case_080.json,exact,2,1.070503600,294124,True
case_080.json,exact,3,1.135464900,294124,True
case_080.json,oracle,3,1.345232400,294124,True
case_080.json,oracle,4,1.356081800,294124,True
case_080.json,exact,4,1.161045400,294124,True
