case_id,baseline_cycles,baseline_source_commit,result_path,result_sha256,graph_sha256,config_sha256,official_sha256
001,233110,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/001/result.json.gz,80208d8d8280024f1a67b0b3386747454d28f32810f7944883d9adeb16cb3981,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
002,261945,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/002/result.json.gz,5e3c105c26bac55622cf56191e5ae8b54e1ed19602c0d72c457a55caef86c519,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
003,602212,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/003/result.json.gz,f30004f0e7afb8f3281a05ac0607701cf166c9920f3fd5e8f6b69fe175b40cac,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
004,392357,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/004/result.json.gz,d0af4093bff7403f82673f243142f6eb7711cecdac751008fce76d2750b32c0b,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
005,95618,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/005/result.json.gz,3efb00f0d7750733b54df72ce2acde81b6bbc510d92771f6414ff985864340a4,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
006,82837,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/006/result.json.gz,40ce4843380a4fbfb3409ddf8f3261b5d0063249d126f957be2afb65870b32c7,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
007,1012562,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/007/result.json.gz,fde369da78592c2527b1cf76d57004137c3d2248cfa52911558ff4141b11697b,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
008,487605,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/008/result.json.gz,126b4f87980a9d8ab5fe4a5736f0dae2be0a77a5517c2c245e2041475bb564ee,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
009,153261,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/009/result.json.gz,07f6c5c7051782fdb75708d22a57af1bba275e51a25a94db4ef804f58e5a4db4,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
010,86969,b0937de5b97cb2e85fda68d702c8076457993588,results/benchmark-board/official-singlecore-20260924/010/result.json.gz,30525c5e2598df47326765fde25d86134b1a9f8eee084bdc43d9e559ff00d160,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,dcd10de54b23f8366428fb24e828812b1da9549e6eae4a3c3f38604fe5ae77b9,de11a83db8d7c47ed328b15a7df71d613a833b16cd23ee9fe877999578a1ace0
