case_id,cores,kind,makespan_cycles,reference_cycles,relative_increase
001,1,slower_than_official_singlecore,250003,233110,0.0724679335935825
001,2,slower_than_official_singlecore,250003,233110,0.0724679335935825
001,3,slower_than_official_singlecore,250003,233110,0.0724679335935825
001,4,slower_than_official_singlecore,250003,233110,0.0724679335935825
001,5,slower_than_official_singlecore,250003,233110,0.0724679335935825
003,1,slower_than_official_singlecore,654160,602212,0.08626198083067083
003,2,slower_than_official_singlecore,654160,602212,0.08626198083067083
003,3,slower_than_official_singlecore,654160,602212,0.08626198083067083
003,4,slower_than_official_singlecore,654160,602212,0.08626198083067083
003,5,slower_than_official_singlecore,654160,602212,0.08626198083067083
004,1,slower_than_official_singlecore,405772,392357,0.034190800724850146
004,2,slower_than_official_singlecore,405772,392357,0.034190800724850146
004,3,slower_than_official_singlecore,405772,392357,0.034190800724850146
004,4,slower_than_official_singlecore,405772,392357,0.034190800724850146
004,5,slower_than_official_singlecore,405772,392357,0.034190800724850146
005,1,slower_than_official_singlecore,117327,95618,0.22703884205902658
005,2,slower_than_official_singlecore,117327,95618,0.22703884205902658
005,3,slower_than_official_singlecore,117327,95618,0.22703884205902658
005,4,slower_than_official_singlecore,117327,95618,0.22703884205902658
005,5,slower_than_official_singlecore,117327,95618,0.22703884205902658
006,1,slower_than_official_singlecore,84647,82837,0.02185013943044778
006,2,slower_than_official_singlecore,84647,82837,0.02185013943044778
006,3,slower_than_official_singlecore,84647,82837,0.02185013943044778
006,4,slower_than_official_singlecore,84647,82837,0.02185013943044778
006,5,slower_than_official_singlecore,84647,82837,0.02185013943044778
007,1,slower_than_official_singlecore,1022434,1012562,0.009749526448750823
009,1,slower_than_official_singlecore,168051,153261,0.09650204553017394
009,2,slower_than_official_singlecore,168051,153261,0.09650204553017394
009,3,slower_than_official_singlecore,168051,153261,0.09650204553017394
009,4,slower_than_official_singlecore,168051,153261,0.09650204553017394
009,5,slower_than_official_singlecore,168051,153261,0.09650204553017394
011,1,slower_than_official_singlecore,216172,184697,0.17041424603539856
012,1,slower_than_official_singlecore,61675,59088,0.043782155429190395
012,2,slower_than_official_singlecore,61675,59088,0.043782155429190395
012,3,slower_than_official_singlecore,61675,59088,0.043782155429190395
012,4,slower_than_official_singlecore,61675,59088,0.043782155429190395
