case,problem,cores,algorithm,status,makespan_cycles,singlecore_cycles,multicore_speedup,solver_wall_seconds,e0_wall_seconds,data_movement_bytes,cache_hit_rate,no_cache_makespan_cycles,cache_speedup,error,source_commit,result_path
001,P1,1,official_singlecore_baseline,ok,233110,233110,1.0,,,"{""original_graph_copy_bytes"": 1639552, ""scheduled_copy_bytes"": 1639552, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/001/e0/result.json.gz
001,P1,2,q1_search_32_seed0,ok,117688,233110,1.9807457004962272,32.91488499999923,0.6559999999999491,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1645312,""added_copy_bytes"":5760,""partition_added_copy_bytes"":5760,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k2/search/e0_best/result.json.gz
001,P1,3,q1_search_32_seed0,ok,78955,233110,2.9524412640111457,31.809978500000398,0.7190000000000509,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1658752,""added_copy_bytes"":19200,""partition_added_copy_bytes"":19200,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k3/search/e0_best/result.json.gz
001,P1,4,q1_search_32_seed0,ok,59868,233110,3.8937328790004675,32.50583409999945,0.6399999999994179,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1647616,""added_copy_bytes"":8064,""partition_added_copy_bytes"":8064,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k4/search/e0_best/result.json.gz
001,P1,5,q1_search_32_seed0,ok,47502,233110,4.9073723211654245,36.195995299999595,0.6570000000001528,"{""original_graph_copy_bytes"":1639552,""scheduled_copy_bytes"":1644160,""added_copy_bytes"":4608,""partition_added_copy_bytes"":4608,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/001/k5/search/e0_best/result.json.gz
002,P1,1,official_singlecore_baseline,ok,261945,261945,1.0,,,"{""original_graph_copy_bytes"": 1224192, ""scheduled_copy_bytes"": 1224192, ""added_copy_bytes"": 0, ""partition_added_copy_bytes"": 0, ""spill_added_copy_bytes"": 0}",,,,,f27ef37bb76dcf556f35d3f2328e405d92241d9c,baselines/002/e0/result.json.gz
002,P1,2,q1_search_32_seed0,ok,157602,261945,1.6620664712376747,47.52492580000035,1.2030000000004293,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2267136,""added_copy_bytes"":1042944,""partition_added_copy_bytes"":1042944,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k2/search/e0_best/result.json.gz
002,P1,3,q1_search_32_seed0,ok,111313,261945,2.353229182575261,49.255177099999855,1.4380000000001019,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2340864,""added_copy_bytes"":1116672,""partition_added_copy_bytes"":1116672,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k3/search/e0_best/result.json.gz
002,P1,4,q1_search_32_seed0,ok,92523,261945,2.831133880224377,49.3227938,1.2820000000001528,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2313216,""added_copy_bytes"":1089024,""partition_added_copy_bytes"":1089024,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k4/search/e0_best/result.json.gz
002,P1,5,q1_search_32_seed0,ok,83658,261945,3.131141074374238,38.64998569999989,1.9840000000003783,"{""original_graph_copy_bytes"":1224192,""scheduled_copy_bytes"":2388480,""added_copy_bytes"":1164288,""partition_added_copy_bytes"":1164288,""spill_added_copy_bytes"":0}",,,,,4dff90ef699fd51845cf482951e8477066f5f566,cells/P1/002/k5/search/e0_best/result.json.gz
