old_attempt_id,problem,case_id,cores,status_old,makespan_old,new_attempt_ids,relation,plan_sha256
farmeruncle123-P1-001-k2-seed0-repeat0-v3,P1,001,2,ok,117688,farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,6eb0676aa72c4001053e500cc4047c06aff1bff92c40ee10d951717e34481135
farmeruncle123-P1-001-k3-seed0-repeat0-v3,P1,001,3,ok,78955,farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,bc13daaa1ea56c48563a3b3f27fe1dd277d2fb7eacbc4bb52423d81df7abaccc
farmeruncle123-P1-001-k4-seed0-repeat0-v3,P1,001,4,ok,59868,farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,55be5d1b4034b21398feaeefbb07eaee7a500220ecd2659e658e3090935d9de2
farmeruncle123-P1-001-k5-seed0-repeat0-v3,P1,001,5,ok,47502,farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,78c6c191ecb00c641a60d177fef9d72fc98dea01aacea382bb5dcc7e10effa08
farmeruncle123-P1-002-k2-seed0-repeat0-v3,P1,002,2,ok,183897,farmeruncle123-farmer-q1-v3-20260924-P1-002-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,d4206a99eba4d9b3c94701ed919fc9eee103dffbcde9ec0e13e8b3fc80fcdd8d
farmeruncle123-P1-002-k3-seed0-repeat0-v3,P1,002,3,ok,145829,farmeruncle123-farmer-q1-v3-20260924-P1-002-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,254697ad882e7d6e3d9c59fb9888acb7445795ff64f44e568645ccfdb48ed43e
farmeruncle123-P1-002-k4-seed0-repeat0-v3,P1,002,4,ok,119687,farmeruncle123-farmer-q1-v3-20260924-P1-002-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,a6e6bbc1b00dcddcd885fc0669253bf8051ccbe76e9c5f4c3787357d7d80103a
farmeruncle123-P1-002-k5-seed0-repeat0-v3,P1,002,5,ok,104119,farmeruncle123-farmer-q1-v3-20260924-P1-002-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,a075834e57a23ed7c3d6fc50c9bd4e4767271572e23045c8b0c753f98bd81a4c
farmeruncle123-P1-003-k2-seed0-repeat0-v3,P1,003,2,ok,602212,farmeruncle123-farmer-q1-v3-20260924-P1-003-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,e03d8775b4a98f30049e0319ede3718f5b8fc421422de434bb43a0f82198c6f7
farmeruncle123-P1-003-k3-seed0-repeat0-v3,P1,003,3,ok,602212,farmeruncle123-farmer-q1-v3-20260924-P1-003-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,96e2deb1c523e0a244218630baae2de00a2cde04c67465ceab02505d72a30723
farmeruncle123-P1-003-k4-seed0-repeat0-v3,P1,003,4,ok,602212,farmeruncle123-farmer-q1-v3-20260924-P1-003-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,efa0dc36f01f8b82985c6e0b2cd3987bfaa9e7a20db3bac0cbfb46bc1060e84c
farmeruncle123-P1-003-k5-seed0-repeat0-v3,P1,003,5,ok,602212,farmeruncle123-farmer-q1-v3-20260924-P1-003-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,7f9866db3d52ca7e391165899e5bf40ee9a0ae3b6a44cb4ddbf5131733edce8d
farmeruncle123-P1-004-k2-seed0-repeat0-v3,P1,004,2,ok,201621,farmeruncle123-farmer-q1-v3-20260924-P1-004-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,5e454fc70477e99af756b4e5145b47320903d2c18445d233eecf91eb9483ac74
farmeruncle123-P1-004-k3-seed0-repeat0-v3,P1,004,3,ok,137411,farmeruncle123-farmer-q1-v3-20260924-P1-004-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,d76133e6ce40cdfb1eb40146a721dbbe1c799160f03a27ae57ec649622bd83d3
farmeruncle123-P1-004-k4-seed0-repeat0-v3,P1,004,4,ok,105898,farmeruncle123-farmer-q1-v3-20260924-P1-004-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,992fe17607687ca322b497b84a7a24e243ec1df9f0d9de2520b368ccee269364
farmeruncle123-P1-004-k5-seed0-repeat0-v3,P1,004,5,ok,90136,farmeruncle123-farmer-q1-v3-20260924-P1-004-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,078c5a9c39734831303025997f4e1ff389c4182abb89c455eca0e332b651fc17
farmeruncle123-P1-005-k2-seed0-repeat0-v3,P1,005,2,ok,93799,farmeruncle123-farmer-q1-v3-20260924-P1-005-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,587ab1115e861baf9cef454e31810fff623218a560e5a30645faebcfe68213d9
farmeruncle123-P1-005-k3-seed0-repeat0-v3,P1,005,3,ok,93799,farmeruncle123-farmer-q1-v3-20260924-P1-005-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,c72ccc6d59f500fd19504c59980b99e767222577bdcaf1e0f5d0967927e59ef3
farmeruncle123-P1-005-k4-seed0-repeat0-v3,P1,005,4,ok,93799,farmeruncle123-farmer-q1-v3-20260924-P1-005-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,f2ae6c8bd8d8c6ff01f322e79f77274278a6518934e72d38ec4abea3537feace
farmeruncle123-P1-005-k5-seed0-repeat0-v3,P1,005,5,ok,93799,farmeruncle123-farmer-q1-v3-20260924-P1-005-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,fc9261f697369daa24d639e041ea4e9bd7a3b0472b63df8bc2075bb29d5b11ef
farmeruncle123-P1-006-k2-seed0-repeat0-v3,P1,006,2,ok,42574,farmeruncle123-farmer-q1-v3-20260924-P1-006-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,1564d5188fd00aff3f807e0f8f4b164c6b8a0d3fd99dd5ab5cc3068d333b4761
farmeruncle123-P1-006-k3-seed0-repeat0-v3,P1,006,3,ok,31151,farmeruncle123-farmer-q1-v3-20260924-P1-006-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,08bcc2976448087ae2009a10791fb998c595091ee46d4ed4687d3adb693ab9ff
farmeruncle123-P1-006-k4-seed0-repeat0-v3,P1,006,4,ok,31308,farmeruncle123-farmer-q1-v3-20260924-P1-006-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,715d3f0b81a60f96e4294cb1485b28482e2f94789aa3ba46c1b0aea22d22f333
farmeruncle123-P1-006-k5-seed0-repeat0-v3,P1,006,5,ok,31465,farmeruncle123-farmer-q1-v3-20260924-P1-006-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,6cddca00eaae07f0d692717725807fef867834c4204026a38b0f1b28a026fa8b
farmeruncle123-P1-007-k2-seed0-repeat0-v3,P1,007,2,ok,514118,farmeruncle123-farmer-q1-v3-20260924-P1-007-k2-seed0-repeat0-v2arch,单次执行（v2 存档）,ef3abbccd60973a5840552c5e935d033d8e64645ddace04c73a4b24ee74ef52f
farmeruncle123-P1-007-k3-seed0-repeat0-v3,P1,007,3,ok,345089,farmeruncle123-farmer-q1-v3-20260924-P1-007-k3-seed0-repeat0-v2arch,单次执行（v2 存档）,d6144aad5ddbaae019779422565cd8c06e553eed792e14f57079ade15b505540
farmeruncle123-P1-007-k4-seed0-repeat0-v3,P1,007,4,ok,261080,farmeruncle123-farmer-q1-v3-20260924-P1-007-k4-seed0-repeat0-v2arch,单次执行（v2 存档）,9fab209cb012d32fca9f526f5a4db3df50d470a61c0f889aa13cb675c3796330
farmeruncle123-P1-007-k5-seed0-repeat0-v3,P1,007,5,ok,211421,farmeruncle123-farmer-q1-v3-20260924-P1-007-k5-seed0-repeat0-v2arch,单次执行（v2 存档）,5758ab5e00da8400d78101c05aa6302cf17a44a608fc89b810f1518bb44839a1
