attempt_id,status,eligible,reasons
farmeruncle123-farmer-q1-v3-20260924-P1-001-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-001-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-001-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-001-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-001-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-002-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-002-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-002-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-002-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-002-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-003-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-003-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-003-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-003-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-003-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-004-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-004-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-004-k4-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-004-k5-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-004-k1-official-singlecore,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-005-k2-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-005-k3-seed0-repeat0-v2arch,ok,yes,
farmeruncle123-farmer-q1-v3-20260924-P1-005-k4-seed0-repeat0-v2arch,ok,yes,
