case,cores,status,base_selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops,oversized_tasks_processed,oversized_task_splits,indivisible_oversize_count
001,4,ok,component-pack,58984,0.04130054099368863,0.1290995839808602,1643008,3456,0,233110,250003,3.952088702020887,4.238488403634884,nikolastarx-20260924T1439Z-boundedfull4-99-P1-001-k4-r0,20260924T1439Z-boundedfull4-99,False,600,200,3,4,enough independent components or one core,,,0,0,0
002,4,ok,tree-frontier,73544,0.07629808300407603,0.2390051249822136,1300992,76800,0,261945,255464,3.561745349722615,3.4736212335472643,nikolastarx-20260924T1439Z-boundedfull4-99-P1-002-k4-r0,20260924T1439Z-boundedfull4-99,False,1798,1,1798,5,,25,24,0,0,0
003,4,ok,component-pack,539155,0.24320966700906865,12.956762499990873,1579176,294912,0,602212,654160,1.1169552355074144,1.2133060066214725,nikolastarx-20260924T1439Z-boundedfull4-99-P1-003-k4-r0,20260924T1439Z-boundedfull4-99,False,13455,10,13194,4,enough independent components or one core,,,1,0,1
004,4,ok,component-pack,104188,0.07360695899114944,0.12542087500332855,1124352,331776,0,392357,405772,3.765855952700887,3.8946135831381734,nikolastarx-20260924T1439Z-boundedfull4-99-P1-004-k4-r0,20260924T1439Z-boundedfull4-99,False,777,111,7,4,enough independent components or one core,,,0,0,0
005,4,ok,component-pack,95618,0.13245645799906924,1.5320957919757348,333414,0,0,95618,117327,1.0,1.2270388420590266,nikolastarx-20260924T1439Z-boundedfull4-99-P1-005-k4-r0,20260924T1439Z-boundedfull4-99,False,4113,1,4113,1,not an in-tree forest,,,1,0,1
006,4,ok,component-pack,31428,0.040921458014054224,0.13280658298754133,576884,33536,0,82837,84647,2.6357706503754614,2.693362606592847,nikolastarx-20260924T1439Z-boundedfull4-99-P1-006-k4-r0,20260924T1439Z-boundedfull4-99,False,678,27,136,4,enough independent components or one core,,,0,0,0
007,4,ok,component-pack,254398,0.12924987499718554,0.6188837499939837,1815552,82944,0,1012562,989762,3.980227831979811,3.890604485884323,nikolastarx-20260924T1439Z-boundedfull4-99-P1-007-k4-r0,20260924T1439Z-boundedfull4-99,False,3885,555,7,4,enough independent components or one core,,,0,0,0
008,4,ok,component-pack,123060,0.04077637498266995,0.12752787498175167,2654424,0,0,487605,436414,3.962335446123842,3.5463513733138305,nikolastarx-20260924T1439Z-boundedfull4-99-P1-008-k4-r0,20260924T1439Z-boundedfull4-99,False,864,108,8,4,enough independent components or one core,,,0,0,0
009,4,ok,component-pack,92216,0.13013562498963438,2.236172415985493,544484,49152,0,153261,168051,1.6619783985425522,1.8223627136288714,nikolastarx-20260924T1439Z-boundedfull4-99-P1-009-k4-r0,20260924T1439Z-boundedfull4-99,False,5671,25,4774,4,enough independent components or one core,,,1,0,1
010,4,ok,component-pack,29856,0.04125254199607298,0.12766929200734012,480918,96768,0,86969,81965,2.9129488210075025,2.7453443193997855,nikolastarx-20260924T1439Z-boundedfull4-99-P1-010-k4-r0,20260924T1439Z-boundedfull4-99,False,667,36,133,4,enough independent components or one core,,,0,0,0
011,4,ok,component-pack,46880,0.03950487499241717,0.12981325000873767,1146880,540672,0,184697,151224,3.9397824232081913,3.2257679180887373,nikolastarx-20260924T1439Z-boundedfull4-99-P1-011-k4-r0,20260924T1439Z-boundedfull4-99,False,688,16,43,4,enough independent components or one core,,,0,0,0
012,4,ok,component-pack,17253,0.040766292018815875,0.17973029101267457,594066,39168,0,59088,61675,3.424795687706486,3.574740624818872,nikolastarx-20260924T1439Z-boundedfull4-99-P1-012-k4-r0,20260924T1439Z-boundedfull4-99,False,972,50,98,4,enough independent components or one core,,,0,0,0
013,4,ok,component-pack,66982,0.07598804100416601,0.3455708749825135,2551808,24576,0,263949,275461,3.9405959810098237,4.112463049774567,nikolastarx-20260924T1439Z-boundedfull4-99-P1-013-k4-r0,20260924T1439Z-boundedfull4-99,False,1968,246,8,4,enough independent components or one core,,,0,0,0
