case,cores,status,makespan_cycles,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,spill_bytes,base_selected,attempt_id,run_id,reused
001,1,ok,233110,233110,250003,1.0,1.0724679335935825,0.0755309579835739,0.17968674999428913,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-001-k1-r0,20260924T1459Z-bounded400,False
001,2,ok,116868,233110,250003,1.9946435294520313,2.13919122428723,0.07513987499987707,0.1299743749841582,1152,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-001-k2-r0,20260924T1459Z-bounded400,False
001,3,ok,78545,233110,250003,2.9678528232223567,3.1829269845311603,0.07447962500737049,0.12916820801910944,2304,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-001-k3-r0,20260924T1459Z-bounded400,False
001,4,ok,58984,233110,250003,3.952088702020887,4.238488403634884,0.04130054099368863,0.1290995839808602,3456,0,component-pack,nikolastarx-20260924T1439Z-boundedfull4-99-P1-001-k4-r0,20260924T1439Z-boundedfull4-99,True
001,5,ok,47502,233110,250003,4.9073723211654245,5.262999452654625,0.0745613329927437,0.13088283297838643,4608,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-001-k5-r0,20260924T1459Z-bounded400,False
002,1,ok,261945,261945,255464,1.0,0.9752581648819408,0.07897362500079907,0.5055364159925375,0,0,component-pack,nikolastarx-20260924T1459Z-bounded400-P1-002-k1-r0,20260924T1459Z-bounded400,False
002,2,ok,135690,261945,255464,1.93046650453239,1.8827032205763137,0.07845254198764451,0.39646387498942204,39936,0,tree-frontier,nikolastarx-20260924T1459Z-bounded400-P1-002-k2-r0,20260924T1459Z-bounded400,False
002,3,ok,93963,261945,255464,2.7877462405414897,2.718772282707023,0.07883162499638274,0.344906375015853,43008,0,tree-frontier,nikolastarx-20260924T1459Z-bounded400-P1-002-k3-r0,20260924T1459Z-bounded400,False
002,4,ok,73544,261945,255464,3.561745349722615,3.4736212335472643,0.07629808300407603,0.2390051249822136,76800,0,tree-frontier,nikolastarx-20260924T1439Z-boundedfull4-99-P1-002-k4-r0,20260924T1439Z-boundedfull4-99,True
002,5,ok,55067,261945,255464,4.756841665607351,4.63914867343418,0.07456829099101014,0.2837661250086967,76800,0,tree-frontier,nikolastarx-20260924T1459Z-bounded400-P1-002-k5-r0,20260924T1459Z-bounded400,False
