case,anchor,graph_components,old_makespan,old_guard_selected,overload_pipes,component_max_pipe_work,graph_compute_floor,retained_component_floor,peel_status,waves,parallel_waves,packets,max_packet_work,packet_chain_proxy,packet_chain_with_100_gate_proxy,external_input_bytes,cut_payload_bytes,wave_added_copy_proxy_bytes,packet_added_copy_proxy_bytes,room_after_retained_components
002,3,1,55067,False,PIPE_M;PIPE_V,240000,48000,240000,ok,1,0,1,240000,240000,240000,1222656,0,0,0,0
003,15,10,539607,True,PIPE_M;PIPE_V,383172,87759,12360,ok,14,14,296,12060,44217,45517,1200262,426240,983200,5768652,295413
005,13,1,95618,False,PIPE_M;PIPE_V,63882,12777,0,ok,8,8,130,3102,9673,10373,318822,162240,383150,1598534,51105
006,164,27,31733,False,PIPE_V,30328,13800,30328,ok,1,0,1,30328,30328,30328,196608,0,0,0,0
009,12,25,92225,False,PIPE_M;PIPE_V,79808,23999,7860,ok,18,18,198,1790,14771,16471,92710,80896,185132,546054,55809
010,154,36,31015,False,PIPE_V,28759,11100,28759,ok,1,0,1,28759,28759,28759,229376,0,0,0,0
012,151,50,14300,False,PIPE_M,10480,7115,10480,ok,1,0,1,10480,10480,10480,92160,0,0,0,0
015,664,46,43411,False,PIPE_V,29170,20300,29170,ok,1,0,1,29170,29170,29170,245760,0,0,0,0
016,13,1,7715523,False,PIPE_V,7714975,1542995,7714975,ok,1,0,1,7714975,7714975,7714975,393216,0,0,0,0
019,698,31,24169,False,PIPE_M,20400,12234,20400,ok,1,0,1,20400,20400,20400,57344,0,0,0,0
024,13,1,2555343,False,PIPE_V,2554795,510959,2554795,ok,1,0,1,2554795,2554795,2554795,393216,0,0,0,0
026,650,31,44114,False,PIPE_V,40824,14154,40824,ok,1,0,1,40824,40824,40824,163840,0,0,0,0
031,3624,107,306213,False,PIPE_V,57584,266899,17160,ok,8,8,106,6164,17674,18374,312934,86208,203438,681194,0
032,398,25,10415,False,PIPE_V,7617,6799,9510,ok,2,2,16,855,1526,1626,43020,12,30744,79944,0
032,1346,25,10415,False,PIPE_V,9510,6799,9510,ok,1,0,1,9510,9510,9510,61440,0,0,0,0
035,1153,16,95460,False,PIPE_V;PIPE_M,77834,28782,26238,ok,18,18,124,2666,22030,23730,93734,111872,256588,524994,49052
040,1061,28,110337,False,PIPE_M;PIPE_V,72600,37151,94057,ok,12,12,95,2851,15473,16573,232518,137152,318042,889946,0
040,5969,28,110337,False,PIPE_V,94057,37151,94057,ok,1,0,1,94057,94057,94057,327680,0,0,0,0
042,4739,104,370832,False,PIPE_V,56394,319816,56394,ok,1,0,1,56394,56394,56394,229376,0,0,0,0
043,127,38,269612,False,PIPE_V;PIPE_M,207816,103551,11880,ok,8,8,114,11624,37255,37955,561286,227584,537486,2129138,104265
043,3326,38,269612,False,PIPE_V;PIPE_M,164207,103551,11880,ok,10,10,141,9948,26435,27335,205110,173952,405716,1452276,60656
047,13,1,326508,False,PIPE_M;PIPE_V,259370,51874,0,ok,22,22,387,3841,39190,41290,457286,261504,597624,2426412,207496
048,9,1,222220,False,PIPE_M;PIPE_V,139536,75960,0,ok,20,20,111,5616,56300,58200,410182,163008,373362,731106,63576
049,40,11,160260,True,PIPE_M;PIPE_V,141912,33143,5543,ok,10,10,116,4634,18947,19847,52774,115584,269876,831690,108769
050,40,23,108160,False,PIPE_M;PIPE_V,95739,26683,4892,ok,10,10,131,3556,13427,14327,102700,77572,205468,646842,69056
051,13,1,607628,False,PIPE_V,607080,121416,607080,ok,1,0,1,607080,607080,607080,393216,0,0,0,0
053,1945,39,492699,False,PIPE_M;PIPE_V,349470,242546,56968,ok,12,12,282,10104,52920,54020,1160214,376416,871082,4623770,106924
054,15,24,518133,False,PIPE_M;PIPE_V,416491,114844,24720,ok,16,16,365,16416,59071,60571,426566,348288,799462,3278658,301647
055,139,24,26781,False,PIPE_M,12576,13810,12576,ok,1,0,1,12576,12576,12576,40960,0,0,0,0
056,15,19,265764,True,PIPE_M;PIPE_V,238272,49191,841,ok,14,14,219,5127,29753,31053,145456,177800,458736,1501352,189081
057,64,21,16538,False,PIPE_V,12949,9513,10080,ok,2,2,16,1335,2518,2618,86028,12,61464,159816,2869
057,1489,21,16538,False,PIPE_M,10080,9513,10080,ok,1,0,1,10080,10080,10080,21504,0,0,0,0
061,2219,40,22283,False,PIPE_M,19912,14292,19912,ok,1,0,1,19912,19912,19912,102400,0,0,0,0
062,3,1,589173,False,PIPE_M;PIPE_V,2618400,523680,2618400,ok,1,0,1,2618400,2618400,2618400,13400064,0,0,0,0
