case,cores,status,bounded_makespan_cycles,makespan_cycles,bounded_over_new,extra_ddr_bytes,ddr_bytes,spill_bytes,solver_wall_seconds,evaluation_wall_seconds
003,5,ok,539607,165184,3.2667025862068964,4026936,5311200,0,0.5639181669976097,1.9457417500088923
009,5,ok,92225,50248,1.835396433688903,545012,1040344,0,0.23569516601855867,0.6692909590201452
031,5,ok,306213,325259,0.9414435880329215,8548106,10733146,1482240,0.1869799999985844,2.613621291995514
032,5,ok,10415,10939,0.9520979979888472,84104,377192,0,0.07538720898446627,0.12308008401305415
035,5,ok,95460,55444,1.7217372483947768,529378,940232,0,0.12990070797968656,0.5107449170027394
040,5,ok,110337,94410,1.1687003495392436,968026,1879264,0,0.1329314169997815,0.3983451659732964
043,5,ok,269612,178035,1.5143763866655433,4260434,5691556,49160,0.3459906670032069,1.460869125003228
049,5,ok,160260,57111,2.8061144087828964,611708,764248,0,0.1752207499812357,0.45959045898052864
053,5,ok,492699,417165,1.1810650462047392,11178746,14174034,3337824,0.4499109580065124,1.5828348750073928
056,5,ok,265764,77253,3.440177080501728,1064220,1285820,0,0.38984820898622274,0.8950613330234773
057,5,ok,16538,16736,0.9881692160611855,143424,485884,0,0.07651062501827255,0.13070137501927093
066,5,ok,250449,99777,2.5100874951141043,2410142,3517176,0,0.17960000000311993,0.8742799999890849
068,5,ok,304058,133424,2.2788853579565895,2939810,5711060,0,0.29322354099713266,0.772423250018619
077,5,ok,121081,140494,0.8618232807094965,1249546,3390906,0,0.18023699999321252,0.8164881249831524
087,5,ok,886373,869315,1.0196223463301566,23863502,29782600,4866048,1.1393001250107773,10.84979549999116
088,5,ok,202791,91469,2.217046212377964,2176610,4006408,0,0.17519362500752322,0.4596478329913225
