case,fallback,M_old,M_new,G_old,G_new,D_old,D_new,retained_floor,all_initial_cores_retained,compute_gate_no_improvement,max_proxy_no_improvement,additive_proxy_no_improvement
003,heavy,169767,165184,109762,109057,87502,90620,12360,False,False,False,True
009,bounded,92225,50248,79808,41253,9334,18381,7860,False,False,False,False
031,bounded,306213,325259,268740,280961,141943,155894,17160,True,True,True,True
032,bounded,10415,10939,9510,9510,5277,6534,9510,True,True,True,True
035,bounded,95460,55444,77834,42204,7137,16585,26238,False,False,False,False
040,bounded,110337,94410,94057,94057,16555,32052,94057,False,True,True,True
043,bounded,269612,178035,207816,124867,41359,95865,11880,False,False,False,False
049,heavy,62114,57111,50983,49683,13184,13511,5543,False,False,False,False
050,bounded,108160,42597,95739,37757,5717,14562,4892,False,False,False,False
053,bounded,492699,417165,349470,265809,101925,182253,56968,True,False,False,False
054,bounded,518133,211904,416491,176873,30332,70215,24720,False,False,False,False
056,heavy,81605,77253,73527,68750,22851,22711,841,False,False,False,False
057,bounded,16538,16736,12949,12749,6332,8312,10080,True,False,False,True
066,bounded,250449,99777,202896,74435,19088,59504,1440,False,False,False,False
068,heavy,131234,133424,80810,85217,96547,96536,6352,False,True,False,True
077,bounded,121081,140494,86520,93393,38779,56971,28840,True,True,True,True
087,bounded,886373,869315,722700,741475,215819,419028,26280,True,True,True,True
088,heavy,92700,91469,52787,57256,65146,67606,2660,False,True,True,True
