case,cores,status,selected,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,baseline_cycles,fixed64_cycles,singlecore_speedup,fixed64_speedup,attempt_id,run_id,reused,compute_ops,components,largest_component_ops,actual_tasks,selection_reason,frontier_packets,tail_ops
001,4,ok,component-pack,58984,0.03969662499730475,0.13297291699564084,1643008,3456,0,233110,250003,3.952088702020887,4.238488403634884,nikolastarx-20260924T1427Z-treefull4-99-P1-001-k4-r0,20260924T1427Z-treefull4-99,False,600,200,3,4,enough independent components or one core,,
002,4,ok,tree-frontier,73544,0.07763962500030175,0.23900854101520963,1300992,76800,0,261945,255464,3.561745349722615,3.4736212335472643,nikolastarx-20260924T1422Z-treefine1-P1-002-k4-r0,20260924T1422Z-treefine1,True,1798,1,1798,5,,25,24
003,4,ok,component-pack,539155,0.13148970899055712,13.086659458000213,1579176,294912,0,602212,654160,1.1169552355074144,1.2133060066214725,nikolastarx-20260924T1427Z-treefull4-99-P1-003-k4-r0,20260924T1427Z-treefull4-99,False,13455,10,13194,4,enough independent components or one core,,
004,4,ok,component-pack,104188,0.03862999999546446,0.12580625002738088,1124352,331776,0,392357,405772,3.765855952700887,3.8946135831381734,nikolastarx-20260924T1427Z-treefull4-99-P1-004-k4-r0,20260924T1427Z-treefull4-99,False,777,111,7,4,enough independent components or one core,,
005,4,ok,component-pack,95618,0.07454745902214199,1.3219720830093138,333414,0,0,95618,117327,1.0,1.2270388420590266,nikolastarx-20260924T1427Z-treefull4-99-P1-005-k4-r0,20260924T1427Z-treefull4-99,False,4113,1,4113,1,not an in-tree forest,,
006,4,ok,component-pack,31428,0.04142658301861957,0.12414362499839626,576884,33536,0,82837,84647,2.6357706503754614,2.693362606592847,nikolastarx-20260924T1427Z-treefull4-99-P1-006-k4-r0,20260924T1427Z-treefull4-99,False,678,27,136,4,enough independent components or one core,,
007,4,ok,component-pack,254398,0.07784391698078252,0.6158534999995027,1815552,82944,0,1012562,989762,3.980227831979811,3.890604485884323,nikolastarx-20260924T1427Z-treefull4-99-P1-007-k4-r0,20260924T1427Z-treefull4-99,False,3885,555,7,4,enough independent components or one core,,
008,4,ok,component-pack,123060,0.04020558300544508,0.13021274999482557,2654424,0,0,487605,436414,3.962335446123842,3.5463513733138305,nikolastarx-20260924T1427Z-treefull4-99-P1-008-k4-r0,20260924T1427Z-treefull4-99,False,864,108,8,4,enough independent components or one core,,
009,4,ok,component-pack,92216,0.077533042000141,2.188964875007514,544484,49152,0,153261,168051,1.6619783985425522,1.8223627136288714,nikolastarx-20260924T1427Z-treefull4-99-P1-009-k4-r0,20260924T1427Z-treefull4-99,False,5671,25,4774,4,enough independent components or one core,,
010,4,ok,component-pack,29856,0.04124541700002737,0.1315872919803951,480918,96768,0,86969,81965,2.9129488210075025,2.7453443193997855,nikolastarx-20260924T1427Z-treefull4-99-P1-010-k4-r0,20260924T1427Z-treefull4-99,False,667,36,133,4,enough independent components or one core,,
