case_id,status,singlecore_cycles,bounded_cycles,overload_cycles,bounded_speedup,overload_speedup,delta_speedup,comparison,bounded_extra_ddr_bytes,overload_extra_ddr_bytes,bounded_spill_bytes,overload_spill_bytes,bounded_task_count,overload_task_count,plan_bytes_equal,selected,bounded_solver_wall_seconds,overload_solver_wall_seconds,bounded_attempt_id,overload_attempt_id,delta_common94_mean,delta_full100_known_contribution
001,ok,233110,47502,47502,4.9073723211654245,4.9073723211654245,0.0,tie,4608,4608,0,0,5,5,True,heavy-suffix-fallback,0.0745613329927437,0.27707162499427795,nikolastarx-20260924T1459Z-bounded400-P1-001-k5-r0,nikolastarx-s59ee-p1-overload-001-k5-r0,0.0,0.0
002,ok,261945,55067,55067,4.756841665607351,4.756841665607351,0.0,tie,76800,76800,0,0,6,6,True,heavy-suffix-fallback,0.07456829099101014,0.2798329579818528,nikolastarx-20260924T1459Z-bounded400-P1-002-k5-r0,nikolastarx-s59ee-p1-overload-002-k5-r0,0.0,0.0
003,ok,602212,539607,165184,1.1160196216876357,3.6457041844246416,2.529684562737006,win,393216,4026936,0,0,5,72,False,overload-list,0.34068070800276473,0.5639181669976097,nikolastarx-20260924T1459Z-bounded400-P1-003-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-003-k5-r0,0.02691153790145751,0.02529684562737006
004,ok,392357,88341,88341,4.441391879195391,4.441391879195391,0.0,tie,442368,442368,0,0,5,5,True,heavy-suffix-fallback,0.04077233400312252,0.2795308329805266,nikolastarx-20260924T1459Z-bounded400-P1-004-k5-r0,nikolastarx-s59ee-p1-overload-004-k5-r0,0.0,0.0
005,ok,95618,95618,42487,1.0,2.2505236895991714,1.2505236895991716,win,0,1344286,0,0,1,39,False,heavy-suffix-fallback,0.12899166697752662,0.2772180840256624,nikolastarx-20260924T1459Z-bounded400-P1-005-k5-r0,nikolastarx-s59ee-p1-overload-005-k5-r0,0.013303443506374166,0.012505236895991716
006,ok,82837,31733,31733,2.6104370844231557,2.6104370844231557,0.0,tie,63616,63616,0,0,5,5,True,heavy-suffix-fallback,0.037623583019012585,0.2934546250035055,nikolastarx-20260924T1459Z-bounded400-P1-006-k5-r0,nikolastarx-s59ee-p1-overload-006-k5-r0,0.0,0.0
007,ok,1012562,203834,203834,4.967581463347626,4.967581463347626,0.0,tie,110592,110592,0,0,5,5,True,heavy-suffix-fallback,0.13047637499403208,0.3091378750104923,nikolastarx-20260924T1459Z-bounded400-P1-007-k5-r0,nikolastarx-s59ee-p1-overload-007-k5-r0,0.0,0.0
008,ok,487605,100603,100603,4.846823653370178,4.846823653370178,0.0,tie,0,0,0,0,5,5,True,heavy-suffix-fallback,0.0733068749832455,0.3095797920250334,nikolastarx-20260924T1459Z-bounded400-P1-008-k5-r0,nikolastarx-s59ee-p1-overload-008-k5-r0,0.0,0.0
009,ok,153261,92225,50248,1.6618162103551097,3.0500915459321765,1.3882753355770667,win,49152,545012,0,0,5,94,False,overload-list,0.12607395800296217,0.23569516601855867,nikolastarx-20260924T1459Z-bounded400-P1-009-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-009-k5-r0,0.0147688865486922,0.013882753355770668
010,ok,86969,31015,31015,2.8040947928421733,2.8040947928421733,0.0,tie,145152,145152,0,0,5,5,True,heavy-suffix-fallback,0.04095045800204389,0.3015471659891773,nikolastarx-20260924T1459Z-bounded400-P1-010-k5-r0,nikolastarx-s59ee-p1-overload-010-k5-r0,0.0,0.0
011,ok,184697,47287,47287,3.905872649988369,3.905872649988369,0.0,tie,1622016,1622016,0,0,5,5,True,heavy-suffix-fallback,0.04025316602201201,0.29787129201577045,nikolastarx-20260924T1459Z-bounded400-P1-011-k5-r0,nikolastarx-s59ee-p1-overload-011-k5-r0,0.0,0.0
012,ok,59088,14300,14300,4.132027972027972,4.132027972027972,0.0,tie,49536,49536,0,0,5,5,True,heavy-suffix-fallback,0.04114583399496041,0.3078915839723777,nikolastarx-20260924T1459Z-bounded400-P1-012-k5-r0,nikolastarx-s59ee-p1-overload-012-k5-r0,0.0,0.0
013,ok,263949,54363,54363,4.855305998565201,4.855305998565201,0.0,tie,32768,32768,0,0,5,5,True,heavy-suffix-fallback,0.07109933299943805,0.30901104101212695,nikolastarx-20260924T1459Z-bounded400-P1-013-k5-r0,nikolastarx-s59ee-p1-overload-013-k5-r0,0.0,0.0
014,timeout,17698626,3701658,,4.781269906620222,,,unavailable,103373832,,14710104,,38,38,True,heavy-suffix-fallback,1.0306543330079876,1.4343250840029214,nikolastarx-20260924T1459Z-bounded400-P1-014-k5-r0,nikolastarx-s59ee-p1-overload-014-k5-r0,,
015,ok,177362,43411,43411,4.085646495127963,4.085646495127963,0.0,tie,321536,321536,8192,8192,5,5,True,heavy-suffix-fallback,0.04135600000154227,0.2841267910262104,nikolastarx-20260924T1459Z-bounded400-P1-015-k5-r0,nikolastarx-s59ee-p1-overload-015-k5-r0,0.0,0.0
016,ok,7715523,7715523,7715523,1.0,1.0,0.0,tie,0,0,0,0,1,1,True,heavy-suffix-fallback,0.4005312499939464,0.8603359170083422,nikolastarx-20260924T1459Z-bounded400-P1-016-k5-r0,nikolastarx-s59ee-p1-overload-016-k5-r0,0.0,0.0
017,ok,162810,35496,35496,4.586713995943205,4.586713995943205,0.0,tie,340992,340992,0,0,5,5,True,heavy-suffix-fallback,0.07364424999104813,0.28747537499293685,nikolastarx-20260924T1459Z-bounded400-P1-017-k5-r0,nikolastarx-s59ee-p1-overload-017-k5-r0,0.0,0.0
018,ok,1004367,205917,205917,4.8775331808447095,4.8775331808447095,0.0,tie,5320704,5320704,638976,638976,5,5,True,heavy-suffix-fallback,0.07770666701253504,0.2886707080178894,nikolastarx-20260924T1459Z-bounded400-P1-018-k5-r0,nikolastarx-s59ee-p1-overload-018-k5-r0,0.0,0.0
019,ok,81144,24169,24169,3.357358599859324,3.357358599859324,0.0,tie,81504,81504,0,0,5,5,True,heavy-suffix-fallback,0.041181790991686285,0.28986083299969323,nikolastarx-20260924T1459Z-bounded400-P1-019-k5-r0,nikolastarx-s59ee-p1-overload-019-k5-r0,0.0,0.0
020,ok,532746,107650,107650,4.948871342313051,4.948871342313051,0.0,tie,0,0,0,0,5,5,True,heavy-suffix-fallback,0.1260703750012908,0.28749558300478384,nikolastarx-20260924T1459Z-bounded400-P1-020-k5-r0,nikolastarx-s59ee-p1-overload-020-k5-r0,0.0,0.0
021,ok,6567937,1250168,1250168,5.253643510312214,5.253643510312214,0.0,tie,11431936,11431936,2011136,2011136,5,5,True,heavy-suffix-fallback,0.0739577499916777,0.2915429169952404,nikolastarx-20260924T1459Z-bounded400-P1-021-k5-r0,nikolastarx-s59ee-p1-overload-021-k5-r0,0.0,0.0
022,ok,56780,11828,11828,4.800473452823808,4.800473452823808,0.0,tie,20736,20736,0,0,5,5,True,heavy-suffix-fallback,0.0745345419854857,0.28597875000559725,nikolastarx-20260924T1459Z-bounded400-P1-022-k5-r0,nikolastarx-s59ee-p1-overload-022-k5-r0,0.0,0.0
023,ok,122614,24940,24940,4.91635926222935,4.91635926222935,0.0,tie,280992,280992,0,0,5,5,True,heavy-suffix-fallback,0.04115524998633191,0.28491491702152416,nikolastarx-20260924T1459Z-bounded400-P1-023-k5-r0,nikolastarx-s59ee-p1-overload-023-k5-r0,0.0,0.0
024,ok,2555343,2555343,2555343,1.0,1.0,0.0,tie,0,0,0,0,1,1,True,heavy-suffix-fallback,0.12739291597972624,0.28470229101367295,nikolastarx-20260924T1459Z-bounded400-P1-024-k5-r0,nikolastarx-s59ee-p1-overload-024-k5-r0,0.0,0.0
025,ok,4863026,975282,975282,4.986276789687495,4.986276789687495,0.0,tie,110592,110592,0,0,5,5,True,heavy-suffix-fallback,0.34511866699904203,0.5564138339832425,nikolastarx-20260924T1459Z-bounded400-P1-025-k5-r0,nikolastarx-s59ee-p1-overload-025-k5-r0,0.0,0.0
026,ok,99203,44114,44114,2.2487872330779344,2.2487872330779344,0.0,tie,211680,211680,0,0,5,5,True,heavy-suffix-fallback,0.04006570900673978,0.28251499999896623,nikolastarx-20260924T1459Z-bounded400-P1-026-k5-r0,nikolastarx-s59ee-p1-overload-026-k5-r0,0.0,0.0
027,ok,2363952,558753,558753,4.230763861670542,4.230763861670542,0.0,tie,5529600,5529600,0,0,5,5,True,heavy-suffix-fallback,0.06795037499978207,0.27759000001242384,nikolastarx-20260924T1459Z-bounded400-P1-027-k5-r0,nikolastarx-s59ee-p1-overload-027-k5-r0,0.0,0.0
028,ok,43836040,11491035,11491035,3.814803453300769,3.814803453300769,0.0,tie,277818912,277818912,269224992,269224992,5,5,True,heavy-suffix-fallback,0.2930959170043934,0.5634122499905061,nikolastarx-20260924T1459Z-bounded400-P1-028-k5-r0,nikolastarx-s59ee-p1-overload-028-k5-r0,0.0,0.0
029,ok,37555,9383,9383,4.002451241607162,4.002451241607162,0.0,tie,0,0,0,0,5,5,True,heavy-suffix-fallback,0.07670362500357442,0.2822484579810407,nikolastarx-20260924T1459Z-bounded400-P1-029-k5-r0,nikolastarx-s59ee-p1-overload-029-k5-r0,0.0,0.0
030,ok,2808034,561102,561102,5.004498290863337,5.004498290863337,0.0,tie,11479040,11479040,4015104,4015104,5,5,True,heavy-suffix-fallback,0.17960833298275247,0.2831327919848263,nikolastarx-20260924T1459Z-bounded400-P1-030-k5-r0,nikolastarx-s59ee-p1-overload-030-k5-r0,0.0,0.0
031,ok,1414369,306213,325259,4.618905794332703,4.348439243802631,-0.2704665505300719,loss,8059392,8548106,1810944,1482240,5,40,False,overload-list,0.12569866600097157,0.1869799999985844,nikolastarx-20260924T1459Z-bounded400-P1-031-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-031-k5-r0,-0.0028773037290433182,-0.002704665505300719
032,ok,41443,10415,10939,3.9791646663466156,3.788554712496572,-0.19060995385004356,loss,12360,84104,0,0,5,13,False,overload-list,0.03713283297838643,0.07538720898446627,nikolastarx-20260924T1459Z-bounded400-P1-032-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-032-k5-r0,-0.002027765466489825,-0.0019060995385004357
033,ok,1774196,373638,373638,4.748435651620017,4.748435651620017,0.0,tie,7816320,7816320,1307136,1307136,5,5,True,heavy-suffix-fallback,0.07527174998540431,0.28825308301020414,nikolastarx-20260924T1459Z-bounded400-P1-033-k5-r0,nikolastarx-s59ee-p1-overload-033-k5-r0,0.0,0.0
034,ok,842996,178384,178384,4.725737734325948,4.725737734325948,0.0,tie,3512320,3512320,49152,49152,5,5,True,heavy-suffix-fallback,0.13024662499083206,0.28111479099607095,nikolastarx-20260924T1459Z-bounded400-P1-034-k5-r0,nikolastarx-s59ee-p1-overload-034-k5-r0,0.0,0.0
035,ok,169571,95460,55444,1.7763565891472868,3.0584193059663805,1.2820627168190937,win,0,529378,0,0,5,83,False,overload-list,0.07440533299813978,0.12990070797968656,nikolastarx-20260924T1459Z-bounded400-P1-035-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-035-k5-r0,0.01363896507254355,0.012820627168190936
036,ok,931510,187182,187182,4.976493466252097,4.976493466252097,0.0,tie,4608,4608,0,0,5,5,True,heavy-suffix-fallback,0.13117379197501577,0.28263129098922946,nikolastarx-20260924T1459Z-bounded400-P1-036-k5-r0,nikolastarx-s59ee-p1-overload-036-k5-r0,0.0,0.0
037,ok,210001,43800,43800,4.794543378995434,4.794543378995434,0.0,tie,1925120,1925120,0,0,5,5,True,heavy-suffix-fallback,0.040999207994900644,0.281774208007846,nikolastarx-20260924T1459Z-bounded400-P1-037-k5-r0,nikolastarx-s59ee-p1-overload-037-k5-r0,0.0,0.0
038,ok,1364555,283932,283932,4.805921840440669,4.805921840440669,0.0,tie,9667584,9667584,1108992,1108992,5,5,True,heavy-suffix-fallback,0.12852612498681992,0.2833359169890173,nikolastarx-20260924T1459Z-bounded400-P1-038-k5-r0,nikolastarx-s59ee-p1-overload-038-k5-r0,0.0,0.0
039,ok,1435262,431161,431161,3.3288307615948565,3.3288307615948565,0.0,tie,20480000,20480000,3670016,3670016,5,5,True,heavy-suffix-fallback,0.12798016602755524,0.28732945799129084,nikolastarx-20260924T1459Z-bounded400-P1-039-k5-r0,nikolastarx-s59ee-p1-overload-039-k5-r0,0.0,0.0
040,ok,253454,110337,94410,2.2970898248094476,2.6846096811778413,0.3875198563683939,win,66048,968026,0,0,5,62,False,overload-list,0.07790662499610335,0.1329314169997815,nikolastarx-20260924T1459Z-bounded400-P1-040-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-040-k5-r0,0.004122551663493552,0.003875198563683939
041,timeout,6003957,1196379,,5.018440644645217,,,unavailable,40630272,,22609920,,5,5,True,heavy-suffix-fallback,0.25131658400641754,0.5694177499972284,nikolastarx-20260924T1524Z-timeout4-P1-041-k5-r0,nikolastarx-s59ee-p1-overload-041-k5-r0,,
042,ok,1686740,370832,370832,4.5485287138111055,4.5485287138111055,0.0,tie,9815040,9815040,2528256,2528256,5,5,True,heavy-suffix-fallback,0.13022162500419654,0.28385520799201913,nikolastarx-20260924T1459Z-bounded400-P1-042-k5-r0,nikolastarx-s59ee-p1-overload-042-k5-r0,0.0,0.0
043,ok,677656,269612,178035,2.5134489562779105,3.8063077484764234,1.2928587921985126,win,1062920,4260434,49160,49160,5,93,False,overload-list,0.24116450001019984,0.3459906670032069,nikolastarx-20260924T1459Z-bounded400-P1-043-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-043-k5-r0,0.01375381693828205,0.012928587921985125
044,ok,154407,132892,132892,1.161898383649881,1.161898383649881,0.0,tie,6196032,6196032,2474432,2474432,5,5,True,heavy-suffix-fallback,0.06947745900833979,0.28521783399628475,nikolastarx-20260924T1459Z-bounded400-P1-044-k5-r0,nikolastarx-s59ee-p1-overload-044-k5-r0,0.0,0.0
045,ok,125614,26164,26164,4.801024308209754,4.801024308209754,0.0,tie,0,0,0,0,5,5,True,heavy-suffix-fallback,0.07363945900578983,0.28038549999473616,nikolastarx-20260924T1459Z-bounded400-P1-045-k5-r0,nikolastarx-s59ee-p1-overload-045-k5-r0,0.0,0.0
046,ok,276455,131039,131039,2.10971542823129,2.10971542823129,0.0,tie,5013664,5013664,1292064,1292064,5,5,True,heavy-suffix-fallback,0.07622449999325909,0.2868877910077572,nikolastarx-20260924T1459Z-bounded400-P1-046-k5-r0,nikolastarx-s59ee-p1-overload-046-k5-r0,0.0,0.0
047,ok,326508,326508,126217,1.0,2.5868781542898343,1.5868781542898343,win,0,1989168,0,0,1,107,False,heavy-suffix-fallback,0.34507579100318253,0.8504559579887427,nikolastarx-20260924T1459Z-bounded400-P1-047-k5-r0,nikolastarx-s59ee-p1-overload-047-k5-r0,0.016881682492445045,0.015868781542898343
