case_id,status,singlecore_cycles,bounded_cycles,overload_cycles,bounded_speedup,overload_speedup,delta_speedup,comparison,bounded_extra_ddr_bytes,overload_extra_ddr_bytes,bounded_spill_bytes,overload_spill_bytes,bounded_task_count,overload_task_count,plan_bytes_equal,selected,bounded_solver_wall_seconds,overload_solver_wall_seconds,bounded_attempt_id,overload_attempt_id,delta_common94_mean,delta_full100_known_contribution
085,ok,3187899,3187899,783703,1.0,4.06773867140996,3.0677386714099604,win,0,8128530,0,0,1,97,False,heavy-suffix-fallback,0.5539235830074176,1.1319123749854043,nikolastarx-20260924T1459Z-bounded400-P1-085-k5-r0,nikolastarx-s59ee-p1-overload-085-k5-r0,0.032635517780957024,0.030677386714099603
075,ok,1441809,1441809,378832,1.0,3.805932444988808,2.805932444988808,win,0,5454896,0,0,1,107,False,heavy-suffix-fallback,0.1856148749939166,0.5669003749790136,nikolastarx-20260924T1459Z-bounded400-P1-075-k5-r0,nikolastarx-s59ee-p1-overload-075-k5-r0,0.029850345159455404,0.028059324449888078
056,ok,277285,265764,77253,1.0433504914134344,3.5893104474907123,2.5459599560772777,win,0,1064220,0,0,5,74,False,overload-list,0.18685408399323933,0.38984820898622274,nikolastarx-20260924T1459Z-bounded400-P1-056-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-056-k5-r0,0.027084680383800828,0.025459599560772775
003,ok,602212,539607,165184,1.1160196216876357,3.6457041844246416,2.529684562737006,win,393216,4026936,0,0,5,72,False,overload-list,0.34068070800276473,0.5639181669976097,nikolastarx-20260924T1459Z-bounded400-P1-003-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-003-k5-r0,0.02691153790145751,0.02529684562737006
054,ok,815051,518133,211904,1.5730536368075378,3.8463219193597102,2.273268282552172,win,196608,2515734,0,0,5,84,False,overload-list,0.3947292920202017,0.6072827920143027,nikolastarx-20260924T1459Z-bounded400-P1-054-k5-r0,nikolastarx-20260924T1629Z-overload2-P1-054-k5-r0,0.024183705133533746,0.02273268282552172
049,ok,196276,160260,57111,1.224734805940347,3.436745985887132,2.212011179946785,win,0,611708,0,0,5,52,False,overload-list,0.12735795800108463,0.1752207499812357,nikolastarx-20260924T1459Z-bounded400-P1-049-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-049-k5-r0,0.023532033829221116,0.02212011179946785
066,ok,359070,250449,99777,1.4337050657019992,3.5987251571003336,2.1650200913983344,win,29280,2410142,0,0,5,73,False,overload-list,0.12545683400821872,0.17960000000311993,nikolastarx-20260924T1459Z-bounded400-P1-066-k5-r0,nikolastarx-20260924T1636Z-overload16-P1-066-k5-r0,0.023032128631897176,0.021650200913983345
082,ok,721041,721041,228535,1.0,3.1550572122432015,2.1550572122432015,win,0,2296158,0,0,1,37,False,heavy-suffix-fallback,0.13036012501106597,0.287882125005126,nikolastarx-20260924T1459Z-bounded400-P1-082-k5-r0,nikolastarx-s59ee-p1-overload-082-k5-r0,0.02292614055577874,0.021550572122432013
050,ok,149690,108160,42597,1.3839681952662721,3.514097236894617,2.130129041628345,win,13824,521036,0,0,5,54,False,overload-list,0.12895000001299195,0.18031683302251622,nikolastarx-20260924T1459Z-bounded400-P1-050-k5-r0,nikolastarx-20260924T1629Z-overload2-P1-050-k5-r0,0.02266094725136537,0.02130129041628345
047,ok,326508,326508,126217,1.0,2.5868781542898343,1.5868781542898343,win,0,1989168,0,0,1,107,False,heavy-suffix-fallback,0.34507579100318253,0.8504559579887427,nikolastarx-20260924T1459Z-bounded400-P1-047-k5-r0,nikolastarx-s59ee-p1-overload-047-k5-r0,0.016881682492445045,0.015868781542898343
