case_id,variant,status,makespan_cycles,singlecore_cycles,singlecore_speedup,cycles_change_vs_fixed64_percent,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,scheduled_copy_bytes,spill_bytes,task_count
001,fixed64-propose,ok,250003,233110,0.9324288108542698,0.0,1.4835131999998339,1.902345499999683,3356800,4996352,0,10
002,fixed64-propose,ok,255464,261945,1.0253695236902265,0.0,2.359059800000068,3.3633644999999888,7033344,8257536,0,29
008,fixed64-propose,ok,436414,487605,1.1172991700541228,0.0,1.4934206999996604,2.4198312999997142,16864896,19519320,0,14
010,fixed64-propose,ok,81965,86969,1.0610504483621057,0.0,2.1062873000000764,1.4179360999996788,2714944,3099094,0,11
026,fixed64-propose,ok,106263,99203,0.9335610701749433,0.0,1.0943709000002855,1.38128289999986,3242528,3771382,0,10
044,fixed64-propose,ok,131407,154407,1.1750287275411508,0.0,1.6834561000005124,2.373238400000446,3898816,4874272,0,22
051,fixed64-propose,ok,634666,607628,0.9573980644937652,0.0,1.4727484000004551,2.469172499999331,15991116,16384334,0,23
094,fixed64-propose,ok,100704,94892,0.942286304416905,0.0,1.82854049999969,1.9337783999999374,2644500,3171192,0,11
001,component-pack,ok,58984,233110,3.952088702020887,-76.40668311980257,0.7026703999999881,1.378219000000172,3456,1643008,0,4
002,component-pack,ok,261945,261945,1.0,2.536952369022649,0.9174110000003566,4.530304800000522,0,1224192,0,1
008,component-pack,ok,123060,487605,3.962335446123842,-71.80200451864513,1.552346800000123,2.8122884999993403,0,2654424,0,4
010,component-pack,ok,29919,86969,2.9068150673485076,-63.49783444152992,1.4351509999996779,1.723803500000031,96768,480918,0,4
026,component-pack,ok,42866,99203,2.3142583866001027,-59.66046507250877,0.5008539999998902,1.3509980999997424,98400,627254,0,4
044,component-pack,ok,124268,154407,1.2425322689670713,-5.432739503983807,0.6717796999992061,3.0417428000000655,5678624,6654080,2887424,4
051,component-pack,ok,607628,607628,1.0,-4.260193550623481,1.1656084999995073,1.9303750999997646,0,393218,0,1
094,component-pack,ok,27634,94892,3.4338857928638635,-72.55918334922148,0.5719700999998167,1.3989983999999822,318816,845508,0,4
001,chain-wave,ok,58984,233110,3.952088702020887,-76.40668311980257,0.5867524000004778,0.990256699999918,3456,1643008,0,4
002,chain-wave,ok,88110,261945,2.9729315628192032,-65.50981743024458,0.9082598000004509,2.270154900000307,1216512,2440704,0,30
008,chain-wave,ok,248154,487605,1.9649290360018377,-43.13793782967549,1.073383400000239,1.5556833999999071,12026880,14681304,0,20
010,chain-wave,ok,46290,86969,1.8787859148844244,-43.524675166229486,0.5127461000001858,1.7769629000003988,1514794,1898944,0,36
026,chain-wave,ok,75692,99203,1.3106140675368598,-28.769185887844305,0.549216699999306,1.6917047999995702,2772272,3301126,0,61
044,chain-wave,ok,135220,154407,1.1418946901345954,2.901671904845249,0.5272133999997095,1.74196049999955,3864608,4840064,0,143
051,chain-wave,ok,324823,607628,1.8706433965575098,-48.8198517015249,0.7529772000007142,2.3888118000004397,9046310,9439528,0,306
094,chain-wave,ok,70331,94892,1.349220116307176,-30.160668891007315,0.6889275000003181,2.053162400000474,2853232,3379924,0,44
