case_id,cores,variant,status,makespan_cycles,singlecore_cycles,singlecore_speedup,solver_wall_seconds,evaluation_wall_seconds,extra_ddr_bytes,scheduled_copy_bytes,spill_bytes,task_count
051,2,frontier-then-independent-chunks,ok,607628,607628,1.0,0.42125529999975697,1.3172819999999774,0,393218,0,1
051,3,frontier-then-independent-chunks,ok,607628,607628,1.0,0.7127912000014476,1.2125995999995212,0,393218,0,1
051,4,frontier-then-independent-chunks,ok,607628,607628,1.0,0.598893100001078,1.5378388000008272,0,393218,0,1
051,5,frontier-then-independent-chunks,ok,607628,607628,1.0,0.4418861000012839,1.2367016000007425,0,393218,0,1
002,4,frontier-then-independent-chunks,ok,73544,261945,3.561745349722615,1.2666606000002503,1.5434833999988768,76800,1300992,0,5
008,4,frontier-then-independent-chunks,ok,123060,487605,3.962335446123842,0.4722677999998268,1.7812143999999535,0,2654424,0,4
016,4,frontier-then-independent-chunks,timeout,,7715523,,2.256294100001469,90.17658540000048,,,,
024,4,frontier-then-independent-chunks,ok,2555343,2555343,1.0,1.029274999998961,13.023796200001016,0,393218,0,1
044,4,frontier-then-independent-chunks,ok,124268,154407,1.2425322689670713,0.558777000000191,1.111785699999018,5678624,6654080,2887424,4
048,4,frontier-then-independent-chunks,ok,222220,222220,1.0,0.624121799999557,2.0947845999999117,0,414790,0,1
071,4,frontier-then-independent-chunks,ok,18919,18919,1.0,0.48128510000060487,1.0759414999993169,0,121446,0,1
080,4,frontier-then-independent-chunks,ok,111314,292138,2.6244497547478303,0.7845244999989518,1.943792800000665,4190208,6168576,0,4
051,2,chain-atomic-grain4,ok,357955,607628,1.6974982888910617,0.7424785000002885,2.4303794000006747,9045258,9438476,0,72
051,3,chain-atomic-grain4,ok,291222,607628,2.086476983194951,0.8165451000004396,2.1438225000001694,9045304,9438522,0,96
051,4,chain-atomic-grain4,ok,254308,607628,2.389338911870645,0.5841055999990203,2.0750742999989598,9045350,9438568,0,120
051,5,chain-atomic-grain4,ok,253856,607628,2.3935932182024455,1.0622996000001876,2.5063632000001235,9045396,9438614,0,144
002,4,chain-atomic-grain4,ok,73544,261945,3.561745349722615,1.6475140000002284,1.763895499998398,76800,1300992,0,5
008,4,chain-atomic-grain4,ok,179018,487605,2.723776380028824,0.5987583999994968,1.0442695999990974,7962624,10617048,0,12
016,4,chain-atomic-grain4,ok,3241338,7715523,2.380351262349067,1.5323451999993267,23.061675500001,119555344,119948562,0,1525
024,4,chain-atomic-grain4,ok,1072818,2555343,2.3818979547323034,0.9196454000011727,4.525120799999058,39327448,39720666,0,505
044,4,chain-atomic-grain4,ok,81301,154407,1.8992017318360168,0.4156574999997247,1.2298859000002267,3267104,4242560,0,100
048,4,chain-atomic-grain4,ok,161592,222220,1.3751918411802564,0.5399811999996018,1.4786940000012692,2022490,2437280,0,327
071,4,chain-atomic-grain4,ok,20194,18919,0.9368624343864514,0.5464701000000787,0.6216236999989633,603796,725242,0,45
080,4,chain-atomic-grain4,ok,91774,292138,3.1832327238651468,0.4711595999997371,0.9991759000004095,2666496,4644864,0,4
