case_variant,task,core,stage,phase,start,end,duration,previous_core_task,previous_core_end,pred_tasks,remote_release_constraints,release,start_minus_release,idle_since_previous_core_task,gate_increment_over_all_ready,binding_remote_tasks,core_gate_binding,compute_work_by_pipe,pure_v_cycles,compute_max_pipe_cycles,local_makespan,duration_minus_local,local_minus_compute_max_pipe,estimated_finish
051-k4-chain-atomic-grain4,0,0,0,0,0,8672,8672,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,1788,596,6288
051-k4-chain-atomic-grain4,1,1,0,0,0,8672,8672,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,1788,596,6288
051-k4-chain-atomic-grain4,2,2,0,0,0,8672,8672,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,1788,596,6288
051-k4-chain-atomic-grain4,3,3,0,0,0,8672,8672,,0,[],{},0,0,0,0,[],False,{'PIPE_V': 6288},6288,6288,6884,1788,596,6288
051-k4-chain-atomic-grain4,4,0,0,1,9672,9818,146,0,8672,"[0, 1, 2, 3]","{1: 9672, 2: 9672, 3: 9672}",9672,0,1000,1000,"[1, 2, 3]",False,{'PIPE_V': 143},143,143,146,0,3,7431
051-k4-chain-atomic-grain4,5,0,1,0,9918,16755,6837,4,9818,[4],{},9918,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,13819
051-k4-chain-atomic-grain4,6,1,1,0,10818,19302,8484,1,8672,[4],{4: 10818},10818,0,2146,1000,[4],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,14719
051-k4-chain-atomic-grain4,7,2,1,0,10818,19302,8484,2,8672,[4],{4: 10818},10818,0,2146,1000,[4],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,14719
051-k4-chain-atomic-grain4,8,3,1,0,10818,19302,8484,3,8672,[4],{4: 10818},10818,0,2146,1000,[4],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,14719
051-k4-chain-atomic-grain4,9,0,1,1,20302,20448,146,5,16755,"[5, 6, 7, 8]","{8: 20302, 6: 20302, 7: 20302}",20302,0,3547,1000,"[8, 6, 7]",False,{'PIPE_V': 143},143,143,146,0,3,15862
051-k4-chain-atomic-grain4,10,0,2,0,20548,27385,6837,9,20448,[9],{},20548,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,22250
051-k4-chain-atomic-grain4,11,1,2,0,21448,29932,8484,6,19302,[9],{9: 21448},21448,0,2146,1000,[9],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,23150
051-k4-chain-atomic-grain4,12,2,2,0,21448,29932,8484,7,19302,[9],{9: 21448},21448,0,2146,1000,[9],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,23150
051-k4-chain-atomic-grain4,13,3,2,0,21448,29932,8484,8,19302,[9],{9: 21448},21448,0,2146,1000,[9],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,23150
051-k4-chain-atomic-grain4,14,0,2,1,30932,31078,146,10,27385,"[10, 11, 12, 13]","{11: 30932, 12: 30932, 13: 30932}",30932,0,3547,1000,"[11, 12, 13]",False,{'PIPE_V': 143},143,143,146,0,3,24293
051-k4-chain-atomic-grain4,15,0,3,0,31178,38015,6837,14,31078,[14],{},31178,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,30681
051-k4-chain-atomic-grain4,16,1,3,0,32078,40562,8484,11,29932,[14],{14: 32078},32078,0,2146,1000,[14],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,31581
051-k4-chain-atomic-grain4,17,2,3,0,32078,40562,8484,12,29932,[14],{14: 32078},32078,0,2146,1000,[14],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,31581
051-k4-chain-atomic-grain4,18,3,3,0,32078,40562,8484,13,29932,[14],{14: 32078},32078,0,2146,1000,[14],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,31581
051-k4-chain-atomic-grain4,19,0,3,1,41562,41708,146,15,38015,"[15, 16, 17, 18]","{16: 41562, 17: 41562, 18: 41562}",41562,0,3547,1000,"[16, 17, 18]",False,{'PIPE_V': 143},143,143,146,0,3,32724
051-k4-chain-atomic-grain4,20,0,4,0,41808,48645,6837,19,41708,[19],{},41808,0,100,100,[],True,{'PIPE_V': 6288},6288,6288,6885,-48,597,39112
051-k4-chain-atomic-grain4,21,1,4,0,42708,51192,8484,16,40562,[19],{19: 42708},42708,0,2146,1000,[19],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,40012
051-k4-chain-atomic-grain4,22,2,4,0,42708,51192,8484,17,40562,[19],{19: 42708},42708,0,2146,1000,[19],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,40012
051-k4-chain-atomic-grain4,23,3,4,0,42708,51192,8484,18,40562,[19],{19: 42708},42708,0,2146,1000,[19],False,{'PIPE_V': 6288},6288,6288,6885,1599,597,40012
