case_id,cores,status,selected,quality_source,makespan_cycles,singlecore_cycles,singlecore_speedup,bounded_cycles,bounded_speedup,makespan_delta_vs_bounded,quality_comparison,extra_ddr_bytes,bounded_extra_ddr_bytes,solver_wall_seconds,new_E0_wall_seconds,new_E0_calls,historical_E0_wall_seconds,historical_E0_attempt_id,bounded_source_commit,bounded_attempt_id,plan_sha256
001,4,ok,bounded,historical_exact_plan_bytes,58984,233110,3.952088702020887,58984,3.952088702020887,0,tie,3456,3456,0.7525210999992851,,0,0.1290995839808602,nikolastarx-20260924T1439Z-boundedfull4-99-P1-001-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-001-k4-r0,c7fefec4276184778810b425902265de42a6e4009699d5f4ec7ea85486d86b84
002,4,ok,bounded,historical_exact_plan_bytes,73544,261945,3.561745349722615,73544,3.561745349722615,0,tie,76800,76800,0.6450082000010298,,0,0.2390051249822136,nikolastarx-20260924T1439Z-boundedfull4-99-P1-002-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-002-k4-r0,63e72d7032a50ee7fe16284968281b89098cee0431e627607e10d400e2bb8f06
003,4,ok,fork,new_external_E0,273956,602212,2.1982070113448877,539155,1.1169552355074144,-265199,win,8231106,294912,3.1242171000012604,9.17550669999764,1,,,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-003-k4-r0,ab94c90bae3313a59e770c715058b3adae73e7215914ff3efcab96c322650a10
004,4,ok,bounded,historical_exact_plan_bytes,104188,392357,3.765855952700887,104188,3.765855952700887,0,tie,331776,331776,0.4989753000008932,,0,0.12542087500332855,nikolastarx-20260924T1439Z-boundedfull4-99-P1-004-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-004-k4-r0,982188c6b262203e74278e93239c38da156421a9575b8a237030e3f9914e5d26
005,4,ok,bounded,historical_exact_plan_bytes,95618,95618,1.0,95618,1.0,0,tie,0,0,1.0520334000029834,,0,1.5320957919757348,nikolastarx-20260924T1439Z-boundedfull4-99-P1-005-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-005-k4-r0,4b4409bffb4656e1746e93fa1d7f14f2cb328595a9e7d4a3d0c57a8c3f59af7c
006,4,ok,bounded,historical_exact_plan_bytes,31428,82837,2.6357706503754614,31428,2.6357706503754614,0,tie,33536,33536,0.6316746000011335,,0,0.13280658298754133,nikolastarx-20260924T1439Z-boundedfull4-99-P1-006-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-006-k4-r0,dcf2aa5920d42acbb3b8d36a0647b6d7be215d76c4a72c90e71cd0ba708524a9
007,4,ok,bounded,historical_exact_plan_bytes,254398,1012562,3.980227831979811,254398,3.980227831979811,0,tie,82944,82944,1.4190015999993193,,0,0.6188837499939837,nikolastarx-20260924T1439Z-boundedfull4-99-P1-007-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-007-k4-r0,9abb721a78dbb96dfb09583c147d306b1b74e8974cdd166fdad6a7fe7ae5987e
008,4,ok,bounded,historical_exact_plan_bytes,123060,487605,3.962335446123842,123060,3.962335446123842,0,tie,0,0,0.8279529999999795,,0,0.12752787498175167,nikolastarx-20260924T1439Z-boundedfull4-99-P1-008-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-008-k4-r0,e0855525fe442beeb4eab84a35d564067fe8efde1aed6585eca12303409e44c3
009,4,ok,bounded,historical_exact_plan_bytes,92216,153261,1.6619783985425522,92216,1.6619783985425522,0,tie,49152,49152,1.7183237000026566,,0,2.236172415985493,nikolastarx-20260924T1439Z-boundedfull4-99-P1-009-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-009-k4-r0,062da18a51b851f912cd95081ad7212100de05caa0db32505609bf346d858908
010,4,ok,bounded,historical_exact_plan_bytes,29856,86969,2.9129488210075025,29856,2.9129488210075025,0,tie,96768,96768,0.6047272000032535,,0,0.12766929200734012,nikolastarx-20260924T1439Z-boundedfull4-99-P1-010-k4-r0,ad8903ba8c7bf0dcb96913f5ed23f9ab0bb8ddf9,nikolastarx-20260924T1439Z-boundedfull4-99-P1-010-k4-r0,001debfbf2a0ca1db3479ec31818e59427db6a55a3a1e5b1941cf618cec3c71d
