case_id,stage,status,started_at,finished_at,wall_seconds,overlap_P2_5C_seconds,overlap_P2_k1_r6a_seconds,overlap_P2_k2_r7a_seconds,overlap_any_confirmed_P2_seconds,overlap_both_P2_k1_k2_seconds
001,solver,ok,2026-09-24T16:56:00.341307Z,2026-09-24T16:56:01.096637Z,0.7525210999992851,0,0,0,0,0
002,solver,ok,2026-09-24T16:56:01.458222Z,2026-09-24T16:56:02.105122Z,0.6450082000010298,0,0,0,0,0
003,solver,ok,2026-09-24T16:56:02.494728Z,2026-09-24T16:56:05.623092Z,3.1242171000012604,0,0,0,0,0
003,evaluation,ok,2026-09-24T16:56:05.685498Z,2026-09-24T16:56:14.864042Z,9.17550669999764,0,0,0,0,0
004,solver,ok,2026-09-24T16:56:16.103382Z,2026-09-24T16:56:16.604593Z,0.4989753000008932,0,0,0,0,0
005,solver,ok,2026-09-24T16:56:16.988617Z,2026-09-24T16:56:18.042908Z,1.0520334000029834,0,0,0,0,0
006,solver,ok,2026-09-24T16:56:18.402994Z,2026-09-24T16:56:19.036246Z,0.6316746000011335,0,0,0,0,0
007,solver,ok,2026-09-24T16:56:19.925527Z,2026-09-24T16:56:21.348283Z,1.4190015999993193,0,0,0,0,0
008,solver,ok,2026-09-24T16:56:21.925795Z,2026-09-24T16:56:22.757377Z,0.8279529999999795,0,0,0,0,0
009,solver,ok,2026-09-24T16:56:23.110670Z,2026-09-24T16:56:24.831613Z,1.7183237000026566,0,0,0,0,0
010,solver,ok,2026-09-24T16:56:25.349346Z,2026-09-24T16:56:25.956895Z,0.6047272000032535,0,0,0,0,0
011,solver,ok,2026-09-24T16:56:26.342322Z,2026-09-24T16:56:27.380874Z,1.0356485000011162,0,0,0,0,0
012,solver,ok,2026-09-24T16:56:27.904508Z,2026-09-24T16:56:28.711333Z,0.8020361000017147,0,0,0,0,0
013,solver,ok,2026-09-24T16:56:29.407098Z,2026-09-24T16:56:30.836806Z,1.4162330999970436,0,0,0,0,0
014,solver,ok,2026-09-24T16:56:31.367356Z,2026-09-24T16:56:38.303029Z,6.932628900001873,0,0,0,0,0
014,evaluation,timeout,2026-09-24T16:56:38.332250Z,2026-09-24T16:58:08.438173Z,90.1038308999996,0,0,0,0,0
015,solver,ok,2026-09-24T16:58:08.446087Z,2026-09-24T16:58:09.343957Z,0.8956497999970452,0,0,0,0,0
016,solver,ok,2026-09-24T16:58:09.855561Z,2026-09-24T16:58:13.118619Z,3.2605088999989675,0,0,0,0,0
017,solver,ok,2026-09-24T16:58:14.834316Z,2026-09-24T16:58:15.780213Z,0.9424828000010166,0,0,0,0,0
018,solver,ok,2026-09-24T16:58:16.383230Z,2026-09-24T16:58:18.031639Z,1.644783899999311,0,0,0,0,0
019,solver,ok,2026-09-24T16:58:18.596689Z,2026-09-24T16:58:19.354207Z,0.7548413000004075,0,0,0,0,0
020,solver,ok,2026-09-24T16:58:19.815442Z,2026-09-24T16:58:22.383843Z,2.5669338000006974,0,0,0,0,0
021,solver,ok,2026-09-24T16:58:23.252364Z,2026-09-24T16:58:25.517629Z,2.261222099998122,0,0,0,0,0
022,solver,ok,2026-09-24T16:58:26.461060Z,2026-09-24T16:58:27.637664Z,1.173176299998886,0,0,0,0,0
023,solver,ok,2026-09-24T16:58:28.629994Z,2026-09-24T16:58:29.475706Z,0.8424226999995881,0,0,0,0,0
024,solver,ok,2026-09-24T16:58:29.947685Z,2026-09-24T16:58:31.949708Z,1.9983761000003142,0,0,0,0,0
025,solver,ok,2026-09-24T16:58:32.501079Z,2026-09-24T16:58:37.237017Z,4.733187700003327,0,0,0,0,0
026,solver,ok,2026-09-24T16:58:38.030191Z,2026-09-24T16:58:38.671752Z,0.6392641999991611,0,0,0,0,0
027,solver,ok,2026-09-24T16:58:39.127544Z,2026-09-24T16:58:40.309877Z,1.1794021999994584,0,0,0,0,0
028,solver,ok,2026-09-24T16:58:40.861150Z,2026-09-24T16:58:45.587719Z,4.722966400000587,0,0,0,0,0
029,solver,ok,2026-09-24T16:58:46.222595Z,2026-09-24T16:58:47.106056Z,0.8810689999991155,0,0,0,0,0
030,solver,ok,2026-09-24T16:58:48.098491Z,2026-09-24T16:58:51.235582Z,3.134276199998567,0,0,0,0,0
030,evaluation,ok,2026-09-24T16:58:51.261601Z,2026-09-24T16:59:47.132016Z,55.86796880000111,0,0,0,0,0
031,solver,ok,2026-09-24T16:59:47.506050Z,2026-09-24T16:59:48.512257Z,1.0045761999972456,0,0,0,0,0
032,solver,ok,2026-09-24T16:59:49.373930Z,2026-09-24T16:59:50.044923Z,0.6674812999990536,0,0,0,0,0
033,solver,ok,2026-09-24T16:59:50.350480Z,2026-09-24T16:59:51.045659Z,0.6936015999999654,0,0,0,0,0
034,solver,ok,2026-09-24T16:59:51.569275Z,2026-09-24T16:59:53.252563Z,1.6800173000010545,0,0,0,0,0
035,solver,ok,2026-09-24T16:59:53.890229Z,2026-09-24T16:59:55.150792Z,1.2582861999981105,0,0,0,0,0
036,solver,ok,2026-09-24T16:59:55.886433Z,2026-09-24T16:59:56.792600Z,0.9032865000008314,0,0,0,0,0
037,solver,ok,2026-09-24T16:59:57.220669Z,2026-09-24T16:59:57.948522Z,0.7254038999999466,0,0,0,0,0
038,solver,ok,2026-09-24T16:59:58.426170Z,2026-09-24T17:00:00.814195Z,2.383734499999264,0,0,0,0,0
039,solver,ok,2026-09-24T17:00:01.449392Z,2026-09-24T17:00:03.235900Z,1.7836199999983364,0,0,0,0,0
039,evaluation,ok,2026-09-24T17:00:03.287645Z,2026-09-24T17:00:18.310952Z,15.019626000001153,0,0,0,0,0
040,solver,ok,2026-09-24T17:00:18.786687Z,2026-09-24T17:00:20.607352Z,1.8171700999992026,0,0,0,0,0
041,solver,ok,2026-09-24T17:00:21.534336Z,2026-09-24T17:00:26.306102Z,4.769015699999727,0,0,0,0,0
041,evaluation,timeout,2026-09-24T17:00:26.367561Z,2026-09-24T17:01:56.667522Z,90.29721839999911,0,0,0,0,0
042,solver,ok,2026-09-24T17:01:56.685551Z,2026-09-24T17:01:58.470195Z,1.7823019999996177,0,0,0,0,0
043,solver,ok,2026-09-24T17:01:59.012961Z,2026-09-24T17:02:02.170069Z,3.1548462999999174,0,0,0,0,0
044,solver,ok,2026-09-24T17:02:02.810237Z,2026-09-24T17:02:03.515190Z,0.7023832000013499,0,0,0,0,0
045,solver,ok,2026-09-24T17:02:04.098932Z,2026-09-24T17:02:05.083479Z,0.9815639999978885,0,0,0,0,0
046,solver,ok,2026-09-24T17:02:05.523950Z,2026-09-24T17:02:06.008531Z,0.48270899999988615,0,0,0,0,0
047,solver,ok,2026-09-24T17:02:06.489674Z,2026-09-24T17:02:10.008023Z,3.515443899999809,0,0,0,0,0
047,evaluation,ok,2026-09-24T17:02:10.068980Z,2026-09-24T17:02:21.068156Z,10.997296599998663,0,0,0,0,0
048,solver,ok,2026-09-24T17:02:22.212902Z,2026-09-24T17:02:22.936054Z,0.7209855000000971,0,0,0,0,0
049,solver,ok,2026-09-24T17:02:23.426656Z,2026-09-24T17:02:24.461486Z,1.0306879000017943,0,0,0,0,0
050,solver,ok,2026-09-24T17:02:24.953745Z,2026-09-24T17:02:26.486525Z,1.530682100001286,0,0,0,0,0
051,solver,ok,2026-09-24T17:02:26.897416Z,2026-09-24T17:02:27.719408Z,0.8190576999986661,0,0,0,0,0
052,solver,ok,2026-09-24T17:02:28.227368Z,2026-09-24T17:02:29.298990Z,1.069244800000888,0,0,0,0,0
053,solver,ok,2026-09-24T17:02:29.830308Z,2026-09-24T17:02:32.174685Z,2.341079100002389,0,0,0,0,0
054,solver,ok,2026-09-24T17:02:32.920561Z,2026-09-24T17:02:36.967041Z,4.043229999999312,0,0,0,0,0
055,solver,ok,2026-09-24T17:02:37.505448Z,2026-09-24T17:02:38.123839Z,0.6147509000002174,0,0,0,0,0
056,solver,ok,2026-09-24T17:02:38.512514Z,2026-09-24T17:02:40.205455Z,1.68916999999783,0,0,0,0,0
057,solver,ok,2026-09-24T17:02:40.559212Z,2026-09-24T17:02:41.033265Z,0.4714535999992222,0,0,0,0,0
058,solver,ok,2026-09-24T17:02:41.523176Z,2026-09-24T17:02:44.703331Z,3.1766590000006545,0,0,0,0,0
058,evaluation,timeout,2026-09-24T17:02:44.726978Z,2026-09-24T17:04:14.819435Z,90.08972920000087,0,0,0,0,0
059,solver,ok,2026-09-24T17:04:14.826220Z,2026-09-24T17:04:15.642170Z,0.8122367000032682,0,0,0,0,0
060,solver,ok,2026-09-24T17:04:16.092832Z,2026-09-24T17:04:17.400873Z,1.3045571000002383,0,0,0,0,0
061,solver,ok,2026-09-24T17:04:17.869654Z,2026-09-24T17:04:18.425039Z,0.5529061000015645,0,0,0,0,0
062,solver,ok,2026-09-24T17:04:18.812314Z,2026-09-24T17:04:23.415630Z,4.601220399999875,0,0,0,0,0
062,evaluation,timeout,2026-09-24T17:04:23.454075Z,2026-09-24T17:05:53.560067Z,90.10315249999985,0,0,0,0,0
