case,ordinal,makespan,added_DDR_bytes,tensor_id,packet_size,effective_moved_count,old_core_counts,plan_sha256
005,0,33675,1419606,1000000117,1,1,"{""3"": 1}",11071975b3498b6b3e25316a04dada2adf9db8b508e4955e8cb64dd3493cab85
005,1,33777,1418262,1000000741,3,3,"{""4"": 3}",7ee337df7f85c4c2ccc8a7711c4ad8545c24b9dd74b5d8502e5a93f27590f531
005,2,33436,1410486,1000000977,1,1,"{""3"": 1}",d2c1b4e3fa59c1302954a69fb2d36e53cc78f79bde60244baff9b1e6e2958da6
005,3,33535,1412886,1000001532,3,3,"{""2"": 3}",f2090026605b1a269c591001ed984b533a5d837ed7177bbd6ff0ed81a0f1da87
005,4,33487,1408278,1000001580,4,4,"{""3"": 4}",ff316115d43ad8029986e2a663fc7410af81cb78fc810423e0b2749dfe7fd5cd
005,5,33649,1412886,1000002483,1,1,"{""4"": 1}",1193f7027d6359f86fd27c18fd149d3028bc28ae2ab6d345294c505b6b6962d5
005,6,33736,1392150,1000002843,2,2,"{""3"": 2}",eb6f27641d44afc8d048bbbe64d058a0770358003bceac4defc2f8fdc056a075
005,7,33833,1424406,1000002975,7,7,"{""1"": 7}",ee3ea053f4d40cff11c25eef197dc176870df12620cf64d5af54525da415abe2
069,0,12026,327890,1000000125,1,1,"{""1"": 1}",41677a53f452c894070c4ccd39117b786de0c995e60453756bccda90c8d7eda3
069,1,12075,324626,1000000159,8,8,"{""3"": 8}",4485bf8892282b75aa88541f46a93e4893d8c4f94b53e435804503f06102f06a
069,2,11801,321938,1000000185,24,3,"{""3"": 21, ""4"": 3}",7b12d50bc622280772cf14798fe29fbb12ff72d5106679a1771ed3768c62fe99
069,3,12574,343378,1000000494,18,18,"{""1"": 18}",79a30d71f6d903e1040fa77a5dcbd84927deb60c0d73a2fc1c1efa0b6d606ea1
069,4,12157,338162,1000000188,21,21,"{""3"": 21}",ca9220855c366ee0ac3a92f2a7a1a5096539e63c8edfbdb3aa7388f204771a39
069,5,12334,321842,1000000279,1,1,"{""2"": 1}",e099a95156ccb3d81cb90fb01501c0fa3a41ed1555addad85623cb0d79603e63
069,6,12179,322034,1000000210,1,1,"{""4"": 1}",81d0911dd9ffc8080e38674a29d23768c221c1dbd6c087d44b6bec367bf72d9b
071,0,9863,279152,1000000085,5,5,"{""0"": 1, ""4"": 4}",1df53ea632fae19a0fcd1ef69e29a4e21f1f84703b320ad4cf86b03986df8615
071,1,9479,273968,1000000158,8,8,"{""2"": 2, ""4"": 6}",11a58293fbfd3d1fa3639d196ada3020c0fdcbebd029044ab84fcb60a2ce8e73
071,2,10395,273968,1000000260,2,2,"{""0"": 2}",a27887b903c4d6de2526f35bfbe6569787ac44c5eeeee55c1b6d8264e0e87f01
071,3,9452,273840,1000000699,3,3,"{""4"": 3}",732326de830d55334d42caae4eb8ae07f1c00ce54ca447376e253261972fd5bf
071,4,9739,289328,1000000775,10,10,"{""0"": 10}",37490f19ad1a4309e20be7b7cd02d8823d84f4377e339519f8bb455943a70c90
071,5,10721,285232,1000000705,6,6,"{""0"": 1, ""1"": 5}",66fef638f6532c259e30c1f137acf13004272afe3ba6e3edc4af6459ec8e4cdb
071,6,9668,282896,1000000167,4,4,"{""2"": 4}",3a056877a8c2f90b99ac7a896040efc62cae24f13f1e910c6bce7de0cb53d0f8
071,7,9394,271472,1000000171,2,2,"{""1"": 2}",025d02ddcb7fca444469e9f9531b733a9e33c877633462708970230227eab09b
