Thu Sep 24 23:20:40 2026    ${REPO_ROOT}/results/a/q2-nikolastarx/constructor-profile-20260924/008-k4/profile.pstats

         223466 function calls (218889 primitive calls) in 0.049 seconds

   Ordered by: internal time
   List reduced from 387 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.009    0.005    0.019    0.010 evaluation_validation.py:171(validate_graph)
        2    0.003    0.001    0.004    0.002 evaluation_validation.py:113(check_acyclic)
    37882    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
        2    0.003    0.001    0.003    0.002 stub_multicore_cut_and_schedule.py:20(_build_op_adjacency)
        1    0.002    0.002    0.002    0.002 decoder.py:344(raw_decode)
    40288    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
        2    0.002    0.001    0.002    0.001 {built-in method builtins.compile}
        1    0.002    0.002    0.016    0.016 dag_direct.py:22(__init__)
    26356    0.002    0.000    0.002    0.000 evaluation_validation.py:11(require_integer)
        1    0.002    0.002    0.016    0.016 stub_multicore_cut_and_schedule.py:114(derive_multicore_plan)
        2    0.001    0.001    0.002    0.001 stub_multicore_cut_and_schedule.py:70(_contract_excluded_copy_nodes)
     7142    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
    22337    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        5    0.001    0.000    0.001    0.000 direct.py:29(topo)
        6    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
    13448    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        4    0.001    0.000    0.001    0.000 {method 'read' of '_io.TextIOWrapper' objects}
     7459    0.001    0.000    0.001    0.000 {built-in method builtins.max}
8108/4482    0.001    0.000    0.001    0.000 encoder.py:334(_iterencode_dict)
        1    0.001    0.001    0.004    0.004 direct.py:178(sequences)
        1    0.001    0.001    0.013    0.013 direct.py:53(__init__)
     4744    0.001    0.000    0.001    0.000 direct.py:83(duration)
        2    0.000    0.000    0.001    0.001 direct.py:108(word_descriptor)
        9    0.000    0.000    0.000    0.000 {built-in method _io.open}
      437    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.020    0.020 direct.py:233(build)
     4482    0.000    0.000    0.001    0.000 encoder.py:414(_iterencode)
     6480    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
 1834/958    0.000    0.000    0.000    0.000 encoder.py:278(_iterencode_list)
     5616    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       45    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.002    0.001 encoder.py:183(encode)
     3897    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      865    0.000    0.000    0.000    0.000 stub_multicore_cut_and_schedule.py:133(<genexpr>)
        1    0.000    0.000    0.047    0.047 direct_solve.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 {built-in method posix.mkdir}
