import time: self [us] | cumulative | imported package
import time:       130 |        130 |   _io
import time:        18 |         18 |   marshal
import time:       148 |        148 |   posix
import time:       176 |        471 | _frozen_importlib_external
import time:       468 |        468 |   time
import time:        55 |        522 | zipimport
import time:        98 |         98 |     _codecs
import time:        93 |        190 |   codecs
import time:       224 |        224 |   encodings.aliases
import time:       334 |        746 | encodings
import time:        85 |         85 | encodings.utf_8
import time:        43 |         43 | _signal
import time:        11 |         11 |     _abc
import time:        47 |         58 |   abc
import time:        62 |        120 | io
import time:        17 |         17 |       _stat
import time:        26 |         42 |     stat
import time:       286 |        286 |     _collections_abc
import time:        15 |         15 |       genericpath
import time:        23 |         37 |     posixpath
import time:       121 |        485 |   os
import time:        24 |         24 |   _sitebuiltins
import time:       103 |        103 |   encodings.utf_8_sig
import time:       200 |        200 |   _virtualenv
import time:        23 |         23 |   sitecustomize
import time:       357 |       1188 | site
import time:       132 |        132 |       warnings
import time:       134 |        266 |     importlib
import time:        19 |        285 |   importlib.machinery
import time:       201 |        201 |     importlib._abc
import time:       412 |        412 |     types
import time:       102 |        714 |   importlib.util
import time:        54 |       1052 | runpy
import time:        92 |         92 |   src
import time:       184 |        275 | src.q2_nikolastarx
import time:       137 |        137 | __future__
import time:        36 |         36 |         _operator
import time:       233 |        269 |       operator
import time:        52 |         52 |           itertools
import time:        75 |         75 |           keyword
import time:        83 |         83 |           reprlib
import time:        34 |         34 |           _collections
import time:       414 |        656 |         collections
import time:        20 |         20 |         _functools
import time:       297 |        973 |       functools
import time:       626 |       1867 |     enum
import time:        34 |         34 |       _sre
import time:       195 |        195 |         re._constants
import time:       199 |        394 |       re._parser
import time:        58 |         58 |       re._casefix
import time:       228 |        713 |     re._compiler
import time:        77 |         77 |     copyreg
import time:       238 |       2894 |   re
import time:       329 |        329 |   gettext
import time:       427 |       3649 | argparse
import time:        56 |         56 |   _datetime
import time:        75 |        130 | datetime
import time:       687 |        687 |   _hashlib
import time:        24 |         24 |   _blake2
import time:       145 |        855 | hashlib
import time:        19 |         19 |       _json
import time:       646 |        665 |     json.scanner
import time:       317 |        981 |   json.decoder
import time:       168 |        168 |   json.encoder
import time:       109 |       1257 | json
import time:        67 |         67 |   fnmatch
import time:       142 |        142 |     _winapi
import time:        33 |         33 |     nt
import time:        27 |         27 |     nt
import time:        21 |         21 |     nt
import time:        20 |         20 |     nt
import time:        19 |         19 |     nt
import time:        19 |         19 |     nt
import time:       154 |        433 |   ntpath
import time:        54 |         54 |   errno
import time:       175 |        175 |     urllib
import time:       141 |        141 |     math
import time:       556 |        556 |     ipaddress
import time:       680 |       1551 |   urllib.parse
import time:       443 |       2546 | pathlib
import time:        22 |         22 |     _heapq
import time:        99 |        120 |   heapq
import time:       179 |        299 | src.q2_nikolastarx.baseline
import time:       147 |        147 |     evaluation_validation
import time:        12 |         12 |           _bisect
import time:        92 |        103 |         bisect
import time:        15 |         15 |         _random
import time:        13 |         13 |         _sha2
import time:       178 |        308 |       random
import time:        83 |        391 |     stub_multicore_cut_and_schedule
import time:       181 |        718 |   src.q2_nikolastarx.direct
import time:      1247 |       1964 | src.q2_nikolastarx.dag_direct
import time:       600 |        600 |     schedule_step1
import time:       969 |        969 |       contest_io
import time:      1623 |       2592 |     schedule_step2
import time:        93 |         93 |           _weakrefset
import time:       193 |        286 |         weakref
import time:       179 |        465 |       copy
import time:      2398 |       2862 |     schedule_step3
import time:      2680 |       8732 |   multicore_cut_evaluate_problem_1
import time:      2380 |      11112 | multicore_cut_evaluate_problem_2
import time:        85 |         85 |   _locale
import time:       353 |        438 | locale
import time:        36 |         36 |   zlib
import time:        84 |         84 |     _compression
import time:        15 |         15 |     _bz2
import time:        94 |        192 |   bz2
import time:       109 |        109 |     _lzma
import time:       242 |        351 |   lzma
import time:       419 |        997 | shutil
import time:       417 |        417 | textwrap
