case,cores,status,selected_strategy,makespan_cycles,scheduled_copy_bytes,extra_ddr_bytes,spill_bytes,solver_wall_seconds,external_E0_wall_seconds,online_E0,external_E0,baseline_speedup,audit_fang_makespan,vs_audit_fang_percent,audit_history_makespan,vs_audit_history_percent,plan_sha256
002,2,ok,dag_eft,131796,5646336,4422144,1087488,0.21988787499140017,0.5229658749885857,0,1,1.987503414367659,263397,-49.96298363307099,263397,-49.96298363307099,fe89cc291a138c619ddca9a9d2cd66d79f5f11861b635e2c20873f6fa427521d
002,4,ok,dag_eft,78812,4200960,2976768,0,0.22390362501027994,0.46605416701640934,0,1,3.3236689844186165,132209,-40.388324546740385,72056,9.376040857111146,ddfd1d6209fa13bf7e9b565248a22c5b1793cedc34da50a82d027ae6dfeeea65
002,5,ok,dag_eft,72043,3732480,2508288,0,0.21800812499714084,0.4352272499818355,0,1,3.635953527754258,108100,-33.35522664199815,108100,-33.35522664199815,767b68de875c8ed1cae70226b872bccb03d1c9a843300b870436ab096593d9fa
008,2,ok,resource_word,125682,2654424,0,0,0.19795129101839848,0.2680562919995282,0,1,3.8796725068028834,244266,-48.54707572891848,244266,-48.54707572891848,1d11865a7569eee9ee35e1eebfc324e767255d4993c0b96b63c7406c63911a63
008,4,ok,resource_word,63768,2654424,0,0,0.19686045800335705,0.275754541013157,0,1,7.646546857357922,123060,-48.18137493905412,63768,0.0,cec6c487230c78bd57f22f893cb7c06f6f87ea0387a9d734bb71107da31f0756
008,5,ok,resource_word,52291,2654424,0,0,0.19638345899875276,0.28036425000755116,0,1,9.324836013845594,107462,-51.3400085611658,107462,-51.3400085611658,046b1caf9643b63aa2352374ac6e7c9fd11fcb278a7cd80c96402dff52f0b26f
014,2,ok,dag_eft,13097894,362109860,352177120,200693760,1.5025997920020018,15.902850208018208,0,1,1.3512573853475986,11807454,10.929028391726114,11807454,10.929028391726114,724cf5aa74c4c22fa9d0953acb7aecd940ed053b8790980639716c3f0509268c
014,4,ok,dag_eft,8292269,374240880,364308140,137943552,1.7552508749940898,17.242392665997613,0,1,2.134352612053468,12197041,-32.014092598360534,12197041,-32.014092598360534,682af902a5779a7ad6e1f5f41c32b959ede897a858ea204336a20ef4ad6d250c
014,5,ok,dag_eft,7364271,393188924,383256184,144884736,2.051492833008524,17.773444374994142,0,1,2.403309981395307,4193196,75.6242970755481,4193196,75.6242970755481,18f5a9fb5bdc81e8bd50e096978ef52f083b198ba892260f33192339478f6e2a
016,2,ok,dag_eft,9260226,420227818,419834600,379715584,0.5035342500195839,6.074971417023335,0,1,0.8331894923514825,7717119,19.995894841066985,7717119,19.995894841066985,6acc263e6af92179e454ac6eb634fe232bda59060145279d74f5c92d049ebeed
016,4,ok,dag_eft,2250687,932770,539552,0,0.5877250830235425,4.306207790999906,0,1,3.4280746278802874,7720311,-70.84719773594612,2556787,-11.97205711699879,43fc96195f2fdfb447da1911776b5f71b1b5a98cf287ef49a4293ed8e3f1984f
016,5,ok,dag_eft,2240622,674854,281636,0,0.629152959008934,3.876789625006495,0,1,3.4434737318476745,7719719,-70.97534249627479,7719719,-70.97534249627479,47b6e8b591ece57dc12a1f160aa0fc30bb19d8652291727070e3cfe1f7277154
