case_id,cores,old_B,old_M,old_B_over_M,new_B,new_M,new_B_over_M,delta_B_over_M,old_selected_strategy,new_selected_strategy,old_extraDDR_bytes,new_extraDDR_bytes,old_spill_bytes,new_spill_bytes
001,4,233110,58984,3.952088702020887,233110,58984,3.952088702020887,0.0,component_envelope,component_envelope,3456,3456,0,0
002,4,261945,67942,3.855420800094198,261945,67942,3.855420800094198,0.0,tree_paired_leaves,tree_paired_leaves,36864,36864,0,0
003,4,602212,514387,1.1707372075888387,602212,261556,2.3024208964810593,1.1316836888922206,component_envelope,dominant_component_dag,294912,10607426,0,0
004,4,392357,100126,3.9186325230209937,392357,100126,3.9186325230209937,0.0,component_envelope,component_envelope,331776,331776,0,0
005,4,95618,76409,1.2513970867306208,95618,76409,1.2513970867306208,0.0,dag_eft,dag_eft,3401488,3401488,0,0
006,4,82837,31425,2.636022275258552,82837,51151,1.6194600301069382,-1.0165622451516139,component_envelope,dominant_component_dag,73984,2283876,0,0
007,4,1012562,246030,4.115603788155916,1012562,246030,4.115603788155916,0.0,component_envelope,component_envelope,82944,82944,0,0
008,4,487605,63768,7.646546857357922,487605,63768,7.646546857357922,0.0,resource_word,resource_word,0,0,0,0
009,4,153261,87361,1.7543411819919643,153261,90754,1.6887520109306478,-0.06558917106131656,component_envelope,dominant_component_dag,49152,2241016,0,0
010,4,86969,29933,2.9054555173220193,86969,56660,1.5349276385457113,-1.370527878776308,component_envelope,dominant_component_dag,96768,2917088,0,0
011,4,184697,46880,3.9397824232081913,184697,46880,3.9397824232081913,0.0,component_envelope,component_envelope,540672,540672,0,0
012,4,59088,13803,4.280808519886981,59088,34274,1.7239890295851081,-2.556819490301873,component_envelope,dominant_component_dag,20736,1324386,0,0
013,4,263949,66946,3.942715024049234,263949,66946,3.942715024049234,0.0,component_envelope,component_envelope,24576,24576,0,0
014,4,17698626,4510101,3.924219435440581,17698626,4510101,3.924219435440581,0.0,component_envelope,component_envelope,58916760,58916760,29287824,29287824
015,4,177362,56886,3.117849734556833,177362,90475,1.9603426360873168,-1.157507098469516,component_envelope,dominant_component_dag,231168,4028394,0,0
016,4,7715523,2250687,3.4280746278802874,7715523,2250687,3.4280746278802874,0.0,dag_eft,dag_eft,539552,539552,0,0
017,4,162810,31517,5.165783545388203,162810,31517,5.165783545388203,0.0,component_envelope,component_envelope,249984,249984,0,0
018,4,1004367,254215,3.950856558424955,1004367,254215,3.950856558424955,0.0,component_envelope,component_envelope,3767296,3767296,0,0
019,4,81144,24243,3.3471105061254796,81144,28068,2.890979050876443,-0.45613145524903675,component_envelope,dominant_component_dag,51744,1336980,0,0
020,4,532746,146116,3.6460483451504286,532746,146116,3.6460483451504286,0.0,component_envelope,component_envelope,0,0,0,0
021,4,6567937,1605196,4.091672917201389,6567937,1605196,4.091672917201389,0.0,component_envelope,component_envelope,9940992,9940992,5332992,5332992
022,4,56780,15012,3.782307487343459,56780,15012,3.782307487343459,0.0,component_envelope,component_envelope,13824,13824,0,0
023,4,122614,24256,5.0549967018469655,122614,24256,5.0549967018469655,0.0,component_envelope,component_envelope,280992,280992,0,0
024,4,2555343,751695,3.3994412627461936,2555343,751695,3.3994412627461936,0.0,dag_eft,dag_eft,529352,529352,0,0
025,4,4863026,1177396,4.130323187780492,4863026,1177396,4.130323187780492,0.0,component_envelope,component_envelope,82944,82944,0,0
026,4,99203,44173,2.2457836234804067,99203,64821,1.5304145261566469,-0.7153690973237599,component_envelope,dominant_component_dag,170832,2934580,0,0
027,4,2363952,559196,4.227412213249022,2363952,559196,4.227412213249022,0.0,component_envelope,component_envelope,3317760,3317760,0,0
028,4,43836040,13608312,3.2212694711879033,43836040,10098271,4.340945098423284,1.119675627235381,component_envelope,shared_input_wave,277760640,30394752,271315200,23949312
029,4,37555,13093,2.8683265867257313,37555,13093,2.8683265867257313,0.0,component_envelope,component_envelope,0,0,0,0
030,4,2808034,696338,4.032573261835488,2808034,696338,4.032573261835488,0.0,component_envelope,component_envelope,5950464,5950464,131072,131072
031,4,1414369,419131,3.3745272957619457,1414369,680364,2.0788416200739603,-1.2956856756879853,component_envelope,dominant_component_dag,4646400,23265080,331776,4646912
032,4,41443,11239,3.6874277070913783,41443,25864,1.6023430250541293,-2.085084682037249,component_envelope,dominant_component_dag,18576,1074256,0,0
033,4,1774196,441108,4.022135168711517,1774196,441108,4.022135168711517,0.0,component_envelope,component_envelope,6701664,6701664,1459200,1459200
034,4,842996,193847,4.348769906163108,842996,193847,4.348769906163108,0.0,component_envelope,component_envelope,3089920,3089920,0,0
035,4,169571,88511,1.915818372857611,169571,105911,1.6010707103133763,-0.3147476625442347,component_envelope,dominant_component_dag,0,3519770,0,0
036,4,931510,233584,3.987901568600589,931510,233584,3.987901568600589,0.0,component_envelope,component_envelope,3456,3456,0,0
037,4,210001,57428,3.656770216619071,210001,57428,3.656770216619071,0.0,component_envelope,component_envelope,614400,614400,0,0
038,4,1364555,336414,4.056177804728698,1364555,336414,4.056177804728698,0.0,component_envelope,component_envelope,6749184,6749184,235008,235008
039,4,1435262,409739,3.5028688994701507,1435262,409739,3.5028688994701507,0.0,component_envelope,component_envelope,18718720,18718720,6111232,6111232
040,4,253454,103829,2.441071376975604,253454,166267,1.5243794619497555,-0.9166919150258486,component_envelope,dominant_component_dag,53760,7793502,0,0
041,4,6003957,1498613,4.006342531394029,6003957,1498613,4.006342531394029,0.0,component_envelope,component_envelope,24886272,24886272,10567680,10567680
042,4,1686740,500651,3.3690934403406763,1686740,500651,3.3690934403406763,0.0,component_envelope,component_envelope,7450176,7450176,2291712,2291712
043,4,677656,263552,2.5712421078193297,677656,333589,2.0314099086001036,-0.5398321992192261,component_envelope,dominant_component_dag,599040,14990118,0,0
044,4,154407,124268,1.2425322689670713,154407,66901,2.307992406690483,1.0654601377234119,component_envelope,shared_input_wave,5678624,2791200,2887424,0
045,4,125614,33079,3.7973941171135768,125614,33079,3.7973941171135768,0.0,component_envelope,component_envelope,0,0,0,0
046,4,276455,124612,2.218526305652746,276455,77846,3.5513064255067697,1.3327801198540237,component_envelope,shared_input_wave,4513952,2791200,1722752,0
047,4,326508,154452,2.113977157951985,326508,154452,2.113977157951985,0.0,dag_eft,dag_eft,4658386,4658386,0,0
048,4,222220,118751,1.87131055738478,222220,118751,1.87131055738478,0.0,dag_eft,dag_eft,1102610,1102610,0,0
049,4,196276,151957,1.2916548760504616,196276,110548,1.7754821435032746,0.483827267452813,component_envelope,dominant_component_dag,0,5114858,0,0
050,4,149690,103057,1.4524971617648486,149690,94235,1.5884756194619833,0.1359784576971348,component_envelope,dominant_component_dag,10368,3696878,0,0
051,4,607628,185899,3.268592084949354,607628,185899,3.268592084949354,0.0,dag_eft,dag_eft,525504,525504,0,0
052,4,180301,38023,4.741893064723983,180301,38023,4.741893064723983,0.0,component_envelope,component_envelope,250368,250368,0,0
053,4,1472686,475455,3.097424572251843,1472686,536325,2.7458835594089406,-0.3515410128429024,component_envelope,dominant_component_dag,6416288,18378098,4346784,0
054,4,815051,501392,1.6255763953154418,815051,384655,2.1189143518217626,0.49333795650632073,component_envelope,dominant_component_dag,147456,14723858,0,0
055,4,118835,28296,4.199710206389596,118835,28296,4.199710206389596,0.0,component_envelope,component_envelope,157184,157184,0,0
056,4,277285,253319,1.0946079843991172,277285,160312,1.7296584160886272,0.63505043168951,component_envelope,dominant_component_dag,0,6523526,0,0
057,4,59726,19328,3.0901283112582782,59726,37293,1.6015337999088302,-1.488594511349448,component_envelope,dominant_component_dag,14112,1719246,0,0
058,4,4539717,1158637,3.9181529676680444,4539717,1158637,3.9181529676680444,0.0,component_envelope,component_envelope,44392448,44392448,24522752,24522752
059,4,829473,185216,4.478408992743607,829473,185216,4.478408992743607,0.0,component_envelope,component_envelope,1081344,1081344,0,0
060,4,888789,216590,4.103555104113763,888789,216590,4.103555104113763,0.0,component_envelope,component_envelope,3147008,3147008,207872,207872
061,4,77191,23779,3.2461836073846673,77191,37671,2.049082848875793,-1.1971007585088742,component_envelope,dominant_component_dag,70656,1336126,0,0
062,4,2854809,775354,3.6819426997216755,2854809,775354,3.6819426997216755,0.0,tree_paired_leaves,tree_paired_leaves,24576,24576,0,0
063,4,1070397,291142,3.6765461527364653,1070397,291142,3.6765461527364653,0.0,tree_paired_leaves,tree_paired_leaves,36864,36864,0,0
064,4,19116,13322,1.43491968172947,19116,13322,1.43491968172947,0.0,dag_eft,dag_eft,114192,114192,0,0
065,4,53068,10779,4.923276741812784,53068,10779,4.923276741812784,0.0,component_envelope,component_envelope,41904,41904,0,0
066,4,359070,248283,1.44621258805476,359070,161320,2.2258244483015126,0.7796118602467526,component_envelope,dominant_component_dag,20784,5704280,0,0
067,4,63834834,18473155,3.4555458447677183,63834834,15224345,4.192944524050132,0.7373986792824136,component_envelope,shared_input_wave,263174912,16931968,252010112,5767168
068,4,362095,294340,1.2301929741115716,362095,175082,2.0681452119578254,0.8379522378462538,component_envelope,dominant_component_dag,1296,5454158,0,0
069,4,25144,18379,1.3680831383644376,25144,18379,1.3680831383644376,0.0,dag_eft,dag_eft,724460,724460,0,0
070,4,117300,31379,3.738168839032474,117300,31379,3.738168839032474,0.0,component_envelope,component_envelope,287232,287232,0,0
071,4,18919,13146,1.4391449870683097,18919,13146,1.4391449870683097,0.0,dag_eft,dag_eft,426124,426124,0,0
072,4,23897828,6326553,3.7773852522850913,23897828,6326553,3.7773852522850913,0.0,component_envelope,component_envelope,98222768,98222768,67469312,67469312
073,4,10081626,3903787,2.5825246100773427,10081626,2222685,4.535787122331774,1.9532625122544314,component_envelope,shared_input_wave,140222208,11164800,129057408,0
074,4,1682239,455270,3.6950359127550683,1682239,455270,3.6950359127550683,0.0,component_envelope,component_envelope,7749632,7749632,1744896,1744896
075,4,1441809,478237,3.0148420134786726,1441809,478237,3.0148420134786726,0.0,dag_eft,dag_eft,11176146,11176146,0,0
076,4,6185113,1525945,4.053300086176107,6185113,1525945,4.053300086176107,0.0,component_envelope,component_envelope,23612416,23612416,11388928,11388928
077,4,495320,122380,4.04739336492891,495320,221186,2.2393822393822393,-1.8080111255466704,component_envelope,dominant_component_dag,114688,7062450,0,0
078,4,2296143,690924,3.3232931552529656,2296143,516480,4.445753949814127,1.122460794561161,component_envelope,shared_input_wave,13146912,6445440,6701472,0
079,4,31052251,7738844,4.012518019487148,31052251,7738844,4.012518019487148,0.0,component_envelope,component_envelope,68947968,68947968,57999360,57999360
080,4,292138,112232,2.602983106422411,292138,112232,2.602983106422411,0.0,component_envelope,component_envelope,4190208,4190208,0,0
081,4,151795,47085,3.2238504831687376,151795,47085,3.2238504831687376,0.0,component_envelope,component_envelope,0,0,0,0
082,4,721041,243359,2.96286966991153,721041,243359,2.96286966991153,0.0,dag_eft,dag_eft,6990098,6990098,0,0
083,4,1057993,450029,2.350944050272316,1057993,210367,5.029272652079461,2.6783286018071455,component_envelope,shared_input_wave,14977600,2791200,12186400,0
084,4,2507412,317988,7.885240952488773,2507412,317988,7.885240952488773,0.0,resource_word,resource_word,0,0,0,0
085,4,3187899,1030113,3.0947080563006195,3187899,1030113,3.0947080563006195,0.0,dag_eft,dag_eft,29732978,29732978,0,0
086,4,118403,99945,1.1846815748661763,118403,99945,1.1846815748661763,0.0,dag_eft,dag_eft,4559664,4559664,0,0
087,4,3974071,1214996,3.2708510974521725,3974071,1746011,2.2760858894932507,-0.9947652079589218,component_envelope,dominant_component_dag,5515776,74139252,2543616,17789184
088,4,243623,199448,1.2214863021940556,243623,113954,2.137906523684996,0.9164202214909403,component_envelope,dominant_component_dag,73728,3660724,0,0
089,4,693092,147992,4.6833072057949074,693092,147992,4.6833072057949074,0.0,component_envelope,component_envelope,716160,716160,0,0
090,4,1178363,608275,1.9372208293945994,1178363,290754,4.052783452678209,2.11556262328361,component_envelope,shared_input_wave,21392136,6445440,14946696,0
091,4,9186769,2298823,3.9962924505279442,9186769,2298823,3.9962924505279442,0.0,component_envelope,component_envelope,40796832,40796832,21361824,21361824
092,4,4815554,1927728,2.4980464048869964,4815554,997263,4.828770344432712,2.3307239395457158,component_envelope,shared_input_wave,67180384,6264608,64389184,3473408
093,4,74205,19743,3.7585473332320314,74205,19743,3.7585473332320314,0.0,component_envelope,component_envelope,24576,24576,0,0
094,4,94892,24430,3.884240687679083,94892,24430,3.884240687679083,0.0,component_envelope,component_envelope,318528,318528,0,0
095,4,2084853,269686,7.730668258641531,2084853,269686,7.730668258641531,0.0,resource_word,resource_word,0,0,0,0
096,4,84194,26984,3.120145271271865,84194,39134,2.1514284254101295,-0.9687168458617355,component_envelope,dominant_component_dag,79488,1705020,0,0
097,4,11491509,2626908,4.37453805005733,11491509,2626908,4.37453805005733,0.0,component_envelope,component_envelope,14221312,14221312,6553600,6553600
098,4,177430,90237,1.9662666090406373,177430,132174,1.3423971431597743,-0.623869465880863,component_envelope,dominant_component_dag,0,6395136,0,53248
099,4,1622999,402826,4.029032386191557,1622999,402826,4.029032386191557,0.0,component_envelope,component_envelope,6074368,6074368,421888,421888
100,4,151223,59709,2.5326667671540304,151223,99664,1.5173282228287044,-1.015338544325326,component_envelope,dominant_component_dag,144384,4803772,0,0
001,5,233110,47502,4.9073723211654245,233110,47502,4.9073723211654245,0.0,component_envelope,component_envelope,4608,4608,0,0
002,5,261945,59810,4.379618792844006,261945,59810,4.379618792844006,0.0,tree_paired_leaves,tree_paired_leaves,33792,33792,0,0
003,5,602212,515736,1.1676749344625932,602212,275743,2.183961152232332,1.016286217769739,component_envelope,dominant_component_dag,393216,12671824,0,0
004,5,392357,83319,4.709093964161836,392357,83319,4.709093964161836,0.0,component_envelope,component_envelope,442368,442368,0,0
005,5,95618,66385,1.4403555019959329,95618,66385,1.4403555019959329,0.0,dag_eft,dag_eft,3096916,3096916,0,0
006,5,82837,31789,2.605838497593507,82837,52732,1.5709057119016916,-1.0349327856918156,component_envelope,dominant_component_dag,63616,2335868,0,0
007,5,1012562,196870,5.14330268705237,1012562,196870,5.14330268705237,0.0,component_envelope,component_envelope,110592,110592,0,0
008,5,487605,52291,9.324836013845594,487605,52291,9.324836013845594,0.0,resource_word,resource_word,0,0,0,0
