case,cores,route,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,ddr_bytes,extra_ddr_bytes,spill_bytes,cache_hit_rate,official_A_baseline,speedup
001,1,component_envelope,ok,233110,0.2796799159841612,0.28095099999336526,1639552,0,0,,233110,1.0
001,2,component_envelope,ok,116868,0.284043332998408,0.28076645798864774,1640704,1152,0,,233110,1.9946435294520313
001,3,component_envelope,ok,78545,0.2840390409983229,0.2777778750169091,1641856,2304,0,,233110,2.9678528232223567
001,4,component_envelope,ok,58984,0.2838919170026202,0.28265054197981954,1643008,3456,0,,233110,3.952088702020887
001,5,component_envelope,ok,47502,0.2926561660133302,0.27931275000446476,1644160,4608,0,,233110,4.9073723211654245
002,1,tree_paired_leaves,ok,240813,0.279540082992753,0.27632608299609274,1224192,0,0,,261945,1.0877527376013754
002,2,tree_paired_leaves,ok,124780,0.28142804201343097,0.27891629197984,1233408,9216,0,,261945,2.0992546882513223
002,3,tree_paired_leaves,ok,86384,0.2798994169861544,0.2765269580122549,1239552,15360,0,,261945,3.0323323763659937
002,4,tree_paired_leaves,ok,67942,0.2793039999960456,0.2819817500130739,1261056,36864,0,,261945,3.855420800094198
002,5,tree_paired_leaves,ok,59810,0.27667437499621883,0.28211079200264066,1257984,33792,0,,261945,4.379618792844006
003,1,component_envelope,ok,566163,0.5557976249838248,3.3075149999931455,1284264,0,0,,602212,1.0636724759477394
003,2,component_envelope,ok,511949,0.5579011249938048,3.2921942499815486,1382568,98304,0,,602212,1.176312484251361
003,3,component_envelope,ok,513160,0.5540315419784747,3.307710749999387,1480872,196608,0,,602212,1.1735365188245381
003,4,component_envelope,ok,514387,0.579832624993287,3.6111072920029983,1579176,294912,0,,602212,1.1707372075888387
003,5,component_envelope,ok,515736,0.5786129579937551,3.6397251669841353,1677480,393216,0,,602212,1.1676749344625932
004,1,component_envelope,ok,386417,0.2987818330002483,0.28646520801703446,792576,0,0,,392357,1.0153719945033475
004,2,component_envelope,ok,195960,0.30142404200159945,0.2919761670054868,903168,110592,0,,392357,2.0022300469483567
004,3,component_envelope,ok,130725,0.2871293750067707,0.28452858299715444,1013760,221184,0,,392357,3.001392235609103
004,4,component_envelope,ok,100126,0.30086804198799655,0.29211387498071417,1124352,331776,0,,392357,3.9186325230209937
004,5,component_envelope,ok,83319,0.3102142499992624,0.29263283300679177,1234944,442368,0,,392357,4.709093964161836
005,1,component_envelope,ok,90450,0.2845732089772355,0.5663827919925097,333414,0,0,,95618,1.0571365395245993
005,2,dag_eft,ok,68784,0.2800384580041282,0.8467832079913933,2570828,2237414,0,,95618,1.3901197953012328
005,3,dag_eft,ok,80167,0.28546612500213087,1.1186246249999385,3434800,3101386,0,,95618,1.192735165342348
005,4,dag_eft,ok,76409,0.29403216700302437,1.1462679160176776,3734902,3401488,0,,95618,1.2513970867306208
005,5,dag_eft,ok,66385,0.28633512498345226,0.8687354169960599,3430330,3096916,0,,95618,1.4403555019959329
006,1,component_envelope,ok,69275,0.2895165410009213,0.29611416699481197,543348,0,0,,82837,1.1957704799711295
006,2,component_envelope,ok,37257,0.29164441701141186,0.2881548749865033,574452,31104,0,,82837,2.223394261481064
006,3,component_envelope,ok,32401,0.285490333015332,0.2826724589976948,587252,43904,0,,82837,2.55661862288201
