case,ordinal,M,added_DDR_bytes,tensor,packet_size
005,0,33675,1419606,1000000117,1
005,1,33777,1418262,1000000741,3
005,2,33436,1410486,1000000977,1
005,3,33535,1412886,1000001532,3
005,4,33487,1408278,1000001580,4
005,5,33649,1412886,1000002483,1
005,6,33736,1392150,1000002843,2
005,7,33833,1424406,1000002975,7
069,0,12026,327890,1000000125,1
069,1,12075,324626,1000000159,8
069,2,11849,321938,1000000185,3
069,3,12574,343378,1000000494,18
069,4,12157,338162,1000000188,21
069,5,12334,321842,1000000279,1
069,6,12179,322034,1000000210,1
071,0,9845,274544,1000000085,4
071,1,9458,273968,1000000158,6
071,2,10395,273968,1000000260,2
071,3,9452,273840,1000000699,3
071,4,9739,289328,1000000775,10
071,5,10197,285232,1000000705,5
071,6,9668,282896,1000000167,4
071,7,9394,271472,1000000171,2
