case_id,cores,fang_makespan_cycles,history_makespan_cycles,fang_baseline_speedup,history_baseline_speedup,history_algorithm,history_variant,history_solver_commit,history_record_id,history_ddr_bytes,history_extra_ddr_bytes,history_solver_wall_seconds
001,1,233110,233110,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,64707a9cd5bd2f11c4f15ef93173b3976b4b4677e752fb3abd1903d5bb6735e4,1639552,0,0.28335716598667204
002,1,261945,261945,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,56cb073bdd6d7420e53d260f368602954a57dcfdced58c9e8038807bed833563,1224192,0,0.2786143330158666
003,1,602212,602212,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,a914df127b255ae4bc1b401a7c17542e16ef80e965823acab341dd27cca914bc,1284264,0,0.286706624989165
004,1,392357,392357,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,5e938db9adc7954a0e5e7376a2c9081827e92f4ab577745e5993d8c04db6d175,792576,0,0.2890128340222873
005,1,95618,95618,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,0d4d1b9f2ad077d6db74a664c1959d3b898faccee8398931a985cbe11fc55e3d,333414,0,0.2851411250012461
006,1,82837,82837,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,68d57e8ef1571d9761b40672211d51611c9de1dc5297d4bad0a9d68025b31a57,559748,16400,0.29177049998543225
007,1,1012562,1012562,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,79cec37366a9b14979eeecacbddbd3eb0e70bf11a367207c9073716daaa61cc9,1732608,0,0.2891933750070166
008,1,487605,487605,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,10a62ce9e3ffa642b70c10dd39caa6d5627dfb23dcb75d4202da66a98e2cf591,2654424,0,0.28344150001066737
009,1,153261,153261,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,2a2597fa80ba1efe5522bc524cd964d0ea58987db0db43d48c82c820ee639093,495332,0,0.2813705419830512
010,1,86969,86969,1.0,1.0,q2-contiguous-baseline,one-core-deterministic-direct,0b58c123cccf02fc993b741d79dcd8511e4dd38f,278a4967e1f2ed070525b86c9af13705b92369a6ad23048e081252fc9ae86bb9,384150,0,0.2765035840275232
