stage,tensor,sender,receiver,prefix_last_op,prefix_end,sender_first_whole_op3,sender_first_whole_op3_start,sender_V_gap_before_whole_op3,sender_op3_start_minus_copy_out_end,copy_out_id,copy_out_start,copy_out_end,copy_out_duration,copy_in_id,copy_in_release,copy_in_start,copy_in_end,copy_in_duration,wait_after_release,previous_MTE2_op,previous_MTE2_end,wait_beyond_release_and_MTE2_predecessor,second_whole_op2,second_whole_op2_end,copy_start_minus_op2_end,same_core_ops_ending_at_copy_start,whole_last_op,whole_end,suffix_first_op,suffix_start,suffix_last_op,suffix_end,copy_finish_after_whole_end,suffix_gap,unexplained_suffix_delay,receiver_first_start,root_input_copy_end,root_tail_after_leaf_copy
0,1000000049,0,2,38,3783,47,7195,0,209,1000018057,3783,6986,3203,1000018058,7486,7486,8762,1276,0,1000018023,6147,0,18,7195,291,,20,8243,39,8762,40,9810,519,519,0,2735,10313,607
0,1000000053,1,3,42,3783,55,7195,0,209,1000018063,3783,6986,3203,1000018064,7486,7486,8762,1276,0,1000018027,6147,0,26,7195,291,,28,8243,43,8762,44,9810,519,519,0,2735,10314,606
1,1000000108,0,2,97,12470,106,13565,47,0,1000018105,12470,13565,1095,1000018106,14065,14568,15665,1097,503,1000018088,11424,503,77,14568,0,77,79,15616,98,15665,99,16713,49,49,0,11424,17215,92
1,1000000112,1,3,101,12471,114,13566,47,0,1000018111,12471,13566,1095,1000018112,14066,14569,15666,1097,503,1000018091,11425,503,85,14569,0,85,87,15617,102,15666,103,16714,49,49,0,11425,17216,91
2,1000000167,0,2,156,18857,165,19952,47,0,1000018153,18857,19952,1095,1000018154,20452,20955,22052,1097,503,1000018136,17811,503,136,20955,0,136,138,22003,157,22052,158,23100,49,49,0,17811,23602,92
2,1000000171,1,3,160,18858,173,19953,47,0,1000018159,18858,19953,1095,1000018160,20453,20956,22053,1097,503,1000018139,17812,503,144,20956,0,144,146,22004,161,22053,162,23101,49,49,0,17812,23603,91
3,1000000226,0,2,215,25244,224,26339,47,0,1000018201,25244,26339,1095,1000018202,26839,27342,28439,1097,503,1000018184,24198,503,195,27342,0,195,197,28390,216,28439,217,29487,49,49,0,24198,29989,92
3,1000000230,1,3,219,25245,232,26340,47,0,1000018207,25245,26340,1095,1000018208,26840,27343,28440,1097,503,1000018187,24199,503,203,27343,0,203,205,28391,220,28440,221,29488,49,49,0,24199,29990,91
4,1000000285,0,2,274,31631,283,32726,47,0,1000018249,31631,32726,1095,1000018250,33226,33729,34826,1097,503,1000018232,30585,503,254,33729,0,254,256,34777,275,34826,276,35874,49,49,0,30585,36376,92
4,1000000289,1,3,278,31632,291,32727,47,0,1000018255,31632,32727,1095,1000018256,33227,33730,34827,1097,503,1000018235,30586,503,262,33730,0,262,264,34778,279,34827,280,35875,49,49,0,30586,36377,91
5,1000000344,0,2,333,38018,342,39113,47,0,1000018297,38018,39113,1095,1000018298,39613,40116,41213,1097,503,1000018280,36972,503,313,40116,0,313,315,41164,334,41213,335,42261,49,49,0,36972,42763,92
5,1000000348,1,3,337,38019,350,39114,47,0,1000018303,38019,39114,1095,1000018304,39614,40117,41214,1097,503,1000018283,36973,503,321,40117,0,321,323,41165,338,41214,339,42262,49,49,0,36973,42764,91
6,1000000403,0,2,392,44405,401,45500,47,0,1000018345,44405,45500,1095,1000018346,46000,46503,47600,1097,503,1000018328,43359,503,372,46503,0,372,374,47551,393,47600,394,48648,49,49,0,43359,49150,92
6,1000000407,1,3,396,44406,409,45501,47,0,1000018351,44406,45501,1095,1000018352,46001,46504,47601,1097,503,1000018331,43360,503,380,46504,0,380,382,47552,397,47601,398,48649,49,49,0,43360,49151,91
7,1000000462,0,2,451,50792,460,51887,47,0,1000018393,50792,51887,1095,1000018394,52387,52890,53987,1097,503,1000018376,49746,503,431,52890,0,431,433,53938,452,53987,453,55035,49,49,0,49746,55537,92
7,1000000466,1,3,455,50793,468,51888,47,0,1000018399,50793,51888,1095,1000018400,52388,52891,53988,1097,503,1000018379,49747,503,439,52891,0,439,441,53939,456,53988,457,55036,49,49,0,49747,55538,91
8,1000000521,0,2,510,57179,519,58274,47,0,1000018441,57179,58274,1095,1000018442,58774,59277,60374,1097,503,1000018424,56133,503,490,59277,0,490,492,60325,511,60374,512,61422,49,49,0,56133,61924,92
8,1000000525,1,3,514,57180,527,58275,47,0,1000018447,57180,58275,1095,1000018448,58775,59278,60375,1097,503,1000018427,56134,503,498,59278,0,498,500,60326,515,60375,516,61423,49,49,0,56134,61925,91
9,1000000580,0,2,569,63566,578,64661,47,0,1000018489,63566,64661,1095,1000018490,65161,65664,66761,1097,503,1000018472,62520,503,549,65664,0,549,551,66712,570,66761,571,67809,49,49,0,62520,68311,92
9,1000000584,1,3,573,63567,586,64662,47,0,1000018495,63567,64662,1095,1000018496,65162,65665,66762,1097,503,1000018475,62521,503,557,65665,0,557,559,66713,574,66762,575,67810,49,49,0,62521,68312,91
10,1000000639,0,2,628,69953,637,71048,47,0,1000018537,69953,71048,1095,1000018538,71548,72051,73148,1097,503,1000018520,68907,503,608,72051,0,608,610,73099,629,73148,630,74196,49,49,0,68907,74698,92
10,1000000643,1,3,632,69954,645,71049,47,0,1000018543,69954,71049,1095,1000018544,71549,72052,73149,1097,503,1000018523,68908,503,616,72052,0,616,618,73100,633,73149,634,74197,49,49,0,68908,74699,91
11,1000000698,0,2,687,76340,696,77435,47,0,1000018585,76340,77435,1095,1000018586,77935,78438,79535,1097,503,1000018568,75294,503,667,78438,0,667,669,79486,688,79535,689,80583,49,49,0,75294,81085,92
11,1000000702,1,3,691,76341,704,77436,47,0,1000018591,76341,77436,1095,1000018592,77936,78439,79536,1097,503,1000018571,75295,503,675,78439,0,675,677,79487,692,79536,693,80584,49,49,0,75295,81086,91
12,1000000757,0,2,746,82727,755,83822,47,0,1000018633,82727,83822,1095,1000018634,84322,84825,85922,1097,503,1000018616,81681,503,726,84825,0,726,728,85873,747,85922,748,86970,49,49,0,81681,87472,92
12,1000000761,1,3,750,82728,763,83823,47,0,1000018639,82728,83823,1095,1000018640,84323,84826,85923,1097,503,1000018619,81682,503,734,84826,0,734,736,85874,751,85923,752,86971,49,49,0,81682,87473,91
