stage,root_end,root_period,bound_root_end,bound_root_period
0,10920,,5833,
1,17307,6387,12168,6335
2,23694,6387,18503,6335
3,30081,6387,24838,6335
4,36468,6387,31173,6335
5,42855,6387,37508,6335
6,49242,6387,43843,6335
7,55629,6387,50178,6335
8,62016,6387,56513,6335
9,68403,6387,62848,6335
10,74790,6387,69183,6335
11,81177,6387,75518,6335
12,87564,6387,81853,6335
13,93951,6387,88188,6335
14,100338,6387,94523,6335
15,106725,6387,100858,6335
16,113112,6387,107193,6335
17,119499,6387,113528,6335
18,125886,6387,119863,6335
19,132273,6387,126198,6335
20,138660,6387,132533,6335
21,145047,6387,138868,6335
22,151434,6387,145203,6335
23,157821,6387,151538,6335
24,164208,6387,157873,6335
25,170595,6387,164208,6335
26,176982,6387,170543,6335
27,183369,6387,176878,6335
28,189756,6387,183213,6335
29,196143,6387,189548,6335
30,202530,6387,195883,6335
31,208917,6387,202218,6335
32,215304,6387,208553,6335
33,221691,6387,214888,6335
34,228078,6387,221223,6335
35,234465,6387,227558,6335
36,240852,6387,233893,6335
37,247239,6387,240228,6335
38,253626,6387,246563,6335
39,260013,6387,252898,6335
40,266400,6387,259233,6335
41,272787,6387,265568,6335
42,279174,6387,271903,6335
43,285561,6387,278238,6335
44,291948,6387,284573,6335
45,298335,6387,290908,6335
46,304722,6387,297243,6335
47,311109,6387,303578,6335
48,317496,6387,309913,6335
49,323883,6387,316248,6335
50,330270,6387,322583,6335
51,336657,6387,328918,6335
52,343044,6387,335253,6335
53,349431,6387,341588,6335
54,355818,6387,347923,6335
55,362205,6387,354258,6335
56,368592,6387,360593,6335
57,374979,6387,366928,6335
58,381366,6387,373263,6335
59,387753,6387,379598,6335
60,394140,6387,385933,6335
61,400527,6387,392268,6335
62,406914,6387,398603,6335
63,413301,6387,404938,6335
64,419688,6387,411273,6335
65,426075,6387,417608,6335
66,432462,6387,423943,6335
67,438849,6387,430278,6335
68,445236,6387,436613,6335
69,451623,6387,442948,6335
70,458010,6387,449283,6335
71,464397,6387,455618,6335
72,470784,6387,461953,6335
73,477171,6387,468288,6335
74,483558,6387,474623,6335
75,489945,6387,480958,6335
76,496332,6387,487293,6335
77,502719,6387,493628,6335
78,509106,6387,499963,6335
79,515493,6387,506298,6335
80,521880,6387,512633,6335
81,528267,6387,518968,6335
