variant,cores,core,pipe,op_count,busy_cycles,first_start,last_end,internal_idle_cycles,max_internal_gap,idle_over_whole_makespan
direct,2,0,PIPE_MTE2,4583,4992881,0,9259658,4266777,5981,4267345
direct,2,0,PIPE_MTE3,4575,4906220,4900,9259711,4348591,4330,4354006
direct,2,0,PIPE_V,8996,3857468,1094,9259710,5401148,2188,5402758
direct,2,1,PIPE_MTE2,4585,4992986,0,9260212,4267226,5968,4267240
direct,2,1,PIPE_MTE3,4574,4906364,4900,9260226,4348962,4288,4353862
direct,2,1,PIPE_V,8999,3857507,1094,9260225,5401624,2188,5402719
direct,4,0,PIPE_MTE2,623,11600,0,2250108,2238508,6871,2239087
direct,4,0,PIPE_MTE3,916,917,11280,2250142,2237945,8483,2249770
direct,4,0,PIPE_V,3975,1921935,2188,2250141,326018,1664,328752
direct,4,1,PIPE_MTE2,338,14084,0,2243841,2229757,7347,2236603
direct,4,1,PIPE_MTE3,918,923,10756,2250130,2238451,7997,2249764
direct,4,1,PIPE_V,3691,1918243,2188,2250129,329698,1664,332444
direct,4,2,PIPE_MTE2,1512,13006,0,2250673,2237667,7435,2237681
direct,4,2,PIPE_MTE3,1065,1070,11280,2250687,2238337,7402,2249617
direct,4,2,PIPE_V,5158,1937314,2188,2250686,311184,1664,313373
direct,4,3,PIPE_MTE2,1371,12349,0,2250107,2237758,6865,2238338
direct,4,3,PIPE_MTE3,918,924,10756,2250172,2238492,8422,2249763
direct,4,3,PIPE_V,5171,1937483,2188,2250171,310500,2044,313204
direct,5,0,PIPE_MTE2,620,10470,0,2233285,2222815,7846,2230152
direct,5,0,PIPE_MTE3,1369,1373,10756,2239587,2227458,7924,2239249
direct,5,0,PIPE_V,4114,1919654,2735,2239586,317197,2211,320968
direct,5,1,PIPE_MTE2,618,9378,0,2240608,2231230,7837,2231244
direct,5,1,PIPE_MTE3,1364,1521,10756,2240622,2228345,6792,2239101
direct,5,1,PIPE_V,4115,1921711,2735,2240621,316175,2211,318911
direct,5,2,PIPE_MTE2,1522,10282,0,2240092,2229810,6785,2230340
direct,5,2,PIPE_MTE3,621,625,8614,2240107,2230868,6856,2239997
direct,5,2,PIPE_V,3665,1300617,2735,2240106,936754,2211,940005
direct,5,3,PIPE_MTE2,1064,6543,0,2238497,2231954,6332,2234079
direct,5,3,PIPE_MTE3,758,758,9653,2238511,2228100,8980,2239864
direct,5,3,PIPE_V,3050,1286490,2735,2238510,949285,2622,954132
direct,5,4,PIPE_MTE2,1069,6699,0,2239566,2232867,6887,2233923
direct,5,4,PIPE_MTE3,762,762,9138,2239591,2229691,5755,2239860
direct,5,4,PIPE_V,3051,1286503,2735,2239590,950352,2696,954119
vector,2,0,PIPE_MTE2,616,7175,0,4170736,4163561,10532,4163575
vector,2,0,PIPE_MTE3,610,610,13735,4170750,4156405,12640,4170140
vector,2,0,PIPE_V,9150,3859470,1094,4170749,310185,1017,311280
vector,2,1,PIPE_MTE2,615,7174,0,4170221,4163047,12640,4163576
vector,2,1,PIPE_MTE3,610,612,5299,4170235,4164324,8948,4170138
vector,2,1,PIPE_V,8845,3855505,1094,4170234,313635,1017,315245
vector,4,0,PIPE_MTE2,613,7178,0,2552256,2545078,4205,2545092
vector,4,0,PIPE_MTE3,913,913,10221,2552270,2541136,8359,2551357
vector,4,0,PIPE_V,4880,1933700,2188,2552269,616381,2022,618570
vector,4,1,PIPE_MTE2,612,7176,0,2549117,2541941,4707,2545094
vector,4,1,PIPE_MTE3,610,615,4284,2550724,2545825,4399,2551655
vector,4,1,PIPE_V,4270,1925770,2188,2550723,622765,2048,626500
vector,4,2,PIPE_MTE2,1222,7787,0,2551741,2543954,4192,2544483
vector,4,2,PIPE_MTE3,915,919,6487,2551755,2544349,5222,2551351
vector,4,2,PIPE_V,4575,1929735,2188,2551754,619831,1018,622535
vector,4,3,PIPE_MTE2,612,7176,0,2551226,2544050,6814,2545094
vector,4,3,PIPE_MTE3,610,615,4284,2551240,2546341,4901,2551655
vector,4,3,PIPE_V,4270,1925770,2188,2551239,623281,1534,626500
vector,5,0,PIPE_MTE2,611,6082,0,2241569,2235487,4707,2237625
vector,5,0,PIPE_MTE3,305,305,8098,2241583,2233180,7346,2243402
vector,5,0,PIPE_V,3050,1286490,2735,2241582,952357,2626,957217
vector,5,1,PIPE_MTE2,306,5776,0,2236862,2231086,7346,2237931
vector,5,1,PIPE_MTE3,305,306,7581,2241068,2233181,7346,2243401
vector,5,1,PIPE_V,2745,1282525,2735,2241067,955807,3142,961182
vector,5,2,PIPE_MTE2,918,7482,0,2243681,2236199,4217,2236225
vector,5,2,PIPE_MTE3,1217,1217,10218,2243707,2232272,7343,2242490
vector,5,2,PIPE_V,5185,1937665,2735,2243706,303306,994,306042
vector,5,3,PIPE_MTE2,611,6083,0,2239462,2233379,5246,2237624
vector,5,3,PIPE_MTE3,610,617,4831,2241069,2235621,5237,2243090
vector,5,3,PIPE_V,2745,1282525,2735,2241068,955808,3142,961182
vector,5,4,PIPE_MTE2,612,7177,0,2241570,2234393,4705,2236530
vector,5,4,PIPE_MTE3,610,616,4831,2243179,2237732,4852,2243091
vector,5,4,PIPE_V,4270,1925770,2735,2243178,314673,1033,317937
