variant,cores,stage,op,op_name,core,start,end,duration,predecessor_ops
direct,2,100,5913,ADD,0,3042070,3042594,524,5912
direct,2,100,5914,RELU,0,3046990,3047514,524,5913
direct,2,100,5915,RELU,0,3055192,3055716,524,5914
direct,2,100,5916,REDUCE,0,3065080,3065604,524,5915
direct,2,100,5917,ADD,1,3042572,3043096,524,5912
direct,2,100,5918,RELU,1,3047492,3048016,524,5917
direct,2,100,5919,RELU,1,3055694,3056218,524,5918
direct,2,100,5920,REDUCE,1,3065582,3066106,524,5919
direct,2,100,5921,ADD,0,3042594,3043118,524,5912
direct,2,100,5922,RELU,0,3047514,3048038,524,5921
direct,2,100,5923,RELU,0,3057402,3057926,524,5922
direct,2,100,5924,REDUCE,0,3066197,3066721,524,5923
direct,2,100,5925,ADD,1,3043096,3043620,524,5912
direct,2,100,5926,RELU,1,3048016,3048540,524,5925
direct,2,100,5927,RELU,1,3057904,3058428,524,5926
direct,2,100,5928,REDUCE,1,3066699,3067223,524,5927
direct,2,100,5929,ADD,0,3043118,3043642,524,5912
direct,2,100,5930,RELU,0,3049724,3050248,524,5929
direct,2,100,5931,RELU,0,3059612,3060136,524,5930
direct,2,100,5932,REDUCE,0,3067314,3067838,524,5931
direct,2,100,5933,ADD,1,3043620,3044144,524,5912
direct,2,100,5934,RELU,1,3050226,3050750,524,5933
direct,2,100,5935,RELU,1,3060114,3060638,524,5934
direct,2,100,5936,REDUCE,1,3067816,3068340,524,5935
direct,2,100,5937,ADD,0,3044234,3044758,524,5912
direct,2,100,5938,RELU,0,3051934,3052458,524,5937
direct,2,100,5939,RELU,0,3061822,3062346,524,5938
direct,2,100,5940,REDUCE,0,3067838,3068362,524,5939
direct,2,100,5941,ADD,1,3044736,3045260,524,5912
direct,2,100,5942,RELU,1,3052436,3052960,524,5941
direct,2,100,5943,RELU,1,3062324,3062848,524,5942
direct,2,100,5944,REDUCE,1,3068340,3068864,524,5943
direct,2,100,5945,ADD,0,3045350,3045874,524,5912
direct,2,100,5946,RELU,0,3054144,3054668,524,5945
direct,2,100,5947,RELU,0,3062346,3062870,524,5946
direct,2,100,5948,REDUCE,0,3068362,3068886,524,5947
direct,2,100,5949,ADD,1,3045852,3046376,524,5912
direct,2,100,5950,RELU,1,3054646,3055170,524,5949
direct,2,100,5951,RELU,1,3062848,3063372,524,5950
direct,2,100,5952,REDUCE,1,3068864,3069388,524,5951
direct,2,100,5953,ADD,0,3046466,3046990,524,5912
direct,2,100,5954,RELU,0,3054668,3055192,524,5953
direct,2,100,5955,RELU,0,3062870,3063394,524,5954
direct,2,100,5956,REDUCE,0,3068886,3069410,524,5955
direct,2,100,5957,ADD,1,3046968,3047492,524,5912
direct,2,100,5958,RELU,1,3055170,3055694,524,5957
direct,2,100,5959,RELU,1,3063372,3063896,524,5958
direct,2,100,5960,REDUCE,1,3069388,3069912,524,5959
direct,2,100,5961,ADD,0,3069410,3069423,13,5916;5920
direct,2,100,5962,ADD,0,3069423,3069436,13,5924;5928
direct,2,100,5963,ADD,0,3069436,3069449,13,5932;5936
direct,2,100,5964,ADD,0,3069449,3069462,13,5940;5944
direct,2,100,5965,ADD,0,3069890,3069903,13,5948;5952
direct,2,100,5966,ADD,1,3069912,3069925,13,5956;5960
direct,2,100,5967,ADD,0,3069903,3069916,13,5961;5962
direct,2,100,5968,ADD,0,3069916,3069929,13,5963;5964
direct,2,100,5969,ADD,1,3070405,3070418,13,5965;5966
direct,2,100,5970,ADD,0,3069929,3069942,13,5967;5968
direct,2,100,5971,ADD,1,3070444,3070457,13,5969;5970
direct,4,100,5913,ADD,0,744848,745372,524,5912
direct,4,100,5914,RELU,0,746420,746944,524,5913
direct,4,100,5915,RELU,0,747992,748516,524,5914
direct,4,100,5916,REDUCE,0,749564,750088,524,5915
direct,4,100,5917,ADD,1,744849,745373,524,5912
direct,4,100,5918,RELU,1,746421,746945,524,5917
direct,4,100,5919,RELU,1,747993,748517,524,5918
direct,4,100,5920,REDUCE,1,749565,750089,524,5919
direct,4,100,5921,ADD,2,744850,745374,524,5912
direct,4,100,5922,RELU,2,746422,746946,524,5921
direct,4,100,5923,RELU,2,747994,748518,524,5922
direct,4,100,5924,REDUCE,2,749566,750090,524,5923
direct,4,100,5925,ADD,3,744346,744870,524,5912
direct,4,100,5926,RELU,3,745918,746442,524,5925
direct,4,100,5927,RELU,3,747490,748014,524,5926
direct,4,100,5928,REDUCE,3,749062,749586,524,5927
direct,4,100,5929,ADD,3,744870,745394,524,5912
direct,4,100,5930,RELU,3,746442,746966,524,5929
direct,4,100,5931,RELU,3,748014,748538,524,5930
direct,4,100,5932,REDUCE,3,749586,750110,524,5931
direct,4,100,5933,ADD,0,745372,745896,524,5912
direct,4,100,5934,RELU,0,746944,747468,524,5933
direct,4,100,5935,RELU,0,748516,749040,524,5934
direct,4,100,5936,REDUCE,0,750088,750612,524,5935
direct,4,100,5937,ADD,1,745373,745897,524,5912
direct,4,100,5938,RELU,1,746945,747469,524,5937
direct,4,100,5939,RELU,1,748517,749041,524,5938
direct,4,100,5940,REDUCE,1,750089,750613,524,5939
direct,4,100,5941,ADD,3,745394,745918,524,5912
direct,4,100,5942,RELU,3,746966,747490,524,5941
direct,4,100,5943,RELU,3,748538,749062,524,5942
direct,4,100,5944,REDUCE,3,750110,750634,524,5943
direct,4,100,5945,ADD,2,745374,745898,524,5912
direct,4,100,5946,RELU,2,746946,747470,524,5945
direct,4,100,5947,RELU,2,748518,749042,524,5946
direct,4,100,5948,REDUCE,2,750090,750614,524,5947
direct,4,100,5949,ADD,0,745896,746420,524,5912
direct,4,100,5950,RELU,0,747468,747992,524,5949
direct,4,100,5951,RELU,0,749040,749564,524,5950
direct,4,100,5952,REDUCE,0,750612,751136,524,5951
direct,4,100,5953,ADD,1,745897,746421,524,5912
direct,4,100,5954,RELU,1,747469,747993,524,5953
direct,4,100,5955,RELU,1,749041,749565,524,5954
direct,4,100,5956,REDUCE,1,750613,751137,524,5955
direct,4,100,5957,ADD,2,745898,746422,524,5912
direct,4,100,5958,RELU,2,747470,747994,524,5957
direct,4,100,5959,RELU,2,749042,749566,524,5958
direct,4,100,5960,REDUCE,2,750614,751138,524,5959
direct,4,100,5961,ADD,3,750634,750647,13,5916;5920
direct,4,100,5962,ADD,3,750647,750660,13,5924;5928
direct,4,100,5963,ADD,3,751114,751127,13,5932;5936
direct,4,100,5964,ADD,3,751127,751140,13,5940;5944
direct,4,100,5965,ADD,0,751136,751149,13,5948;5952
direct,4,100,5966,ADD,2,751639,751652,13,5956;5960
direct,4,100,5967,ADD,3,751140,751153,13,5961;5962
direct,4,100,5968,ADD,3,751153,751166,13,5963;5964
direct,4,100,5969,ADD,2,751652,751665,13,5965;5966
direct,4,100,5970,ADD,3,751166,751179,13,5967;5968
direct,4,100,5971,ADD,2,751681,751694,13,5969;5970
direct,5,100,5913,ADD,0,739508,740032,524,5912
direct,5,100,5914,RELU,0,741080,741604,524,5913
direct,5,100,5915,RELU,0,742652,743176,524,5914
direct,5,100,5916,REDUCE,0,744224,744748,524,5915
direct,5,100,5917,ADD,1,740010,740534,524,5912
direct,5,100,5918,RELU,1,741582,742106,524,5917
direct,5,100,5919,RELU,1,743154,743678,524,5918
direct,5,100,5920,REDUCE,1,744726,745250,524,5919
direct,5,100,5921,ADD,2,740011,740535,524,5912
direct,5,100,5922,RELU,2,741059,741583,524,5921
direct,5,100,5923,RELU,2,742107,742631,524,5922
direct,5,100,5924,REDUCE,2,743155,743679,524,5923
direct,5,100,5925,ADD,3,740012,740536,524,5912
direct,5,100,5926,RELU,3,741060,741584,524,5925
direct,5,100,5927,RELU,3,742108,742632,524,5926
direct,5,100,5928,REDUCE,3,743156,743680,524,5927
direct,5,100,5929,ADD,4,740013,740537,524,5912
direct,5,100,5930,RELU,4,741061,741585,524,5929
direct,5,100,5931,RELU,4,742109,742633,524,5930
direct,5,100,5932,REDUCE,4,743157,743681,524,5931
direct,5,100,5933,ADD,0,740032,740556,524,5912
direct,5,100,5934,RELU,0,741604,742128,524,5933
direct,5,100,5935,RELU,0,743176,743700,524,5934
direct,5,100,5936,REDUCE,0,744748,745272,524,5935
direct,5,100,5937,ADD,1,740534,741058,524,5912
direct,5,100,5938,RELU,1,742106,742630,524,5937
direct,5,100,5939,RELU,1,743678,744202,524,5938
direct,5,100,5940,REDUCE,1,745250,745774,524,5939
direct,5,100,5941,ADD,2,740535,741059,524,5912
direct,5,100,5942,RELU,2,741583,742107,524,5941
direct,5,100,5943,RELU,2,742631,743155,524,5942
direct,5,100,5944,REDUCE,2,743679,744203,524,5943
direct,5,100,5945,ADD,3,740536,741060,524,5912
direct,5,100,5946,RELU,3,741584,742108,524,5945
direct,5,100,5947,RELU,3,742632,743156,524,5946
direct,5,100,5948,REDUCE,3,743680,744204,524,5947
direct,5,100,5949,ADD,4,740537,741061,524,5912
direct,5,100,5950,RELU,4,741585,742109,524,5949
direct,5,100,5951,RELU,4,742633,743157,524,5950
direct,5,100,5952,REDUCE,4,743681,744205,524,5951
direct,5,100,5953,ADD,0,740556,741080,524,5912
direct,5,100,5954,RELU,0,742128,742652,524,5953
direct,5,100,5955,RELU,0,743700,744224,524,5954
direct,5,100,5956,REDUCE,0,745272,745796,524,5955
direct,5,100,5957,ADD,1,741058,741582,524,5912
