variant,cores,stage,root,root_core,root_start,root_end,period_from_previous_root,first_compute_start
direct,2,0,71,1,37258,37271,,1094
direct,2,1,130,0,68541,68554,31283,37271
direct,2,2,189,1,96928,96941,28387,68554
direct,2,3,248,0,129225,129238,32297,96941
direct,2,4,307,1,157612,157625,28387,129238
direct,2,5,366,0,189909,189922,32297,157625
direct,2,6,425,1,218296,218309,28387,189922
direct,2,7,484,0,250593,250606,32297,218309
direct,2,8,543,1,278980,278993,28387,250606
direct,2,9,602,0,311277,311290,32297,278993
direct,2,10,661,1,339664,339677,28387,311290
direct,2,11,720,0,371961,371974,32297,339677
direct,2,12,779,1,400348,400361,28387,371974
direct,2,13,838,0,432645,432658,32297,400361
direct,2,14,897,1,461032,461045,28387,432658
direct,2,15,956,0,493329,493342,32297,461045
direct,2,16,1015,1,521716,521729,28387,493342
direct,2,17,1074,0,554013,554026,32297,521729
direct,2,18,1133,1,582400,582413,28387,554026
direct,2,19,1192,0,614697,614710,32297,582413
direct,2,20,1251,1,643084,643097,28387,614710
direct,2,21,1310,0,675381,675394,32297,643097
direct,2,22,1369,1,703768,703781,28387,675394
direct,2,23,1428,0,736065,736078,32297,703781
direct,2,24,1487,1,764452,764465,28387,736078
direct,2,25,1546,0,796749,796762,32297,764465
direct,2,26,1605,1,825136,825149,28387,796762
direct,2,27,1664,0,857433,857446,32297,825149
direct,2,28,1723,1,885820,885833,28387,857446
direct,2,29,1782,0,918117,918130,32297,885833
direct,2,30,1841,1,946504,946517,28387,918130
direct,2,31,1900,0,978801,978814,32297,946517
direct,2,32,1959,1,1007188,1007201,28387,978814
direct,2,33,2018,0,1039485,1039498,32297,1007201
direct,2,34,2077,1,1067872,1067885,28387,1039498
direct,2,35,2136,0,1100169,1100182,32297,1067885
direct,2,36,2195,1,1128556,1128569,28387,1100182
direct,2,37,2254,0,1160853,1160866,32297,1128569
direct,2,38,2313,1,1189240,1189253,28387,1160866
direct,2,39,2372,0,1221537,1221550,32297,1189253
direct,2,40,2431,1,1249924,1249937,28387,1221550
direct,2,41,2490,0,1282221,1282234,32297,1249937
direct,2,42,2549,1,1310608,1310621,28387,1282234
direct,2,43,2608,0,1342905,1342918,32297,1310621
direct,2,44,2667,1,1371292,1371305,28387,1342918
direct,2,45,2726,0,1403589,1403602,32297,1371305
direct,2,46,2785,1,1431976,1431989,28387,1403602
direct,2,47,2844,0,1464273,1464286,32297,1431989
direct,2,48,2903,1,1492660,1492673,28387,1464286
direct,2,49,2962,0,1524957,1524970,32297,1492673
direct,2,50,3021,1,1553344,1553357,28387,1524970
direct,2,51,3080,0,1585641,1585654,32297,1553357
direct,2,52,3139,1,1614028,1614041,28387,1585654
direct,2,53,3198,0,1646325,1646338,32297,1614041
direct,2,54,3257,1,1674712,1674725,28387,1646338
direct,2,55,3316,0,1707009,1707022,32297,1674725
direct,2,56,3375,1,1735396,1735409,28387,1707022
direct,2,57,3434,0,1767693,1767706,32297,1735409
direct,2,58,3493,1,1796080,1796093,28387,1767706
direct,2,59,3552,0,1828377,1828390,32297,1796093
direct,2,60,3611,1,1856764,1856777,28387,1828390
direct,2,61,3670,0,1889061,1889074,32297,1856777
direct,2,62,3729,1,1917448,1917461,28387,1889074
direct,2,63,3788,0,1949745,1949758,32297,1917461
direct,2,64,3847,1,1978132,1978145,28387,1949758
direct,2,65,3906,0,2010429,2010442,32297,1978145
direct,2,66,3965,1,2038816,2038829,28387,2010442
direct,2,67,4024,0,2071113,2071126,32297,2038829
direct,2,68,4083,1,2099500,2099513,28387,2071126
direct,2,69,4142,0,2131797,2131810,32297,2099513
direct,2,70,4201,1,2160184,2160197,28387,2131810
direct,2,71,4260,0,2192481,2192494,32297,2160197
direct,2,72,4319,1,2220868,2220881,28387,2192494
direct,2,73,4378,0,2253165,2253178,32297,2220881
direct,2,74,4437,1,2281552,2281565,28387,2253178
direct,2,75,4496,0,2313849,2313862,32297,2281565
direct,2,76,4555,1,2342236,2342249,28387,2313862
direct,2,77,4614,0,2374533,2374546,32297,2342249
direct,2,78,4673,1,2402920,2402933,28387,2374546
direct,2,79,4732,0,2435217,2435230,32297,2402933
direct,2,80,4791,1,2463604,2463617,28387,2435230
direct,2,81,4850,0,2495901,2495914,32297,2463617
direct,2,82,4909,1,2524288,2524301,28387,2495914
direct,2,83,4968,0,2556585,2556598,32297,2524301
direct,2,84,5027,1,2584972,2584985,28387,2556598
direct,2,85,5086,0,2617269,2617282,32297,2584985
direct,2,86,5145,1,2645656,2645669,28387,2617282
direct,2,87,5204,0,2677953,2677966,32297,2645669
direct,2,88,5263,1,2706340,2706353,28387,2677966
direct,2,89,5322,0,2738637,2738650,32297,2706353
direct,2,90,5381,1,2767024,2767037,28387,2738650
direct,2,91,5440,0,2799321,2799334,32297,2767037
direct,2,92,5499,1,2827708,2827721,28387,2799334
direct,2,93,5558,0,2860005,2860018,32297,2827721
direct,2,94,5617,1,2888392,2888405,28387,2860018
direct,2,95,5676,0,2920689,2920702,32297,2888405
direct,2,96,5735,1,2949076,2949089,28387,2920702
direct,2,97,5794,0,2981373,2981386,32297,2949089
direct,2,98,5853,1,3009760,3009773,28387,2981386
direct,2,99,5912,0,3042057,3042070,32297,3009773
direct,2,100,5971,1,3070444,3070457,28387,3042070
direct,2,101,6030,0,3102741,3102754,32297,3070457
direct,2,102,6089,1,3131128,3131141,28387,3102754
direct,2,103,6148,0,3163425,3163438,32297,3131141
direct,2,104,6207,1,3191812,3191825,28387,3163438
direct,2,105,6266,0,3224109,3224122,32297,3191825
direct,2,106,6325,1,3252496,3252509,28387,3224122
direct,2,107,6384,0,3284793,3284806,32297,3252509
