case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256
001,2,116868,233110,1.9946435294520313,1152,0,0.8596847000007983,1.2203852999991796,results/a/q2-yuanzhifang/feedback-20260924/round14d/001-gap_packet/run.json,a917425d7e47c00d68f38d39df11d120ef016406bccb506178e4e8be28e9c06d,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202
002,2,126790,261945,2.065975234639956,552960,0,1.5769742999982554,2.4922509000025457,results/a/q2-yuanzhifang/feedback-20260924/round14d/002-gap_packet/run.json,22ffcd7028223b1e6cc5bcc6e4d1c6b46bf1354a304423ed3657f1e878fd5302,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754
003,2,248166,602212,2.4266499036934954,5067158,0,4.321381299996574,10.998637599997892,results/a/q2-yuanzhifang/feedback-20260924/round13a/003-gap_packet/run.json,3e41961f822a8b27730bfc7102b76ab8046167ee7e9677a28691920f90f79110,ef488a35e99ccd3cd797e8b0dbf2c7d1a9d5bc6feff8206e071747dc01c8b36b
004,2,198374,392357,1.9778650427979474,3560448,1744896,1.024978999997984,2.145152199998847,results/a/q2-yuanzhifang/feedback-20260924/round14d/004-gap_packet/run.json,55a1256e75cceeaffcefb910fa66588404d552b94a9f212908bfbedbf2dfe7f7,a2fb836bdffe6f71dc4464a8670ac68aaa201a6a561b1eebef97dd42ac09148c
005,2,44859,95618,2.1315232171916447,1574662,0,1.841805200001545,3.0710784000002604,results/a/q2-yuanzhifang/feedback-20260924/round13a/005-gap_packet/run.json,d0057957a643068b7ea41e434d556ae792976b6bea2d157ab117a1f08ed2fd85,bda37a23605f3460f42810691f801e1fa334195c1b8f78f72c34200ac5360668
006,2,37863,82837,2.187808678657264,523810,0,0.7304932000006374,0.737416399999347,results/a/q2-yuanzhifang/feedback-20260924/round14d/006-gap_packet/run.json,634d385616221373e1a0e8bec53c3381b4d7262b2f89484157b91bde7603ab47,ac73c133b6828c9e4eaa9fb3430b84183eb9907055ee2c3de0df346759affc0c
007,2,490466,1012562,2.0644896893974303,10089984,5799936,1.9028335999973933,3.1851727000030223,results/a/q2-yuanzhifang/feedback-20260924/round14d/007-gap_packet/run.json,6a4ab46604589234faeb39c6355371290217d8f06f9449b7fcb3e4f6e5fa5845,d6f00fedd7ee7f3674672405e51f66af818b8c02c4fd8ee8a95adbf03ff0f699
008,2,275626,487605,1.7690820169359929,9068544,9068544,1.1690818000024592,1.7232936000000336,results/a/q2-yuanzhifang/feedback-20260924/round14d/008-gap_packet/run.json,8968323c3c186bf18edbb9dcad164bc5edf8a910eb35e1a472115614313b9687,bfd778e7401f0f5b8e9a11a3d9fb33fd60194008a53de967b0c10605684c5530
009,2,64747,153261,2.3670749223902265,1000842,0,3.024171999997634,4.809454900001583,results/a/q2-yuanzhifang/feedback-20260924/round14d/009-gap_packet/run.json,3039bda14ce234ec357444f8c814963e17a6b0d7de93e94952f1f60320535f4d,333ea76e0a9fe56ca10f27ecc42adee48c562b13d918c8e0e335d7ec125428ca
010,2,29542,86969,2.943910364904204,342412,0,1.170225500001834,1.3694198000011966,results/a/q2-yuanzhifang/feedback-20260924/round14d/010-gap_packet/run.json,4030b8dc72c536410cba137ab76e7e0196636a9aa7d9669592316fa961386e6f,c94dc29770a18aa943e05f7c083ad2dda65944ad75f533d93f9bcdaadcd35084
