case_id,cores,makespan_cycles,baseline_cycles,speedup,extra_ddr_bytes,spill_bytes,solver_wall_seconds,E0_wall_seconds,run_path,result_sha256,baseline_receipt_sha256,previous_best_cycles,previous_algorithm,previous_speedup,quality_change
001,4,78028,233110,2.9875173014815193,626048,622592,0.9383589000008214,1.4036611999999877,results/a/q2-yuanzhifang/feedback-20260924/round5a/001-tensor_packet/run.json,b9b53432d586d289ded8b46a0bfcecc022515fd7cd988d62e66a943f5fd2a37a,543f3aa0bc9c0c9b3bfe43e16bec1c5e055a3a4cb6c14cb827872efef6024202,58984,q2-contiguous-baseline,3.952088702020887,worse
002,4,67136,261945,3.9017069828408006,583680,0,0.8102565999997751,1.2749676999992516,results/a/q2-yuanzhifang/feedback-20260924/round4/002-tensor_packet/run.json,e47b0c3c8099477ad294b31a41b140f44a83a6a1ba16f181009e5992a6a297ab,2a2ab785561ec2a8b15bda6114526978ac251260d9fd3338ab78464e3d376754,72056,q2-fixed-assignment-priority,3.6352975463528368,better
003,4,514387,602212,1.1707372075888387,294912,0,2.036682199999632,16.16750139999931,results/a/q2-yuanzhifang/feedback-20260924/round5a/003-tensor_packet/run.json,7e1e83c5528a63d0928b6c3c5d56c8ac58d7d6129b17b603e329ca4fb2907896,ef488a35e99ccd3cd797e8b0dbf2c7d1a9d5bc6feff8206e071747dc01c8b36b,595214,q2-contiguous-baseline,1.0117571159280527,better
004,4,100636,392357,3.8987737986406454,1474560,1142784,1.2654414999997243,2.0171540999999706,results/a/q2-yuanzhifang/feedback-20260924/round5a/004-tensor_packet/run.json,2afdfa80db2d2009e44bf203b4666a62d37296193cdd66868037a96d0ab4940b,a2fb836bdffe6f71dc4464a8670ac68aaa201a6a561b1eebef97dd42ac09148c,113282,q2-contiguous-baseline,3.463542310340566,better
005,4,64838,95618,1.4747216138684105,2327314,0,4.1877368000004935,4.46896679999918,results/a/q2-yuanzhifang/feedback-20260924/round5a/005-tensor_packet/run.json,dad59e4845e35f1e508dd980887b8a5363e57ea82c0b73f1f59d06a6e597de1e,bda37a23605f3460f42810691f801e1fa334195c1b8f78f72c34200ac5360668,95087,q2-contiguous-baseline,1.005584359586484,better
006,4,31425,82837,2.636022275258552,33536,0,0.8291234999996959,0.9120352000009007,results/a/q2-yuanzhifang/feedback-20260924/round5a/006-tensor_packet/run.json,a5c18fefaa8c4811b4181406d35a2685249cb7d8c260028356de2575d860c3bd,ac73c133b6828c9e4eaa9fb3430b84183eb9907055ee2c3de0df346759affc0c,49336,q2-contiguous-baseline,1.6790376195881305,better
007,4,417689,1012562,2.4242007809638273,11810304,11727360,1.3380965999986074,5.887221599999975,results/a/q2-yuanzhifang/feedback-20260924/round5a/007-tensor_packet/run.json,3d78a698415493b0dab8a8fc6b6653952a3cb480bc3f333f56a7600a45f204c9,d6f00fedd7ee7f3674672405e51f66af818b8c02c4fd8ee8a95adbf03ff0f699,259822,q2-contiguous-baseline,3.8971372709008474,worse
008,4,63768,487605,7.646546857357922,0,0,1.972537800000282,2.848405200000343,results/a/q2-yuanzhifang/feedback-20260924/round5a/008-tensor_packet/run.json,ad51c71b75b065dae5bfc0f7de998577a963b8463d6b84ce32276169eaca5183,bfd778e7401f0f5b8e9a11a3d9fb33fd60194008a53de967b0c10605684c5530,63768,q2-structural-portfolio,7.646546857357922,equal
009,4,87361,153261,1.7543411819919643,24576,0,2.540816200000336,6.296676699999807,results/a/q2-yuanzhifang/feedback-20260924/round5a/009-tensor_packet/run.json,2eb0fb69e5410129ccd2b1f95bc7b67b530412acb12069262043c888db48c2b8,333ea76e0a9fe56ca10f27ecc42adee48c562b13d918c8e0e335d7ec125428ca,133204,q2-contiguous-baseline,1.150573556349659,better
010,4,29928,86969,2.905940924886394,86400,0,0.8645379999998113,1.8252280999986397,results/a/q2-yuanzhifang/feedback-20260924/round5a/010-tensor_packet/run.json,f2c3cf9032217c864cbff98c38a87d77772a85c30d98d45102244c012beaadb9,c94dc29770a18aa943e05f7c083ad2dda65944ad75f533d93f9bcdaadcd35084,40963,q2-contiguous-baseline,2.1231111002612115,better
