case_id,cores,full_contiguous_cycles,singlecore_cycles,speedup_B_over_M,speedup_over_k,known_reported_envelope_cycles,envelope_source,contiguous_over_known_envelope,extra_ddr_bytes,spill_bytes,eligible_ops,weak_components,max_component_ops,largest_component_fraction,homogeneous_word_guard,structure_class
001,1,233110,233110,1.0,1.0,233110,contiguous-full500,1.0,0,0,600,200,3,0.005,False,multiple-components
002,1,261945,261945,1.0,1.0,261945,contiguous-full500,1.0,0,0,1798,1,1798,1.0,False,single-component
003,1,602212,602212,1.0,1.0,602212,contiguous-full500,1.0,0,0,13455,10,13194,0.9806020066889632,False,dominant-component
004,1,392357,392357,1.0,1.0,392357,contiguous-full500,1.0,0,0,777,111,7,0.009009009009009009,False,multiple-components
005,1,95618,95618,1.0,1.0,95618,contiguous-full500,1.0,0,0,4113,1,4113,1.0,False,single-component
006,1,82837,82837,1.0,1.0,82837,contiguous-full500,1.0,16400,16400,678,27,136,0.20058997050147492,False,multiple-components
007,1,1012562,1012562,1.0,1.0,1012562,contiguous-full500,1.0,0,0,3885,555,7,0.0018018018018018018,False,multiple-components
008,1,487605,487605,1.0,1.0,487605,contiguous-full500,1.0,0,0,864,108,8,0.009259259259259259,True,multiple-components
009,1,153261,153261,1.0,1.0,153261,contiguous-full500,1.0,0,0,5671,25,4774,0.8418268383001234,False,dominant-component
010,1,86969,86969,1.0,1.0,86969,contiguous-full500,1.0,0,0,667,36,133,0.19940029985007496,False,multiple-components
011,1,184697,184697,1.0,1.0,184697,contiguous-full500,1.0,0,0,688,16,43,0.0625,False,multiple-components
012,1,59088,59088,1.0,1.0,59088,contiguous-full500,1.0,0,0,972,50,98,0.10082304526748971,False,multiple-components
013,1,263949,263949,1.0,1.0,263949,contiguous-full500,1.0,0,0,1968,246,8,0.0040650406504065045,False,multiple-components
014,1,17698626,17698626,1.0,1.0,17698626,contiguous-full500,1.0,71010720,71010720,35705,1340,124,0.0034729029547682397,False,multiple-components
015,1,177362,177362,1.0,1.0,177362,contiguous-full500,1.0,180256,180256,1013,46,145,0.14313919052319843,False,multiple-components
016,1,7715523,7715523,1.0,1.0,7715523,contiguous-full500,1.0,0,0,17995,1,17995,1.0,False,single-component
017,1,162810,162810,1.0,1.0,162810,contiguous-full500,1.0,22528,22528,1373,60,162,0.11798980335032774,False,multiple-components
018,1,1004367,1004367,1.0,1.0,1004367,contiguous-full500,1.0,1970176,1970176,2727,126,59,0.021635496883021636,False,multiple-components
019,1,81144,81144,1.0,1.0,81144,contiguous-full500,1.0,0,0,647,31,170,0.26275115919629055,False,multiple-components
020,1,532746,532746,1.0,1.0,532746,contiguous-full500,1.0,0,0,7008,288,28,0.003995433789954338,False,multiple-components
021,1,6567937,6567937,1.0,1.0,6567937,contiguous-full500,1.0,4501504,4501504,3920,80,49,0.0125,False,multiple-components
022,1,56780,56780,1.0,1.0,56780,contiguous-full500,1.0,0,0,1356,32,183,0.13495575221238937,False,multiple-components
023,1,122614,122614,1.0,1.0,122614,contiguous-full500,1.0,0,0,1011,43,127,0.12561819980217606,False,multiple-components
024,1,2555343,2555343,1.0,1.0,2555343,contiguous-full500,1.0,0,0,5959,1,5959,1.0,False,single-component
025,1,4863026,4863026,1.0,1.0,4863026,contiguous-full500,1.0,0,0,18662,2666,7,0.00037509377344336085,False,multiple-components
026,1,99203,99203,1.0,1.0,99203,contiguous-full500,1.0,0,0,636,31,198,0.3113207547169811,False,multiple-components
027,1,2363952,2363952,1.0,1.0,2363952,contiguous-full500,1.0,1400832,1400832,1424,16,89,0.0625,False,multiple-components
028,1,43836040,43836040,1.0,1.0,43836040,contiguous-full500,1.0,277412256,277412256,19584,153,128,0.006535947712418301,False,multiple-components
029,1,37555,37555,1.0,1.0,37555,contiguous-full500,1.0,0,0,861,21,41,0.047619047619047616,False,multiple-components
030,1,2808034,2808034,1.0,1.0,2808034,contiguous-full500,1.0,5519360,5519360,10070,486,57,0.005660377358490566,False,multiple-components
031,1,1414369,1414369,1.0,1.0,1414369,contiguous-full500,1.0,3491328,3491328,6135,107,2147,0.34995925020374896,False,multiple-components
032,1,41443,41443,1.0,1.0,41443,contiguous-full500,1.0,0,0,827,25,189,0.22853688029020555,False,multiple-components
033,1,1774196,1774196,1.0,1.0,1774196,contiguous-full500,1.0,4592640,4592640,3465,95,64,0.01847041847041847,False,multiple-components
034,1,842996,842996,1.0,1.0,842996,contiguous-full500,1.0,1079832,1079832,3745,155,94,0.025100133511348464,False,multiple-components
035,1,169571,169571,1.0,1.0,169571,contiguous-full500,1.0,0,0,3857,16,2430,0.6300233341975628,False,multiple-components
036,1,931510,931510,1.0,1.0,931510,contiguous-full500,1.0,0,0,2400,800,3,0.00125,False,multiple-components
037,1,210001,210001,1.0,1.0,210001,contiguous-full500,1.0,0,0,780,20,39,0.05,False,multiple-components
038,1,1364555,1364555,1.0,1.0,1364555,contiguous-full500,1.0,5627904,5627904,5907,130,116,0.019637717961740308,False,multiple-components
039,1,1435262,1435262,1.0,1.0,1435262,contiguous-full500,1.0,7929856,7929856,5250,70,75,0.014285714285714285,False,multiple-components
040,1,253454,253454,1.0,1.0,253454,contiguous-full500,1.0,0,0,3083,28,2194,0.7116445021083361,False,multiple-components
041,1,6003957,6003957,1.0,1.0,6003957,contiguous-full500,1.0,30898176,30898176,16594,494,182,0.010967819693865252,False,multiple-components
042,1,1686740,1686740,1.0,1.0,1686740,contiguous-full500,1.0,6629376,6629376,4733,104,258,0.054510881047961125,False,multiple-components
043,1,677656,677656,1.0,1.0,677656,contiguous-full500,1.0,49160,49160,9309,38,4910,0.5274465570952841,False,multiple-components
044,1,154407,154407,1.0,1.0,154407,contiguous-full500,1.0,4438112,4438112,1364,11,124,0.09090909090909091,False,multiple-components
045,1,125614,125614,1.0,1.0,125614,contiguous-full500,1.0,0,0,1651,68,28,0.016959418534221685,False,multiple-components
046,1,276455,276455,1.0,1.0,276455,contiguous-full500,1.0,3176288,3176288,992,8,124,0.125,False,multiple-components
047,1,326508,326508,1.0,1.0,326508,contiguous-full500,1.0,0,0,13710,1,13710,1.0,False,single-component
048,1,222220,222220,1.0,1.0,222220,contiguous-full500,1.0,0,0,1728,1,1728,1.0,False,single-component
049,1,196276,196276,1.0,1.0,196276,contiguous-full500,1.0,0,0,4303,11,3952,0.918429003021148,False,dominant-component
050,1,149690,149690,1.0,1.0,149690,contiguous-full500,1.0,0,0,4555,23,4011,0.8805708013172339,False,dominant-component
051,1,607628,607628,1.0,1.0,607628,contiguous-full500,1.0,0,0,1416,1,1416,1.0,False,single-component
052,1,180301,180301,1.0,1.0,180301,contiguous-full500,1.0,0,0,1008,52,120,0.11904761904761904,False,multiple-components
053,1,1472686,1472686,1.0,1.0,1472686,contiguous-full500,1.0,5405536,5405536,11670,39,9853,0.8443016281062553,False,dominant-component
054,1,815051,815051,1.0,1.0,815051,contiguous-full500,1.0,0,0,15751,24,15390,0.97708082026538,False,dominant-component
055,1,118835,118835,1.0,1.0,118835,contiguous-full500,1.0,69632,69632,1236,24,183,0.14805825242718446,False,multiple-components
056,1,277285,277285,1.0,1.0,277285,contiguous-full500,1.0,0,0,7678,19,7464,0.9721281583745767,False,dominant-component
057,1,59726,59726,1.0,1.0,59726,contiguous-full500,1.0,94216,94216,865,21,193,0.223121387283237,False,multiple-components
058,1,4539717,4539717,1.0,1.0,4539717,contiguous-full500,1.0,28696576,28696576,16575,255,65,0.00392156862745098,False,multiple-components
059,1,829473,829473,1.0,1.0,829473,contiguous-full500,1.0,1691648,1691648,2752,64,43,0.015625,False,multiple-components
060,1,888789,888789,1.0,1.0,888789,contiguous-full500,1.0,2068520,2068520,5281,89,183,0.03465252793031623,False,multiple-components
061,1,77191,77191,1.0,1.0,77191,contiguous-full500,1.0,0,0,1115,40,167,0.14977578475336323,False,multiple-components
062,1,2854809,2854809,1.0,1.0,2854809,contiguous-full500,1.0,0,0,19636,1,19636,1.0,False,single-component
063,1,1070397,1070397,1.0,1.0,1070397,contiguous-full500,1.0,0,0,7360,1,7360,1.0,False,single-component
064,1,19116,19116,1.0,1.0,19116,contiguous-full500,1.0,0,0,906,1,906,1.0,False,single-component
065,1,53068,53068,1.0,1.0,53068,contiguous-full500,1.0,0,0,704,42,61,0.08664772727272728,False,multiple-components
066,1,359070,359070,1.0,1.0,359070,contiguous-full500,1.0,0,0,5962,28,3675,0.6164038913116404,False,multiple-components
067,1,63834834,63834834,1.0,1.0,63834834,contiguous-full500,1.0,264449408,264449408,8804,71,124,0.014084507042253521,False,multiple-components
068,1,362095,362095,1.0,1.0,362095,contiguous-full500,1.0,0,0,5351,32,4176,0.7804148757241637,False,multiple-components
069,1,25144,25144,1.0,1.0,25144,contiguous-full500,1.0,0,0,1032,1,1032,1.0,False,single-component
070,1,117300,117300,1.0,1.0,117300,contiguous-full500,1.0,0,0,1191,38,285,0.23929471032745592,False,multiple-components
071,1,18919,18919,1.0,1.0,18919,contiguous-full500,1.0,0,0,741,1,741,1.0,False,single-component
072,1,23897828,23897828,1.0,1.0,23897828,contiguous-full500,1.0,108613680,108613680,29666,476,6140,0.2069709431672622,False,multiple-components
073,1,10081626,10081626,1.0,1.0,10081626,contiguous-full500,1.0,141570432,141570432,4836,39,124,0.02564102564102564,False,multiple-components
074,1,1682239,1682239,1.0,1.0,1682239,contiguous-full500,1.0,6070280,6070280,3609,73,269,0.07453588251593239,False,multiple-components
075,1,1441809,1441809,1.0,1.0,1441809,contiguous-full500,1.0,0,0,7410,1,7410,1.0,False,single-component
076,1,6185113,6185113,1.0,1.0,6185113,contiguous-full500,1.0,28280832,28280832,32528,809,122,0.003750614854894245,False,multiple-components
077,1,495320,495320,1.0,1.0,495320,contiguous-full500,1.0,0,0,4486,41,2096,0.4672313865358894,False,multiple-components
078,1,2296143,2296143,1.0,1.0,2296143,contiguous-full500,1.0,12644568,12644568,1024,8,128,0.125,False,multiple-components
079,1,31052251,31052251,1.0,1.0,31052251,contiguous-full500,1.0,32448512,32448512,18720,288,65,0.003472222222222222,False,multiple-components
080,1,292138,292138,1.0,1.0,292138,contiguous-full500,1.0,548864,548864,1098,18,61,0.05555555555555555,False,multiple-components
081,1,151795,151795,1.0,1.0,151795,contiguous-full500,1.0,0,0,3485,85,41,0.011764705882352941,False,multiple-components
082,1,721041,721041,1.0,1.0,721041,contiguous-full500,1.0,0,0,4113,1,4113,1.0,False,single-component
083,1,1057993,1057993,1.0,1.0,1057993,contiguous-full500,1.0,13934688,13934688,3844,31,124,0.03225806451612903,False,multiple-components
084,1,2507412,2507412,1.0,1.0,2507412,contiguous-full500,1.0,0,0,8616,1077,8,0.0009285051067780873,True,multiple-components
085,1,3187899,3187899,1.0,1.0,3187899,contiguous-full500,1.0,0,0,19737,1,19737,1.0,False,single-component
086,1,118403,118403,1.0,1.0,118403,contiguous-full500,1.0,0,0,5274,1,5274,1.0,False,single-component
087,1,3974071,3974071,1.0,1.0,3974071,contiguous-full500,1.0,7902720,7902720,27556,196,12693,0.4606256350704021,False,multiple-components
088,1,243623,243623,1.0,1.0,243623,contiguous-full500,1.0,0,0,3309,31,2798,0.8455726805681475,False,dominant-component
089,1,693092,693092,1.0,1.0,693092,contiguous-full500,1.0,0,0,5120,40,128,0.025,False,multiple-components
090,1,1178363,1178363,1.0,1.0,1178363,contiguous-full500,1.0,21233592,21233592,1664,13,128,0.07692307692307693,False,multiple-components
091,1,9186769,9186769,1.0,1.0,9186769,contiguous-full500,1.0,53947008,53947008,31554,513,147,0.004658680357482411,False,multiple-components
092,1,4815554,4815554,1.0,1.0,4815554,contiguous-full500,1.0,66000096,66000096,17608,142,124,0.007042253521126761,False,multiple-components
093,1,74205,74205,1.0,1.0,74205,contiguous-full500,1.0,0,0,552,69,8,0.014492753623188406,False,multiple-components
094,1,94892,94892,1.0,1.0,94892,contiguous-full500,1.0,0,0,647,40,44,0.06800618238021638,False,multiple-components
095,1,2084853,2084853,1.0,1.0,2084853,contiguous-full500,1.0,0,0,3696,462,8,0.0021645021645021645,True,multiple-components
096,1,84194,84194,1.0,1.0,84194,contiguous-full500,1.0,0,0,1198,50,397,0.3313856427378965,False,multiple-components
097,1,11491509,11491509,1.0,1.0,11491509,contiguous-full500,1.0,10584064,10584064,6592,64,103,0.015625,False,multiple-components
098,1,177430,177430,1.0,1.0,177430,contiguous-full500,1.0,0,0,1365,27,389,0.28498168498168497,False,multiple-components
099,1,1622999,1622999,1.0,1.0,1622999,contiguous-full500,1.0,5484544,5484544,6296,202,117,0.01858322744599746,False,multiple-components
100,1,151223,151223,1.0,1.0,151223,contiguous-full500,1.0,0,0,1394,43,275,0.19727403156384504,False,multiple-components
064,2,19537,19116,0.9784511439832113,0.48922557199160566,19537,contiguous-full500,1.0,17574,0,906,1,906,1.0,False,single-component
040,2,258295,253454,0.9812578640701524,0.4906289320350762,258295,contiguous-full500,1.0,39422,0,3083,28,2194,0.7116445021083361,False,multiple-components
063,2,1084695,1070397,0.986818414392986,0.493409207196493,1084695,contiguous-full500,1.0,1287168,0,7360,1,7360,1.0,False,single-component
048,2,224333,222220,0.9905809666879148,0.4952904833439574,224333,contiguous-full500,1.0,42566,0,1728,1,1728,1.0,False,single-component
071,2,19072,18919,0.9919777684563759,0.49598888422818793,19072,contiguous-full500,1.0,57220,0,741,1,741,1.0,False,single-component
093,2,74717,74205,0.99314747647791,0.496573738238955,74717,contiguous-full500,1.0,20480,0,552,69,8,0.014492753623188406,False,multiple-components
002,2,263397,261945,0.9944874087404184,0.4972437043702092,263397,contiguous-full500,1.0,317952,0,1798,1,1798,1.0,False,single-component
035,2,170436,169571,0.9949247811495224,0.4974623905747612,170436,contiguous-full500,1.0,11370,0,3857,16,2430,0.6300233341975628,False,multiple-components
049,2,196824,196276,0.9972157866926797,0.49860789334633987,196824,contiguous-full500,1.0,90406,0,4303,11,3952,0.918429003021148,False,dominant-component
009,2,153583,153261,0.9979034137892866,0.4989517068946433,153583,contiguous-full500,1.0,24806,0,5671,25,4774,0.8418268383001234,False,dominant-component
051,2,608677,607628,0.9982765900469379,0.49913829502346896,608677,contiguous-full500,1.0,393220,0,1416,1,1416,1.0,False,single-component
043,2,678712,677656,0.9984441117882106,0.4992220558941053,678712,contiguous-full500,1.0,169362,49160,9309,38,4910,0.5274465570952841,False,multiple-components
056,2,277715,277285,0.9984516500729165,0.49922582503645824,277715,contiguous-full500,1.0,90278,0,7678,19,7464,0.9721281583745767,False,dominant-component
024,2,2556939,2555343,0.9993758161614337,0.49968790808071684,2556939,contiguous-full500,1.0,458780,0,5959,1,5959,1.0,False,single-component
050,2,149750,149690,0.9995993322203672,0.4997996661101836,149750,contiguous-full500,1.0,45766,0,4555,23,4011,0.8805708013172339,False,dominant-component
016,2,7717119,7715523,0.9997931870689049,0.4998965935344524,7717119,contiguous-full500,1.0,458780,0,17995,1,17995,1.0,False,single-component
054,2,815025,815051,1.0000319008619367,0.5000159504309684,815025,contiguous-full500,1.0,107686,0,15751,24,15390,0.97708082026538,False,dominant-component
062,2,2853465,2854809,1.0004710063028635,0.5002355031514317,2853465,contiguous-full500,1.0,3445248,0,19636,1,19636,1.0,False,single-component
058,2,4534019,4539717,1.001256721685551,0.5006283608427755,4534019,contiguous-full500,1.0,29253632,26808320,16575,255,65,0.00392156862745098,False,multiple-components
005,2,95477,95618,1.0014767954585921,0.5007383977292961,95477,contiguous-full500,1.0,99558,0,4113,1,4113,1.0,False,single-component
085,2,3180068,3187899,1.0024625259585644,0.5012312629792822,3180068,contiguous-full500,1.0,233222,0,19737,1,19737,1.0,False,single-component
003,2,600717,602212,1.0024886926789154,0.5012443463394577,600717,contiguous-full500,1.0,98950,0,13455,10,13194,0.9806020066889632,False,dominant-component
086,2,118040,118403,1.0030752287360216,0.5015376143680108,118040,contiguous-full500,1.0,115686,0,5274,1,5274,1.0,False,single-component
068,2,359862,362095,1.0062051564210726,0.5031025782105363,359862,contiguous-full500,1.0,60358,0,5351,32,4176,0.7804148757241637,False,multiple-components
047,2,324137,326508,1.007314808244662,0.503657404122331,324137,contiguous-full500,1.0,13382,0,13710,1,13710,1.0,False,single-component
082,2,715304,721041,1.0080203661659937,0.5040101830829968,715304,contiguous-full500,1.0,175878,0,4113,1,4113,1.0,False,single-component
069,2,24923,25144,1.0088673113188622,0.5044336556594311,24923,contiguous-full500,1.0,71044,0,1032,1,1032,1.0,False,single-component
075,2,1427541,1441809,1.0099948092559163,0.5049974046279582,1427541,contiguous-full500,1.0,34950,0,7410,1,7410,1.0,False,single-component
