case,cores,baseline_cycles,lower_bound_cycles,makespan_cycles,speedup,speedup_ceiling,possible_speedup_gain,possible_mean_gain_contribution,possible_relative_makespan_reduction_pct,relative_suboptimality_upper_bound_pct,certified_within_5pct,graph_sha256
001,1,233110,232952,233110,1.0,1.0006782513135752,0.0006782513135752399,6.7825131357524e-06,0.06777916005319407,0.067825131357524,True,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,2,233110,116552,116868,1.9946435294520313,2.000051479168097,0.005407949716065508,5.4079497160655073e-05,0.2703905260635908,0.2711236186423216,True,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,3,233110,77988,78545,2.9678528232223567,2.989049597373955,0.021196774151598152,0.0002119677415159815,0.7091476223820781,0.7142124429399432,True,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,4,233110,58352,58984,3.952088702020887,3.9948930627913355,0.04280436077044847,0.0004280436077044847,1.071477010714772,1.0830819851933127,True,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
001,5,233110,46712,47502,4.9073723211654245,4.990366501113204,0.08299417994777958,0.0008299417994777958,1.6630878699844254,1.6912142490152382,True,a634cd1151c0e918dd3a143eba421b88907f7f0334bfe6a5ca0412342307f09f
002,1,261945,240180,240813,1.0877527376013754,1.0906195353484887,0.002866797747113292,2.8667977471132923e-05,0.26285956322955606,0.26355233574819614,True,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,2,261945,120180,124780,2.0992546882513223,2.179605591612581,0.08035090336125883,0.0008035090336125883,3.6864882192659043,3.8275919454152207,True,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,3,261945,80180,86384,3.0323323763659937,3.266961835869294,0.23462945950330028,0.0023462945950330025,7.181885534358212,7.73759042155151,False,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,4,261945,60180,67942,3.855420800094198,4.352691924227318,0.4972711241331198,0.004972711241331198,11.424450266403696,12.897972748421394,False,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
002,5,261945,48180,59810,4.379618792844006,5.436799501867995,1.0571807090239886,0.010571807090239886,19.44490887811403,24.13864674138646,False,578fceeb9f66a3c083b9f27d8464cf75c1e7602cbc7290920c02aa1aef7ca352
003,1,602212,438894,450981,1.3353378523707207,1.372112628561794,0.03677477619107328,0.0003677477619107328,2.6801572571793497,2.7539679284747542,True,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,2,602212,219498,245150,2.456504181113604,2.7435876408896664,0.28708345977606253,0.0028708345977606253,10.463797674892927,11.686666848900673,False,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,3,602212,146366,195043,3.0875858144101556,4.114425481327631,1.0268396669174753,0.010268396669174753,24.95706075070625,33.257040569531185,False,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,4,602212,109800,172891,3.4831888299564464,5.484626593806921,2.001437763850475,0.02001437763850475,36.49177805669468,57.459927140255004,False,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
003,5,602212,87861,163449,3.6844030859778893,6.854144614789269,3.1697415288113797,0.031697415288113796,46.2456178991612,86.031344965343,False,2c80acfd37edcf811ce76b7e7b1f7194c706bd4d4aa6449e6a19e9eac1028ced
004,1,392357,385644,386363,1.01551390790526,1.017407246061134,0.0018933381558741136,1.8933381558741135e-05,0.18609442415552513,0.18644138117018816,True,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,2,392357,193386,194814,2.0140082334945126,2.0288800637067834,0.014871830212270787,0.00014871830212270787,0.7330068680895585,0.7384195339890098,True,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,3,392357,128568,130725,3.001392235609103,3.051746935473835,0.050354699864731955,0.0005035469986473196,1.650028686173266,1.677711405637483,True,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,4,392357,97272,100074,3.920668705158183,4.03360679332182,0.1129380881636366,0.001129380881636366,2.799928053240597,2.880582284727362,True,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
004,5,392357,77586,83183,4.716793094742917,5.057059263269147,0.34026616852623004,0.0034026616852623004,6.728538283062646,7.213930348258701,False,3e01adde3c4ad143ab3d7faabcf36d849f26b5428e7c8446a7e9f89345a55faa
005,1,95618,63918,71523,1.3368846385078925,1.4959479332895271,0.1590632947816346,0.001590632947816346,10.632943249024784,11.898056885384388,False,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,2,95618,32018,43029,2.222175741941481,2.9863826597538883,0.7642069178124071,0.0076420691781240715,25.58971856190011,34.39003060778312,False,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,3,95618,21416,37450,2.5532176234979973,4.464792678371311,1.911575054873314,0.01911575054873314,42.81441922563418,74.86925663055659,False,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,4,95618,16115,35303,2.7084950287510976,5.933478125969594,3.2249830972184963,0.032249830972184965,54.35232133246466,119.06919019547004,False,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
005,5,95618,12935,33515,2.8529911979710576,7.39219172787012,4.5392005298990625,0.04539200529899062,61.40534089213785,159.1032083494395,False,c2b378c882a3039e3d66bac6cbcba39317107339b6f38d5bce1b09379839799f
006,1,82837,69000,69275,1.1957704799711295,1.200536231884058,0.004765751912928495,4.765751912928495e-05,0.39696860339227813,0.3985507246376807,True,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,2,82837,34500,36868,2.2468536400130192,2.401072463768116,0.15421882375509677,0.0015421882375509677,6.422914180318973,6.863768115942026,False,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,3,82837,23000,26745,3.0972892129369978,3.601608695652174,0.504319482715176,0.00504319482715176,14.002617311647036,16.28260869565217,False,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,4,82837,17250,23478,3.528281795723656,4.802144927536232,1.273863131812576,0.012738631318125759,26.526961410682336,36.10434782608696,False,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
006,5,82837,13800,22471,3.6863957990298606,6.00268115942029,2.3162853603904296,0.023162853603904295,38.587512794268164,62.83333333333334,False,c68392cd599b63039669ca54360ab21b514c41285151cd69180ee9be99af1a48
007,1,1012562,979056,979262,1.0340051998341608,1.0342227615172166,0.00021756168305575585,2.1756168305575584e-06,0.021036249747263813,0.021040675916395024,True,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
007,2,1012562,489804,490226,2.065500401855471,2.0672799732137754,0.0017795713583046435,1.7795713583046434e-05,0.08608274550921946,0.08615691174429507,True,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
007,3,1012562,326376,326994,3.096576695596861,3.102440130401745,0.005863434804883827,5.8634348048838266e-05,0.1889942934732769,0.18935215824693596,True,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
007,4,1012562,245196,246030,4.115603788155916,4.1296024404965825,0.013998652340666773,0.00013998652340666774,0.3389830508474523,0.340136054421758,True,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
007,5,1012562,195840,196870,5.14330268705237,5.170353349673203,0.027050662620832888,0.0002705066262083289,0.5231878904861098,0.5259395424836555,True,6e786044ca1fa5d4632f8b7d03e95364da8d88f4fff5e403d3ab8153da84b518
008,1,487605,250128,250437,1.9470166149570551,1.9494218959892535,0.002405281032198392,2.405281032198392e-05,0.1233843242012922,0.12353674918441637,True,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
008,2,487605,125064,125682,3.8796725068028834,3.898843791978507,0.01917128517562361,0.0001917128517562361,0.4917171910058693,0.4941469967376655,True,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
008,3,487605,83376,84303,5.783957866268104,5.848265687967761,0.06430782169965621,0.000643078216996562,1.0996049962634813,1.1118307426597474,True,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
008,4,487605,62532,63768,7.646546857357922,7.797687583957014,0.15114072659909183,0.0015114072659909183,1.9382762514113638,1.9765879869506842,True,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
008,5,487605,50952,52291,9.324836013845594,9.569889307583608,0.24505329373801388,0.002450532937380139,2.5606700961924633,2.627963573559433,True,c93bb7ab5deec5112aff0cc001fbd76d001d3de5ea7463fba59b1f1ff2ba3e1d
009,1,153261,119992,120103,1.2760796982589944,1.2772601506767118,0.0011804524177174702,1.1804524177174702e-05,0.09242067225631034,0.09250616707781045,True,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
009,2,153261,59996,63059,2.4304381610872356,2.5545203013534237,0.12408214026618802,0.0012408214026618802,4.857355809638597,5.105340356023724,False,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
009,3,153261,39998,46378,3.3046056319806807,3.8317165858292914,0.5271109538486107,0.005271109538486108,13.756522489111212,15.950797539877005,False,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
009,4,153261,29998,48334,3.1708735051930317,5.109040602706847,1.9381670975138157,0.019381670975138158,37.93602846857284,61.12407493832923,False,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
009,5,153261,23999,51905,2.95272131779212,6.3861410892120505,3.4334197714199304,0.0343341977141993,53.7636065889606,116.27984499354139,False,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a
010,1,86969,55496,57684,1.5076797725539144,1.5671219547354764,0.05944218218156205,0.0005944218218156206,3.7930795367866255,3.9426264956032853,True,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,2,86969,27748,29542,2.943910364904204,3.134243909470953,0.1903335445667489,0.001903335445667489,6.07271003994313,6.465330834654748,False,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,3,86969,18499,21389,4.066061994483146,4.70128115033245,0.6352191558493043,0.0063521915584930436,13.51161812146431,15.622466079247532,False,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,4,86969,13874,19162,4.538618098319591,6.268487818941906,1.7298697206223146,0.017298697206223144,27.596284312702224,38.114458699726114,False,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
010,5,86969,11100,20820,4.17718539865514,7.835045045045045,3.6578596463899054,0.036578596463899056,46.68587896253602,87.56756756756756,False,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775
011,1,184697,184524,184697,1.0,1.0009375474193059,0.0009375474193058508,9.375474193058508e-06,0.09366692474701566,0.09375474193058508,True,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,2,184697,92300,92646,1.9935777043801135,2.001050920910076,0.0074732165299624675,7.473216529962467e-05,0.3734645856270147,0.3748645720476729,True,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,3,184697,61832,69625,2.6527396768402154,2.9870778884719886,0.33433821163177324,0.0033433821163177326,11.19281867145422,12.603506275067922,False,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,4,184697,46188,46880,3.9397824232081913,3.9988092145145924,0.059026791306401094,0.0005902679130640109,1.476109215017063,1.4982246470944816,True,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
011,5,184697,37204,46777,3.9484575753041025,4.964439307601333,1.0159817322972309,0.010159817322972308,20.465185881950532,25.731104182345987,False,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9
012,1,59088,35613,36348,1.6256190161769561,1.6591694044309662,0.03355038825401002,0.0003355038825401002,2.022119511389897,2.0638530873557492,True,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,2,59088,17827,18972,3.1144845034788107,3.31452291467998,0.20003841120116927,0.002000384112011693,6.035209782837869,6.422841756885633,False,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,3,59088,11899,15007,3.9373625641367362,4.965795444995377,1.0284328808586412,0.010284328808586412,20.71033517691744,26.119842003529705,False,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,4,59088,8934,13803,4.280808519886981,6.6138347884486235,2.3330262685616425,0.023330262685616426,35.2749402303847,54.49966420416388,False,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
012,5,59088,7156,12661,4.666929942342627,8.257126886528788,3.590196944186161,0.03590196944186161,43.47997788484322,76.92845164896592,False,1a07d3a4c6d1305bec2fbdc4d106fb5c0078ec098cbf09e1b8eaa5134968e079
013,1,263949,263844,263949,1.0,1.0003979624323465,0.0003979624323464659,3.979624323464659e-06,0.03978041212506778,0.03979624323464659,True,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,2,263949,131988,132198,1.9966187083011846,1.9997954359487227,0.003176727647538069,3.176727647538069e-05,0.1588526301456894,0.15910537321575102,True,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,3,263949,88036,88351,2.98750438591527,2.9981939206688173,0.010689534753547392,0.00010689534753547392,0.356532467091486,0.35780816938524307,True,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,4,263949,66060,66946,3.942715024049234,3.995594913714805,0.05287988966557089,0.0005287988966557089,1.3234547247034878,1.3412049651831737,True,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
013,5,263949,52875,54117,4.8773767947225455,4.991943262411348,0.1145664676888023,0.001145664676888023,2.295027440545483,2.3489361702127676,True,b95d97cf90bdd0fe64a0fd1ecd5a36a7b091ecadef204ef8c6ae430f6ccfac3c
014,1,17698626,17225868,17430036,1.015409606727146,1.0274446547483123,0.012035048021166173,0.00012035048021166172,1.1713573052861137,1.185240708915214,True,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,2,17698626,8612994,8749303,2.0228612496332565,2.0548749946882583,0.03201374505500176,0.0003201374505500176,1.5579412440053786,1.582597178170575,True,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,3,17698626,5742036,5868958,3.0156334395304927,3.082291020118996,0.06665758058850324,0.0006665758058850324,2.1625985396385494,2.210400631413667,True,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,4,17698626,4306557,4478191,3.9521820306458566,4.109692731339676,0.15751070069381923,0.0015751070069381923,3.8326636804906222,3.985411083610413,True,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
014,5,17698626,3445270,3666823,4.826692207395885,5.137079532228244,0.31038732483235876,0.0031038732483235874,6.04209693241261,6.430642591146696,False,e27abb053ac57786e510ba80e60a6ec60a8b0df11b2a818010a1df17c29d94dd
015,1,177362,101497,114569,1.5480801962136355,1.7474605160743668,0.19938031986073135,0.0019938031986073135,11.40971816110815,12.879198399952706,False,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,2,177362,50749,64179,2.76355194066595,3.4948865987507145,0.7313346580847644,0.0073133465808476435,20.925848018822357,26.46357563695836,False,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,3,177362,33833,41333,4.291050734280115,5.242278249046788,0.9512275147666731,0.009512275147666732,18.14530762344858,22.167706085774253,False,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,4,177362,25375,42098,4.213074255309041,6.989635467980295,2.776561212671254,0.02776561212671254,39.72397738609911,65.90344827586208,False,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
015,5,177362,20300,40828,4.344126579798178,8.73704433497537,4.392917755177192,0.04392917755177192,50.2792201430391,101.12315270935959,False,d27dfc39289fa442f29f597191ab6b05142ce6ad68b4396056b2adccb9c93253
016,1,7715523,7714975,7715523,1.0,1.0000710306903133,7.103069031333398e-05,7.103069031333398e-07,0.007102564531269451,0.007103069031333398,True,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,2,7715523,3857494,4023361,1.9176810134611335,2.000138691077679,0.08245767761654532,0.0008245767761654532,4.122597997047739,4.2998641086674505,True,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,3,7715523,2571672,2885946,2.6734814164922005,3.0001971480033225,0.326715731511122,0.00326715731511122,10.889808749020247,12.22060978227395,False,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,4,7715523,1928760,2249997,3.4291259055012073,4.000250419958937,0.5711245144577299,0.005711245144577299,14.277219036292044,16.655104834193992,False,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
016,5,7715523,1543016,2091375,3.6892106867491483,5.000287100068956,1.3110764133198076,0.013110764133198076,26.220022712330405,35.53812792608761,False,76537aa7163cf0748adcff2ecbd84fbc9a02a2d129ffcecd2bfebb89685e71ef
017,1,162810,110641,111608,1.4587663966740736,1.4715159841288492,0.012749587454775613,0.00012749587454775614,0.8664253458533389,0.8739978850516472,True,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,2,162810,55341,56703,2.871276652028993,2.9419417791510813,0.07066512712208839,0.0007066512712208838,2.401989312734776,2.4611047866861746,True,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,3,162810,36908,42129,3.8645588549455243,4.411238755825296,0.5466799008797714,0.005466799008797714,12.392888509102995,14.145984610382566,False,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,4,162810,27691,31517,5.165783545388203,5.879527644360984,0.7137440989727803,0.007137440989727803,12.13948028048355,13.816763569390766,False,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
017,5,162810,22161,28510,5.710627849877236,7.346690131311764,1.636062281434528,0.01636062281434528,22.269379165205194,28.649429177383688,False,282c5840d8e8581fb7827a6d4c996f90384bdfe566ffa665574721568b9dc85c
018,1,1004367,971373,971704,1.0336141458715824,1.0339663548400049,0.00035220896842247384,3.5220896842247386e-06,0.034063871302369986,0.034075478729600484,True,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,2,1004367,485713,488869,2.054470625054974,2.067819885405579,0.013349260350605352,0.0001334926035060535,0.6455717175766873,0.649766425852305,True,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,3,1004367,323827,328555,3.056921976533609,3.1015542249410952,0.04463224840748614,0.00044632248407486144,1.4390284731627845,1.4600388479033555,True,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,4,1004367,242883,248834,4.036293271819767,4.135188547572288,0.098895275752521,0.0009889527575252099,2.3915542088299824,2.450150895698755,True,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
018,5,1004367,194317,196504,5.111178398404104,5.168703716092776,0.05752531768867186,0.0005752531768867187,1.1129544436754513,1.1254805292383097,True,70cf2a124573fe0ccad84b16d902efe7e28938761db791d2f4321ab2e98f0c0a
019,1,81144,48493,51676,1.570245375029027,1.6733136741385355,0.10306829910950843,0.0010306829910950843,6.159532471553531,6.563833955416243,False,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,2,81144,24275,26298,3.0855578370978782,3.3426982492276003,0.25714041212972205,0.0025714041212972203,7.692600197733668,8.333676622039143,False,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,3,81144,16203,19189,4.228672677054562,5.00796148861322,0.7792888115586578,0.007792888115586578,15.560998488717493,18.428686045793995,False,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,4,81144,12234,17874,4.539778449144008,6.632663070132418,2.0928846209884098,0.020928846209884097,31.554212823094996,46.10102991662579,False,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
019,5,81144,12234,16247,4.994398965962947,6.632663070132418,1.6382641041694708,0.016382641041694707,24.699944605157874,32.8020271374857,False,199ccf5f40c65b63ef88efcf05a0ccbf6b9368963d7a62cabd240d7b98847429
