case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
037,gap_packet,2,ok,105906,1.1906524000005447,1.455818200000067,210001,1.982899930126716,819200,204800,0,b227157ffa8d114ccce49a583135f01d9fb247233dc7da3cb1e7ad9481fba68e,results/a/q2-yuanzhifang/feedback-20260924/round14e/037-gap_packet/run.json
038,gap_packet,2,ok,666725,3.265021000002889,4.3833002999999735,1364555,2.04665341782594,8359174,5556224,337920,b4ec2480c5f9ddefbfc595750894b0c975fe7b2577e3bb076b7bf1be0fb83461,results/a/q2-yuanzhifang/feedback-20260924/round14e/038-gap_packet/run.json
039,gap_packet,2,ok,698889,1.625890299997991,4.11909839999862,1435262,2.053633695765708,16343040,11853824,8585216,48bd89ed450ad9e8d1b9b50b2d9e01d7ddf122e15483c353c60e862ca5563c9f,results/a/q2-yuanzhifang/feedback-20260924/round14e/039-gap_packet/run.json
040,gap_packet,2,ok,102972,1.6334944999980507,2.435005600000295,253454,2.4613875616672494,2773536,1862298,0,b23b9f131f3a0b3f2dc99b509df55e5728164d74847bcc54c2927fb66ead4826,results/a/q2-yuanzhifang/feedback-20260924/round14e/040-gap_packet/run.json
041,gap_packet,2,ok,2990625,4.9041915999987395,16.392618400001084,6003957,2.007592727272727,52176968,47226988,14783488,ac1fa0461942b32c775b0483195268bcb517f20b6b8ab3bcabdf68f04a04adbf,results/a/q2-yuanzhifang/feedback-20260924/round14e/041-gap_packet/run.json
042,gap_packet,2,ok,803096,2.317104499998095,3.9776467999981833,1686740,2.1002968511859104,6543172,4154208,0,84de09f0b4bf96fdc4269ce617ea8406520302b37d2ffde21a0ded18dbecc76c,results/a/q2-yuanzhifang/feedback-20260924/round14e/042-gap_packet/run.json
043,gap_packet,2,ok,278229,2.9233662000006007,7.125612899999396,677656,2.4356052029083957,7129728,5698606,0,49106f24bf7f5039c38c8b7767fcf2069e09d285110623e29c33843a693d5ab1,results/a/q2-yuanzhifang/feedback-20260924/round14e/043-gap_packet/run.json
044,gap_packet,2,ok,56926,1.5538822000016808,1.351384000001417,154407,2.712416119172259,2235328,1259872,0,40dc59e03540571cbf29807b8515243054600c2da6596a4ba0fb16f93d97d37f,results/a/q2-yuanzhifang/feedback-20260924/round14e/044-gap_packet/run.json
045,gap_packet,2,ok,102125,1.412272199999279,1.8017894000004162,125614,1.2300024479804161,5328896,4771840,3211264,54bbd8457b7696f8e63b37e61cc102ae65116eb29019449eb0fbfc039915a6b1,results/a/q2-yuanzhifang/feedback-20260924/round14e/045-gap_packet/run.json
046,gap_packet,2,ok,108498,1.3423013999999966,1.0531566999998176,276455,2.5480193183284485,1991872,930400,0,94a1ca467e2e4fa64cfe562a9593c49aa1a23f323495995a0168a48766332500,results/a/q2-yuanzhifang/feedback-20260924/round14e/046-gap_packet/run.json
047,gap_packet,2,ok,145662,5.060267099997873,16.332244000001083,326508,2.2415454957367054,2708236,2244294,0,98985e88c65a1ebb06c0c4c46a3a704f5fa74d8dd8bd02ed53cee29ca7aa422b,results/a/q2-yuanzhifang/feedback-20260924/round14e/047-gap_packet/run.json
048,gap_packet,2,ok,106510,1.2332259000031627,1.1888858000020264,222220,2.0863768660219697,1141836,727046,0,8458a925ce55a29b882110dd672fe67e9503d6942492e1a3afb1f67aa29c14db,results/a/q2-yuanzhifang/feedback-20260924/round14e/048-gap_packet/run.json
049,gap_packet,2,ok,85480,2.7211116999969818,4.459818499999528,196276,2.296162845109967,2270970,2118430,0,603483fe03bec1a69d6c93d02e71c6e09e406abbf6eb9ae3f562231459649e1f,results/a/q2-yuanzhifang/feedback-20260924/round14e/049-gap_packet/run.json
051,gap_packet,2,ok,319219,1.2771825000017998,1.797253400000045,607628,1.9034831886573167,787582,394364,0,8495479d2294bbe9be1fb44a51acb7102ad38c27d0567c51ff48796bf25480a6,results/a/q2-yuanzhifang/feedback-20260924/round14e/051-gap_packet/run.json
052,gap_packet,2,ok,74054,2.068252000000939,1.5940703999986,180301,2.4347233100170147,1958074,1147870,0,ca565365b2012677a13ab6177bbdb222ad62081c922f8fc4d33a5a92822c9d84,results/a/q2-yuanzhifang/feedback-20260924/round14e/052-gap_packet/run.json
053,gap_packet,2,ok,645226,4.4558756000005815,6.796905899998819,1472686,2.282434371832505,9618942,6623654,0,eefa07951bb469c11ab157f1ebf2e8565c3d0cfabd347061927bf8321b7f753d,results/a/q2-yuanzhifang/feedback-20260924/round14e/053-gap_packet/run.json
054,gap_packet,2,ok,373387,5.344365999997535,15.073791099999653,815051,2.1828585355140913,8163434,6557158,0,9b29d77fc96cc2ef0266dc9e46a82a3a528307a0d9e289610686d6ba7ef063d3,results/a/q2-yuanzhifang/feedback-20260924/round14e/054-gap_packet/run.json
