case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
001,gap_packet,3,ok,78545,0.8115068000006431,1.1460087000014028,233110,2.9678528232223567,1641856,2304,0,ed2d70b907b9bef780f99feed7bb477ffe88bf324a406187dd6688db2df27b5c,results/a/q2-yuanzhifang/feedback-20260924/round14g/001-gap_packet/run.json
002,gap_packet,3,ok,86935,1.002409600001556,2.060179699998116,261945,3.013113245528268,1890816,666624,0,f2d9dfe4f70d66f36ea5739837652bdea57d7d50f0ea323a204301c967d121e0,results/a/q2-yuanzhifang/feedback-20260924/round14g/002-gap_packet/run.json
004,gap_packet,3,ok,130926,0.7730759999976726,1.3355220000012196,392357,2.9967844431205415,2267136,1474560,1253376,92785844b23dfbfa860aa5272b64d999c19141c98f08cbfad909c732ab8c5873,results/a/q2-yuanzhifang/feedback-20260924/round14g/004-gap_packet/run.json
006,gap_packet,3,ok,28486,0.9579602999983763,1.13217319999967,82837,2.9079898897704135,1295944,752596,0,6ace3bfebe7d64f4ff8369e3389aa887fd6d22e18b0cb95e91704e2fb983a536,results/a/q2-yuanzhifang/feedback-20260924/round14g/006-gap_packet/run.json
007,gap_packet,3,ok,326994,2.3312465000017255,2.7762098999992304,1012562,3.096576695596861,7096320,5363712,5308416,e6667d286d3b0f7e1e738cfec33de6989f6526bcc24e94e9b0c5ddcee2161216,results/a/q2-yuanzhifang/feedback-20260924/round14g/007-gap_packet/run.json
008,gap_packet,3,ok,221010,1.1215506000007736,2.187212400000135,487605,2.206257635401113,10727640,8073216,8073216,347e519291e5360d978111fc192bb200447232b0cdc021155a682e781a0915d9,results/a/q2-yuanzhifang/feedback-20260924/round14g/008-gap_packet/run.json
009,gap_packet,3,ok,46378,4.3598779999992985,4.668504299999768,153261,3.3046056319806807,1821156,1325824,0,44f7dc9c88ffe86b880a06cc543ed81070d9bddc6c317a516119ae87c514e6aa,results/a/q2-yuanzhifang/feedback-20260924/round14g/009-gap_packet/run.json
010,gap_packet,3,ok,23140,0.9640047000029881,1.3462271999997029,86969,3.7583837510803804,1057570,673420,0,4ce6d9dd76381b9f530f2ef281ee84d2e720a815b0a872b42c4afd42e8e52a8f,results/a/q2-yuanzhifang/feedback-20260924/round14g/010-gap_packet/run.json
011,gap_packet,3,ok,69625,0.9817097999984981,1.8608140000033018,184697,2.6527396768402154,1146880,540672,0,f7b8a534ecb4891cc87893d2c316598a1f7180ec55ea9611f082674d62c3b00c,results/a/q2-yuanzhifang/feedback-20260924/round14g/011-gap_packet/run.json
012,gap_packet,3,ok,16286,1.862398999997822,1.4181019999996352,59088,3.6281468746162346,902312,347414,0,6c04b4e8a070199e17a771d04256f9b093f014fb2f7f80d0f8e49638bcf05209,results/a/q2-yuanzhifang/feedback-20260924/round14g/012-gap_packet/run.json
013,gap_packet,3,ok,88351,1.7353521999975783,2.054854300000443,263949,2.98750438591527,2543616,16384,0,1503232dc09e62f3fc93a84e45966e03801b22fe1ca57458eebb43ed44b1c1ff,results/a/q2-yuanzhifang/feedback-20260924/round14g/013-gap_packet/run.json
014,gap_packet,3,ok,5884986,21.42325509999864,41.64740300000267,17698626,3.007420238552819,169055112,159122372,57167616,b17656ff2290b2c524923af03648fd80bd889e750755c26da2b312fe151db5c8,results/a/q2-yuanzhifang/feedback-20260924/round14g/014-gap_packet/run.json
015,gap_packet,3,ok,44464,1.262355499999103,2.2297230000003765,177362,3.988889888449082,2265300,1380686,0,6f7174307a159f53029f7c475bcf1098e0dd782055d47447de5f7d60d36f0467,results/a/q2-yuanzhifang/feedback-20260924/round14g/015-gap_packet/run.json
017,gap_packet,3,ok,42129,1.7694310000006226,1.319797500000277,162810,3.8645588549455243,1519038,875176,0,2b21dd45d82254bf3af6a7a1a59265f6bdff29be87e0b29390a9371262ea1808,results/a/q2-yuanzhifang/feedback-20260924/round14g/017-gap_packet/run.json
018,gap_packet,3,ok,334156,2.6664994999991904,2.7565742999977374,1004367,3.0056829744191336,11658264,10065416,0,8b01da83d6d5bdc1b4a65879c53c4b6b5b97a46f6e85da8de57bb077ed49749d,results/a/q2-yuanzhifang/feedback-20260924/round14g/018-gap_packet/run.json
019,gap_packet,3,ok,22795,1.8855779000004986,0.7333056999996188,81144,3.559728010528625,1041852,854868,0,b99b4529d3013164fd29fd80c9b452fb02d06a788ea7f5821079804d1ec9e8d5,results/a/q2-yuanzhifang/feedback-20260924/round14g/019-gap_packet/run.json
020,gap_packet,3,ok,485976,3.174617300002865,5.39767589999974,532746,1.0962393204602696,28712960,26353664,14196736,3c72e311e37e4df82579e87867ff87afd6c3dd6e009758cdd0429a0623192615,results/a/q2-yuanzhifang/feedback-20260924/round14g/020-gap_packet/run.json
021,gap_packet,3,ok,2110186,0.8939156999986153,3.1887638000007428,6567937,3.1124919793800165,12388352,9050112,5466112,2b58fa7992b9fb348aa5a9e2864e729a9cc1399cdff8ba2bc748509dfbaf0a00,results/a/q2-yuanzhifang/feedback-20260924/round14g/021-gap_packet/run.json
022,gap_packet,3,ok,21816,1.8078003999980865,1.250549599997612,56780,2.602676934360103,950872,737186,0,5d8253d87cb11a56424491b30d2ab298ac8f2f986c14cea5ac0bcc30e9d2c256,results/a/q2-yuanzhifang/feedback-20260924/round14g/022-gap_packet/run.json
023,gap_packet,3,ok,29509,1.737034900001163,1.281902100003208,122614,4.155139110102003,1653722,1210278,0,56a57dd8cf65d96b45cc90de9b6c0d473ba475b8badd62f587ee3a7354e29da3,results/a/q2-yuanzhifang/feedback-20260924/round14g/023-gap_packet/run.json
024,gap_packet,3,ok,957534,3.172845299999608,4.65478830000211,2555343,2.6686707730482677,726542,333324,0,d27a995b626a8dcb621e69169b788118e1bc016147ee335c090708151b217a32,results/a/q2-yuanzhifang/feedback-20260924/round14g/024-gap_packet/run.json
025,gap_packet,3,ok,1610875,7.976537499998813,23.338344299998425,4863026,3.018872351982618,58083840,49866240,22516224,d574b04d1c0ffab2156ab3b62848e09007fcfe8440f6613e057af016d3702d04,results/a/q2-yuanzhifang/feedback-20260924/round14g/025-gap_packet/run.json
026,gap_packet,3,ok,37309,2.4285137000006216,1.667487799997616,99203,2.65895628400654,1863418,1334564,0,b1b8523dc0dbb6060f0969a67d058f1cc067b666dbf2f2082fe892caa1691a14,results/a/q2-yuanzhifang/feedback-20260924/round14g/026-gap_packet/run.json
027,gap_packet,3,ok,837049,1.2487297000006947,3.028253599997697,2363952,2.8241500796249683,4712448,2672640,0,79a8e9d1965d8630ff0057a16dcb9463392d9df7a34d1b97e106e30e1f596a9e,results/a/q2-yuanzhifang/feedback-20260924/round14g/027-gap_packet/run.json
028,gap_packet,3,ok,13737069,7.977795799997693,10.556837500000256,43836040,3.1910766408758664,49107840,43199232,31339008,afeff34a408416951a10baa6b0523e0019dd27474c01644f7b1fd315c0060ded,results/a/q2-yuanzhifang/feedback-20260924/round14g/028-gap_packet/run.json
029,gap_packet,3,ok,14432,1.9014449999995122,1.3754805000025954,37555,2.602203436807095,688766,258602,0,efb360f5f809ab86c621fd60df7dd5a90a99b5c1d8c79a70c9fab9805f7dec95,results/a/q2-yuanzhifang/feedback-20260924/round14g/029-gap_packet/run.json
030,gap_packet,3,ok,937988,2.7236326999991434,5.420483600002626,2808034,2.9936779575005223,7268300,4874240,972800,b35180b989e7fc4ecf6beb373d53ae47cd05f0fac01678814b0e5beed8fc343e,results/a/q2-yuanzhifang/feedback-20260924/round14g/030-gap_packet/run.json
031,gap_packet,3,ok,568473,2.8237838999993983,4.037561100001767,1414369,2.4880143823893133,22030080,19845040,2076672,e3f3307402cb61a7a27b0d00d23a7f2baf7afa03670d32b440999031fe8bf75f,results/a/q2-yuanzhifang/feedback-20260924/round14g/031-gap_packet/run.json
032,gap_packet,3,ok,14092,0.9300116999984311,1.2256510999977763,41443,2.940888447346012,604802,311714,0,74da41ba17f4b63ab56eebfff27a1092494d6d1e4ca1754ee623616b6248ea4b,results/a/q2-yuanzhifang/feedback-20260924/round14g/032-gap_packet/run.json
033,gap_packet,3,ok,591701,1.807170700001734,2.36026220000349,1774196,2.998467131203091,15417190,12444280,677376,9ff20e940c9066e7026e66a19bd1a4e95719889d7e1fe47f8d82f14ee05c0a4e,results/a/q2-yuanzhifang/feedback-20260924/round14g/033-gap_packet/run.json
034,gap_packet,3,ok,283749,1.6241126000022632,2.377387500000623,842996,2.97092148342373,12003628,9723242,183302,3751007199b49257170916d5d114bb8ddb0a5bc62cfc329c0d4a0bca735c585e,results/a/q2-yuanzhifang/feedback-20260924/round14g/034-gap_packet/run.json
035,gap_packet,3,ok,51825,2.041152499998134,2.7054586999984167,169571,3.271992281717318,1577028,1166174,0,5525e965cd0969e875b688808f9d633e4974c59041175d3affdba0c4b332ffaa,results/a/q2-yuanzhifang/feedback-20260924/round14g/035-gap_packet/run.json
036,gap_packet,3,ok,311345,1.085445199998503,2.2121818000014173,931510,2.991890025534375,6557056,2304,0,b5db28cc0c1ef605b3b709b4cf4b5ce1c0d3277fcc21c8e4f6879b6d575be7cf,results/a/q2-yuanzhifang/feedback-20260924/round14g/036-gap_packet/run.json
