case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
001,gap_packet,5,ok,47502,0.8218114000010246,0.9802572000007785,233110,4.9073723211654245,1644160,4608,0,6067e2fc51e09bcdba3e2812bf41bdd4540fe5cc7d9dbd5b6baebeeb6b0f0f57,results/a/q2-yuanzhifang/feedback-20260924/round14m/001-gap_packet/run.json
002,gap_packet,5,ok,56081,0.8941681999967841,1.3882882000034442,261945,4.670833259036037,1832448,608256,0,32db289e4475112041aeddc0773ec04596aa94338e9e3f2be107200f1fbe80b4,results/a/q2-yuanzhifang/feedback-20260924/round14m/002-gap_packet/run.json
003,gap_packet,5,ok,205295,8.346690000002127,13.646863399997528,602212,2.9333982805231495,11129744,9845480,0,49e1a3399494b0cb8437834b06e2787b61de42708b6a69ae6cb976b3b0ce5371,results/a/q2-yuanzhifang/feedback-20260924/round14m/003-gap_packet/run.json
004,gap_packet,5,ok,86693,1.6535184999993362,0.8897629999992205,392357,4.525821000542143,3419136,2626560,110592,45da646f6c4ccf937319d7984cf7cb8b086ca545c4f09b785003d4772320dcd1,results/a/q2-yuanzhifang/feedback-20260924/round14m/004-gap_packet/run.json
006,gap_packet,5,ok,25613,1.1451673000010487,0.75741779999953,82837,3.2341779565064614,1343888,800540,0,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,results/a/q2-yuanzhifang/feedback-20260924/round14m/006-gap_packet/run.json
007,gap_packet,5,ok,197044,2.2312462000008964,2.5019071999995504,1012562,5.138760885893506,6144000,4411392,4300800,1ca7a7d1ecb5c5112f98c59e81e9a7736b3bf44b1f163e3af091c41b03ca5691,results/a/q2-yuanzhifang/feedback-20260924/round14m/007-gap_packet/run.json
008,gap_packet,5,ok,233682,1.458903899998404,1.5301028000030783,487605,2.08661771124862,13826904,11172480,3170304,874deec6ec1e09e8243cdf1ca685894a28447a9cc06aebaf8ac4be6f3296f171,results/a/q2-yuanzhifang/feedback-20260924/round14m/008-gap_packet/run.json
009,gap_packet,5,ok,54517,4.59113570000045,3.5392635999996855,153261,2.8112515362180606,2100268,1604936,0,56fde40ce2b2b083ce11d7fe99a5944263d1989ac3dde6746ee90b89ae9665a4,results/a/q2-yuanzhifang/feedback-20260924/round14m/009-gap_packet/run.json
010,gap_packet,5,ok,24256,1.0623286000009102,0.8516807999985758,86969,3.585463390501319,1398306,1014156,0,4e9b1c875014bad7800596def5097ffcdcd224d5737ac2d8fdf096bc88af1a89,results/a/q2-yuanzhifang/feedback-20260924/round14m/010-gap_packet/run.json
011,gap_packet,5,ok,46777,0.5989426999985881,1.0038545000024897,184697,3.9484575753041025,1417216,811008,0,7b1f7045453a41c8d1a2f76617bd2be4cef8116d4c61316008953f6bba09f050,results/a/q2-yuanzhifang/feedback-20260924/round14m/011-gap_packet/run.json
012,gap_packet,5,ok,17257,1.2393473000011,1.0653684999997495,59088,3.424001854319986,974466,419568,0,20cf16ddb922b088267b4a334a486404075cf4cbcca96826b1b8a3907961c2ad,results/a/q2-yuanzhifang/feedback-20260924/round14m/012-gap_packet/run.json
013,gap_packet,5,ok,54363,1.1555614000026253,1.5929241999983788,263949,4.855305998565201,2560000,32768,0,0c2707a7fed06af2136562e203dd6646f632f4ecf2b8e202d1ee90572b4c9b52,results/a/q2-yuanzhifang/feedback-20260924/round14m/013-gap_packet/run.json
014,gap_packet,5,timeout,,30.00927959999899,,,,,,,,results/a/q2-yuanzhifang/feedback-20260924/round14m/014-gap_packet/run.json
