case_id,variant,cores,status,makespan_cycles,solver_wall_seconds,evaluation_wall_seconds,singlecore_cycles,speedup,scheduled_copy_bytes,added_copy_bytes,spill_added_copy_bytes,plan_sha256,run_path
001,frontier_gap,5,ok,47502,0.6558441000015591,0.9470607000002929,233110,4.9073723211654245,1644160,4608,0,6067e2fc51e09bcdba3e2812bf41bdd4540fe5cc7d9dbd5b6baebeeb6b0f0f57,results/a/q2-yuanzhifang/feedback-20260924/round17a/001-frontier_gap/run.json
002,frontier_gap,5,ok,56081,1.1713822999990953,2.165676299999177,261945,4.670833259036037,1832448,608256,0,32db289e4475112041aeddc0773ec04596aa94338e9e3f2be107200f1fbe80b4,results/a/q2-yuanzhifang/feedback-20260924/round17a/002-frontier_gap/run.json
003,frontier_gap,5,ok,205295,11.183115499999985,14.936781199998222,602212,2.9333982805231495,11129744,9845480,0,49e1a3399494b0cb8437834b06e2787b61de42708b6a69ae6cb976b3b0ce5371,results/a/q2-yuanzhifang/feedback-20260924/round17a/003-frontier_gap/run.json
004,frontier_gap,5,ok,86693,1.1322631999973964,1.6486863999998604,392357,4.525821000542143,3419136,2626560,110592,45da646f6c4ccf937319d7984cf7cb8b086ca545c4f09b785003d4772320dcd1,results/a/q2-yuanzhifang/feedback-20260924/round17a/004-frontier_gap/run.json
005,frontier_gap,5,ok,47017,4.109240300000238,3.56291229999988,95618,2.0336899419358954,2679966,2346552,0,32790f8a6e5a543bff313dc535376a76b06b06054605e8d23d683ecd8fe3734b,results/a/q2-yuanzhifang/feedback-20260924/round17a/005-frontier_gap/run.json
006,frontier_gap,5,ok,25613,1.6630896999995457,1.1284182000017609,82837,3.2341779565064614,1343888,800540,0,1edc21eea791cd6a9f4cbf406da15bf3b582f22ca5980bc9b2c2cb3fccbf1dec,results/a/q2-yuanzhifang/feedback-20260924/round17a/006-frontier_gap/run.json
007,frontier_gap,5,ok,197112,3.6133359000014025,2.513153299998521,1012562,5.1369881082836155,1843200,110592,0,fe9302b1bd6bfbbac3a7f3c3fa21cefd2a7a435428854cb6ec58acceae06bf24,results/a/q2-yuanzhifang/feedback-20260924/round17a/007-frontier_gap/run.json
008,frontier_gap,5,ok,52291,2.0011475999999675,1.2135722000020905,487605,9.324836013845594,2654424,0,0,80e464e565f31fc4f598bfbc623d7d7cec93432825ffda88ad7fb6c7775664b1,results/a/q2-yuanzhifang/feedback-20260924/round17a/008-frontier_gap/run.json
009,frontier_gap,5,ok,54517,4.304617800000415,4.332269800001086,153261,2.8112515362180606,2100268,1604936,0,56fde40ce2b2b083ce11d7fe99a5944263d1989ac3dde6746ee90b89ae9665a4,results/a/q2-yuanzhifang/feedback-20260924/round17a/009-frontier_gap/run.json
010,frontier_gap,5,ok,24256,1.3636430999977165,1.1275362000014866,86969,3.585463390501319,1398306,1014156,0,4e9b1c875014bad7800596def5097ffcdcd224d5737ac2d8fdf096bc88af1a89,results/a/q2-yuanzhifang/feedback-20260924/round17a/010-frontier_gap/run.json
011,frontier_gap,5,ok,46777,0.891240500001004,1.2894048999987717,184697,3.9484575753041025,1417216,811008,0,7b1f7045453a41c8d1a2f76617bd2be4cef8116d4c61316008953f6bba09f050,results/a/q2-yuanzhifang/feedback-20260924/round17a/011-frontier_gap/run.json
012,frontier_gap,5,ok,17257,1.653842599997006,1.8007408999983454,59088,3.424001854319986,974466,419568,0,20cf16ddb922b088267b4a334a486404075cf4cbcca96826b1b8a3907961c2ad,results/a/q2-yuanzhifang/feedback-20260924/round17a/012-frontier_gap/run.json
